osmid,oneway,lanes,highway,reversed,length,bridge,geometry,ref,maxspeed,tunnel,name
"[171121272, 56178980, 177678685]",True,1,motorway_link,False,485.145,yes,"LINESTRING (-122.3259786 47.6030707, -122.3266081 47.603892, -122.3269547 47.6043028, -122.3272019 47.6045958, -122.3277266 47.6052432, -122.3281203 47.6057995, -122.3287049 47.606472, -122.329076 47.6068993)",,,,
"[97129768, 4748962, 97129773]",True,3,motorway,False,706.2059999999999,yes,"LINESTRING (-122.331026 47.6083209, -122.3306413 47.6077381, -122.3299992 47.6068958, -122.3292439 47.6060394, -122.3289161 47.6056699, -122.3280913 47.6047385, -122.3276294 47.6041805, -122.3272642 47.6037402, -122.3271472 47.6036201, -122.3269097 47.6033731, -122.3262955 47.6028428)",I 5,60 mph,,
"[1156843250, 96260966]",True,2,motorway_link,False,383.887,yes,"LINESTRING (-122.331026 47.6083209, -122.3306591 47.6076753, -122.3303872 47.6072879, -122.3300082 47.6067909, -122.3290127 47.6056348, -122.3287161 47.6052465)",I 5,,,
4748974,True,1,motorway,False,89.78399999999999,,"LINESTRING (-122.3263633 47.6032308, -122.3266788 47.6034516, -122.326928 47.6036757, -122.3271504 47.6038377)",I 5 Express,60 mph,,
"[177678602, 428230611]",True,3,motorway,False,227.64,yes,"LINESTRING (-122.3263633 47.6032308, -122.326637 47.6035127, -122.3267772 47.6036669, -122.3269163 47.6038166, -122.3270766 47.6039998, -122.3271808 47.6041168, -122.3272477 47.6041921, -122.3279289 47.6049844)",I 5,60 mph,,
4748976,True,1,motorway,False,127.855,,"LINESTRING (-122.3271504 47.6038377, -122.3262955 47.6028428)",I 5 Express,60 mph,,
"[124272619, 4759238, 177678599]",False,1,motorway,False,394.62199999999996,yes,"LINESTRING (-122.3271504 47.6038377, -122.3274006 47.6041249, -122.3280828 47.6049273, -122.3284756 47.6054301, -122.3291368 47.6061978, -122.3297294 47.6069309)",I 5 Express,60 mph,yes,
531678155,True,1,motorway_link,False,21.226,,"LINESTRING (-122.3313384 47.607744, -122.3312157 47.6077047, -122.3311687 47.6076926, -122.3311291 47.6076845, -122.3310739 47.60768)",,,,
"[1047829404, 462700214, 13726935]",True,2,tertiary,False,96.843,yes,"LINESTRING (-122.3313384 47.607744, -122.3312271 47.6077887, -122.3310263 47.6078736, -122.3303117 47.6081683, -122.3302357 47.6081976)",,25 mph,,Spring Street
6371839,False,2,residential,True,121.814,,"LINESTRING (-122.324104 47.6048538, -122.3242256 47.6048013, -122.3253605 47.6043118, -122.3253911 47.6042977, -122.3254155 47.604282, -122.3254351 47.604264, -122.3254496 47.6042469)",,20 mph,,Jefferson Street
460419023,False,2,tertiary,False,92.39800000000001,,"LINESTRING (-122.324104 47.6048538, -122.3241714 47.6049281, -122.3242545 47.6050191, -122.3246754 47.6054835, -122.3247477 47.6055624)",,25 mph,,9th Avenue
51817330,False,4,secondary,True,97.986,,"LINESTRING (-122.3247477 47.6055624, -122.3248478 47.6055195, -122.3253686 47.6052978, -122.3255524 47.6052195, -122.3257557 47.6051329, -122.3257873 47.6051192, -122.3258526 47.6050917)",,25 mph,,James Street
169511255,False,2,tertiary,False,93.212,,"LINESTRING (-122.3247477 47.6055624, -122.3248231 47.6056448, -122.3250814 47.605924, -122.325348 47.6062135, -122.3254044 47.6062742)",,25 mph,,9th Avenue
460419023,False,2,tertiary,True,92.398,,"LINESTRING (-122.3247477 47.6055624, -122.3246754 47.6054835, -122.3242545 47.6050191, -122.3241714 47.6049281, -122.324104 47.6048538)",,25 mph,,9th Avenue
"[460419026, 788766516, 1009593375]",False,4,secondary,True,96.392,,"LINESTRING (-122.3247477 47.6055624, -122.3246197 47.6056153, -122.324191 47.6057932, -122.3238529 47.6059334, -122.3237522 47.6059749, -122.3236525 47.6060165)",,25 mph,,James Street
169511255,False,2,tertiary,False,93.668,,"LINESTRING (-122.3254044 47.6062742, -122.3254734 47.6063508, -122.3258712 47.6067898, -122.3259995 47.6069319, -122.3260554 47.6069932)",,25 mph,,9th Avenue
169511255,False,2,tertiary,True,93.212,,"LINESTRING (-122.3254044 47.6062742, -122.325348 47.6062135, -122.3250814 47.605924, -122.3248231 47.6056448, -122.3247477 47.6055624)",,25 mph,,9th Avenue
263672096,False,2,residential,False,97.68599999999999,,"LINESTRING (-122.3254044 47.6062742, -122.3253166 47.6063109, -122.3248493 47.6065069, -122.3246287 47.6066017, -122.3243914 47.6067034, -122.3243017 47.6067422)",,20 mph,,Cherry Street
263672096,False,2,residential,True,97.197,,"LINESTRING (-122.3254044 47.6062742, -122.3255067 47.6062307, -122.3260219 47.6060129, -122.3264285 47.6058406, -122.3265025 47.6058095)",,20 mph,,Cherry Street
6394322,False,2,residential,False,97.96799999999999,,"LINESTRING (-122.3260554 47.6069932, -122.3259673 47.6070297, -122.3258784 47.6070669, -122.3255066 47.6072219, -122.3250519 47.607411, -122.3249438 47.6074564)",,20 mph,,Columbia Street
"[1070491656, 6394322, 1070491655]",False,2,residential,True,98.45400000000001,,"LINESTRING (-122.3260554 47.6069932, -122.3261793 47.6069415, -122.326195 47.606935, -122.3262568 47.6069093, -122.326574 47.6067772, -122.3270473 47.6065797, -122.3270856 47.6065637, -122.3271726 47.6065278)",,20 mph,,Columbia Street
169511255,False,2,tertiary,False,93.536,,"LINESTRING (-122.3260554 47.6069932, -122.3261148 47.6070582, -122.3263661 47.6073312, -122.3264648 47.6074385, -122.3266477 47.6076383, -122.3267127 47.6077082)",,25 mph,,9th Avenue
169511255,False,2,tertiary,True,93.668,,"LINESTRING (-122.3260554 47.6069932, -122.3259995 47.6069319, -122.3258712 47.6067898, -122.3254734 47.6063508, -122.3254044 47.6062742)",,25 mph,,9th Avenue
169511255,False,2,tertiary,True,93.536,,"LINESTRING (-122.3267127 47.6077082, -122.3266477 47.6076383, -122.3264648 47.6074385, -122.3263661 47.6073312, -122.3261148 47.6070582, -122.3260554 47.6069932)",,25 mph,,9th Avenue
263672156,False,2,residential,False,97.746,,"LINESTRING (-122.3267127 47.6077082, -122.3266152 47.6077489, -122.3265182 47.6077897, -122.3257144 47.6081263, -122.3256052 47.6081721)",,20 mph,,Marion Street
706262355,False,2,residential,True,98.296,,"LINESTRING (-122.3267127 47.6077082, -122.3268242 47.6076628, -122.3268946 47.6076345, -122.3272917 47.6074738, -122.3277555 47.6072804, -122.3278327 47.6072486)",,20 mph,,Marion Street
421755545,False,2,secondary,False,51.509,,"LINESTRING (-122.3355425 47.6017393, -122.3348555 47.6017372)",,25 mph,,Yesler Way
6371912,False,2,secondary,False,131.86200000000002,,"LINESTRING (-122.3355425 47.6017393, -122.335531 47.6018171, -122.3355192 47.6019041, -122.3354933 47.602088, -122.3354984 47.6021627, -122.3355257 47.602225, -122.3355756 47.6023112, -122.335965 47.6027439, -122.3360402 47.6028268)",,25 mph,,Western Avenue
421755545,False,2,secondary,True,51.509,,"LINESTRING (-122.3348555 47.6017372, -122.3355425 47.6017393)",,25 mph,,Yesler Way
