osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,bridge,geometry
"[4681076, 149948461, 468499711]",True,"['4', '3']",VA 7,Leesburg Pike,primary,40 mph,False,302.679,yes,"LINESTRING (-77.1265854 38.8491534, -77.1271235 38.8494344, -77.128603 38.850207, -77.128822 38.8503213, -77.1294883 38.8506695)"
8803437,True,1,,,primary_link,,False,246.59899999999996,,"LINESTRING (-77.1265854 38.8491534, -77.1268483 38.849333, -77.1270414 38.84945, -77.1270873 38.8494879, -77.12723 38.849606, -77.127501 38.84988, -77.1282 38.850564, -77.128229 38.850613, -77.128236 38.850658, -77.128227 38.850703, -77.128197 38.850768, -77.1281152 38.8508535)"
8150719,False,,,,residential,,True,19.521,,"LINESTRING (-77.1316583 38.8517832, -77.1317833 38.8516371)"
746390505,False,,,,residential,,False,47.149,,"LINESTRING (-77.1316583 38.8517832, -77.1315979 38.8518435, -77.1315674 38.8518739, -77.1314884 38.8519381, -77.1314704 38.8519469, -77.1313679 38.8519944, -77.1312381 38.8520393)"
746390506,True,3,VA 7,Leesburg Pike,primary,40 mph,False,47.419999999999995,,"LINESTRING (-77.1316583 38.8517832, -77.1317676 38.8518349, -77.1321234 38.8520083)"
8798290,True,1,,,primary_link,,False,192.123,,"LINESTRING (-77.1313689 38.851426, -77.1312364 38.8512984, -77.1311151 38.8511946, -77.1309126 38.8510621, -77.130646 38.850885, -77.130258 38.850624, -77.130138 38.850539, -77.1301132 38.8505106, -77.1300918 38.8504775, -77.1300784 38.8504489, -77.1300729 38.8504247, -77.1300712 38.8503947, -77.1300772 38.8503663, -77.1300916 38.8503377, -77.1301181 38.850309, -77.130171 38.85026, -77.1301984 38.8502349, -77.130238 38.850196, -77.1302532 38.8501787)"
"[8824889, 149948453]",True,3,VA 7,Leesburg Pike,primary,40 mph,False,222.005,yes,"LINESTRING (-77.1313689 38.851426, -77.1305527 38.8510144, -77.1298728 38.8506797, -77.129214 38.8503445)"
590842392,True,1,,,primary_link,,False,11.656,,"LINESTRING (-77.1302532 38.8501787, -77.1301894 38.8500864)"
"[469159104, 469159105, 1093527426, 1093527431, 347004782, 468499737, 468499738, 470690718]",True,"['4', '3', '2']",VA 244,Columbia Pike,primary,35 mph,False,376.458,,"LINESTRING (-77.1302532 38.8501787, -77.1303319 38.8501431, -77.1311481 38.8497738, -77.1312499 38.8497277, -77.1316377 38.8495522, -77.1318541 38.8494543, -77.1320347 38.8493726, -77.1327369 38.849054, -77.1332357 38.8488277, -77.1336094 38.8486586, -77.1338317 38.8485609, -77.1340115 38.8484773)"
8807675,True,1,,,primary_link,,False,122.394,,"LINESTRING (-77.129946 38.849734, -77.129921 38.849617, -77.129886 38.849553, -77.129828 38.849497, -77.129757 38.84945, -77.129651 38.849406, -77.129556 38.849384, -77.129457 38.849374, -77.1288862 38.8493876, -77.1287902 38.8493899)"
