osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,access,tunnel
100397027,False,7,I 70 Business;US 40;US 287,East Colfax Avenue,primary,30 mph,True,43.128,"LINESTRING (-104.9848634 39.7400593, -104.984993 39.7400593, -104.9853678 39.7400594)",,
"[600545932, 600545925]",False,6,I 70 Business;US 40;US 287,East Colfax Avenue,primary,30 mph,False,108.759,"LINESTRING (-104.9848634 39.7400593, -104.984731 39.7400603, -104.9842349 39.7400595, -104.9841573 39.740059, -104.98374 39.7400541, -104.9835915 39.7400524)",,
628588223,False,2,,Sherman Street,residential,25 mph,False,179.85199999999998,"LINESTRING (-104.9848634 39.7400593, -104.9848622 39.7401901, -104.9848585 39.7406103, -104.9848562 39.7408742, -104.984849 39.7415899, -104.9848491 39.7416767)",,
"[628643746, 628643747]",True,"['4', '3']",,East 14th Avenue,secondary,30 mph,False,109.311,"LINESTRING (-104.984876 39.7384511, -104.984732 39.7384507, -104.984246 39.7384492, -104.9839877 39.7384485, -104.9837493 39.7384478, -104.9835976 39.7384473)",,
"[90152707, 1176119047]",False,2,,Sherman Street,residential,,False,178.302,"LINESTRING (-104.984876 39.7384511, -104.984876 39.7383577, -104.9848778 39.7373601, -104.984878 39.7369565, -104.984877 39.736901, -104.9848767 39.7368476)",,
16982237,True,2,,West 13th Avenue,secondary,30 mph,False,244.81699999999998,"LINESTRING (-104.9873917 39.736848, -104.9875758 39.7368524, -104.9888505 39.7368506, -104.9891127 39.7368511, -104.9894348 39.7368517, -104.9895532 39.7368519, -104.990132 39.7368529, -104.9902547 39.7368531)",,
130911270,True,5,,Broadway,primary,30 mph,False,174.676,"LINESTRING (-104.9873917 39.736848, -104.987392 39.7367615, -104.987393 39.7364424, -104.9873932 39.7364042, -104.9873937 39.7362429, -104.9873939 39.7361923, -104.9873952 39.7355772, -104.987396 39.735366, -104.987396 39.7352771)",,
"[589295827, 589295828, 132735686]",False,2,,Bannock Street,tertiary,25 mph,False,142.885,"LINESTRING (-104.9902547 39.7368531, -104.990254 39.7368869, -104.990254 39.7369538, -104.9902597 39.7371921, -104.9902628 39.7373226, -104.9902659 39.7374532, -104.9902692 39.7375907, -104.990272 39.7377104, -104.990273 39.7377509, -104.9902822 39.7381379)",,
"[589281712, 589281709]",False,"['3', '2']",,Bannock Street,tertiary,25 mph,True,176.70300000000003,"LINESTRING (-104.9902547 39.7368531, -104.9902527 39.7367563, -104.9902537 39.7365467, -104.9902529 39.7363008, -104.990252 39.7360518, -104.9902508 39.7356934, -104.9902497 39.7353616, -104.9902494 39.735264)",,
"[628398047, 769415491, 132915796, 769415492]",True,5,,Broadway,primary,30 mph,False,108.21799999999999,"LINESTRING (-104.9873865 39.7416884, -104.987384 39.7416399, -104.987387 39.7415601, -104.9873878 39.7414956, -104.9873892 39.7414151, -104.9873885 39.7413755, -104.9873893 39.7412999, -104.9873915 39.7410883, -104.9873935 39.7408903, -104.987393 39.7408768, -104.9873959 39.7407153)",,
330615235,True,2,,East 16th Avenue,tertiary,,False,42.254999999999995,"LINESTRING (-104.9873865 39.7416884, -104.9872571 39.7416882, -104.9868923 39.7416881)",,
16982257,False,2,,East 16th Avenue,tertiary,,False,11.201,"LINESTRING (-104.9861093 39.7416811, -104.9862403 39.7416819)",,
