osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,ref,tunnel,width
4196693,Gillingham Street,residential,20 mph,False,True,75.312,"LINESTRING (-0.1417958 51.4937686, -0.1418437 51.4937452, -0.1426515 51.4933504)",,,,,
909518387,Wilton Road,unclassified,20 mph,False,True,161.882,"LINESTRING (-0.1417958 51.4937686, -0.1415437 51.4935654, -0.1408911 51.4930353, -0.1407078 51.4928864, -0.1405929 51.4927951, -0.1403676 51.4926159)",,,,,
"[4365475, 22870508, 57010895]",Eccleston Bridge,trunk,20 mph,True,False,68.41900000000001,"LINESTRING (-0.1446826 51.493418, -0.1447774 51.4934797, -0.1450995 51.4936238, -0.1453616 51.4937055, -0.1455071 51.493749)",yes,3,A202,,
4187664,Warwick Way,tertiary,20 mph,False,False,93.644,"LINESTRING (-0.1412764 51.4918291, -0.1415662 51.4917433, -0.1424978 51.4914673)",,,,,
41698800,Belgrave Road,primary,20 mph,False,False,135.009,"LINESTRING (-0.1412764 51.4918291, -0.1415229 51.4919449, -0.1428332 51.4925603)",,,A3213,,
41698800,Belgrave Road,primary,20 mph,False,True,45.519000000000005,"LINESTRING (-0.1412764 51.4918291, -0.1410399 51.4917118, -0.1409885 51.4916875, -0.1407572 51.491578)",,,A3213,,
"[1167666836, 1167666837]",Warwick Way,tertiary,20 mph,False,True,28.226,"LINESTRING (-0.1412764 51.4918291, -0.1410993 51.4918815, -0.141007 51.4919089, -0.1409082 51.4919381)",,,,,
450090623,Vauxhall Bridge Road,trunk,20 mph,False,True,35.404,"LINESTRING (-0.1395782 51.4935066, -0.1399832 51.493701)",,,A202,,
"[1070252752, 1070252751, 1167763195, 450090623]",Vauxhall Bridge Road,trunk,20 mph,False,False,132.118,"LINESTRING (-0.1395782 51.4935066, -0.1391057 51.4932799, -0.138795 51.4931295, -0.1383698 51.4929237, -0.1383109 51.4928952, -0.13807 51.4927786)",,,A202,,
"[1036184121, 1167663725, 1167663726]",Upper Tachbrook Street,residential,20 mph,True,False,61.745000000000005,"LINESTRING (-0.1395782 51.4935066, -0.1396498 51.4934557, -0.1396738 51.4934059, -0.1396704 51.4933727, -0.1396485 51.4933433, -0.1395474 51.4932339, -0.139352 51.4930227)",,,,,
4187664,Warwick Way,tertiary,20 mph,False,True,34.899,"LINESTRING (-0.146212 51.4903673, -0.1457568 51.4905021)",,,,,
4187664,Warwick Way,tertiary,20 mph,False,False,126.767,"LINESTRING (-0.146212 51.4903673, -0.1463655 51.490332, -0.1467803 51.4902365, -0.147498 51.4900964, -0.1477456 51.4900611, -0.147961 51.4900367)",,,,,
536465283,Winchester Street,residential,20 mph,False,True,36.071,"LINESTRING (-0.146212 51.4903673, -0.1461131 51.4901862, -0.1460517 51.4900587)",,,,,
4187664,Warwick Way,tertiary,20 mph,False,False,34.899,"LINESTRING (-0.1457568 51.4905021, -0.146212 51.4903673)",,,,,
4187664,Warwick Way,tertiary,20 mph,False,True,57.534,"LINESTRING (-0.1457568 51.4905021, -0.1450064 51.4907244)",,,,,
"[4203976, 1266649813, 1266649814, 1266649815, 1266649816]",Alderney Street,residential,20 mph,True,False,148.106,"LINESTRING (-0.1457568 51.4905021, -0.1457215 51.4904771, -0.1456773 51.4904458, -0.1456034 51.4903935, -0.1450367 51.4901268, -0.144178 51.4897312, -0.1441335 51.4897107, -0.1440748 51.4896837)",,,,,
4187664,Warwick Way,tertiary,20 mph,False,False,57.534,"LINESTRING (-0.1450064 51.4907244, -0.1457568 51.4905021)",,,,,
4187664,Warwick Way,tertiary,20 mph,False,True,67.566,"LINESTRING (-0.1450064 51.4907244, -0.1444173 51.4908989, -0.1441251 51.4909854)",,,,,
440531408,Cambridge Street,residential,20 mph,True,False,130.09400000000002,"LINESTRING (-0.1450064 51.4907244, -0.1451414 51.4907831, -0.1464495 51.4914184, -0.1464908 51.4914414)",,,,,
4187664,Warwick Way,tertiary,20 mph,False,False,67.566,"LINESTRING (-0.1441251 51.4909854, -0.1444173 51.4908989, -0.1450064 51.4907244)",,,,,
4187664,Warwick Way,tertiary,20 mph,False,True,82.331,"LINESTRING (-0.1441251 51.4909854, -0.1439299 51.4910432, -0.1430512 51.4913034)",,,,,
28102714,St George's Drive,tertiary,20 mph,False,False,90.184,"LINESTRING (-0.1441251 51.4909854, -0.1440386 51.4909224, -0.1439995 51.4909033, -0.1431188 51.4904727)",,,,,
4187664,Warwick Way,tertiary,20 mph,False,True,42.428,"LINESTRING (-0.1430512 51.4913034, -0.1424978 51.4914673)",,,,,
4202742,West Warwick Place,residential,20 mph,False,False,43.839,"LINESTRING (-0.1430512 51.4913034, -0.1427791 51.4909474)",,,,,
4187612,Eccleston Square Mews,residential,20 mph,False,True,65.147,"LINESTRING (-0.1430512 51.4913034, -0.143244 51.4915598, -0.142943 51.4917976)",,,,,
4187664,Warwick Way,tertiary,20 mph,False,False,82.331,"LINESTRING (-0.1430512 51.4913034, -0.1439299 51.4910432, -0.1441251 51.4909854)",,,,,
4365346,Elizabeth Street,residential,20 mph,False,True,49.887,"LINESTRING (-0.1502824 51.4932963, -0.1502892 51.4933002, -0.1503821 51.4933539, -0.1506109 51.4935037, -0.1507872 51.4936163)",,,,,
"[85257721, 4365355]",Elizabeth Street,residential,20 mph,True,False,135.62900000000002,"LINESTRING (-0.1502824 51.4932963, -0.1501708 51.4932529, -0.1498594 51.4931474, -0.1495636 51.4930473, -0.1490142 51.4928554, -0.1489454 51.4928361, -0.148848 51.4928083, -0.1485568 51.4927202)",,,,,
"[4082753, 43909356]",Elizabeth Bridge,residential,20 mph,True,False,81.394,"LINESTRING (-0.1477997 51.4925121, -0.1476312 51.4924671, -0.1475509 51.4924495, -0.1469797 51.4922713, -0.1467416 51.4921943)",yes,2,,,
42719331,Buckingham Palace Road,primary,20 mph,False,False,135.503,"LINESTRING (-0.1477997 51.4925121, -0.1478927 51.4924169, -0.1479412 51.4923713, -0.1480304 51.4922875, -0.1481787 51.4921481, -0.1488748 51.4914939)",,,A3214,,
"[651722048, 85257746]",Buckingham Palace Road,primary,20 mph,False,False,160.138,"LINESTRING (-0.1477997 51.4925121, -0.1477105 51.4926365, -0.1476835 51.4926743, -0.1475807 51.4928176, -0.1471353 51.493439, -0.1468598 51.493828)",,,A3214,,
"[223054400, 59416740, 1130968998, 871924298, 871924300]",Grosvenor Road,trunk,20 mph,True,False,36.326,"LINESTRING (-0.149443 51.485794, -0.1495422 51.4857694, -0.1495814 51.4857701, -0.1496978 51.4857762, -0.1497195 51.4857772, -0.1497939 51.4857792, -0.1498226 51.4857802, -0.1498683 51.4857805, -0.1498996 51.4857815, -0.1499593 51.4857792)",,1,A3212,,
"[551596448, 1017492166, 813885830, 1017492167, 1029122220, 186283253, 186283254, 536523704]",Grosvenor Road,trunk,20 mph,False,False,265.522,"LINESTRING (-0.149443 51.485794, -0.149115 51.4857715, -0.1486856 51.4857678, -0.1486527 51.4857675, -0.1483439 51.4857643, -0.1477502 51.4857654, -0.146951 51.4857799, -0.1467279 51.485779, -0.1465983 51.4857784, -0.1463052 51.4857668, -0.1461113 51.4857507, -0.1459728 51.4857388, -0.1458917 51.4857324, -0.1458695 51.4857305, -0.145815 51.4857257, -0.1457514 51.4857199, -0.1456174 51.4857098)",,2,A3212,,
4562274,Claverton Street,tertiary,20 mph,False,True,128.81,"LINESTRING (-0.1372817 51.4852417, -0.137308 51.4852994, -0.1373254 51.48534, -0.1373377 51.4853685, -0.1373549 51.4854109, -0.137616 51.4860511, -0.1377436 51.4863638)",,2,,,
"[262459553, 44383715, 34401597, 1017492168, 895238013, 1029127199, 1070598993, 895238014, 1238603443, 1238603445, 1238603446, 1029127194, 1029127195, 1029127196, 1029127197, 1029127198, 895238015]",Grosvenor Road,trunk,20 mph,False,True,591.6320000000001,"LINESTRING (-0.1372817 51.4852417, -0.1373906 51.4852255, -0.1375429 51.485204, -0.137607 51.4851923, -0.1376782 51.4851803, -0.137957 51.4851297, -0.1383549 51.4850613, -0.1389731 51.4849634, -0.1392426 51.4849322, -0.1394063 51.4849234, -0.1397081 51.4849117, -0.1401152 51.4849314, -0.1410804 51.4850693, -0.1415707 51.4851505, -0.1418114 51.4851904, -0.1421416 51.4852457, -0.1425617 51.4853154, -0.142768 51.4853464, -0.1431678 51.4854042, -0.1434587 51.4854469, -0.1444085 51.4855776, -0.1450272 51.4856527, -0.1453565 51.485688, -0.1454487 51.4856973, -0.145522 51.4857026, -0.1456174 51.4857098)",,2,A3212,,
28102714,St George's Drive,tertiary,20 mph,False,False,58.869,"LINESTRING (-0.1431188 51.4904727, -0.1424396 51.4901542)",,,,,
74763337,Clarendon Street,residential,20 mph,True,False,57.581,"LINESTRING (-0.1431188 51.4904727, -0.1436324 51.4900654)",,,,,
28102714,St George's Drive,tertiary,20 mph,False,True,90.184,"LINESTRING (-0.1431188 51.4904727, -0.1439995 51.4909033, -0.1440386 51.4909224, -0.1441251 51.4909854)",,,,,
74763338,Clarendon Street,residential,20 mph,False,False,54.254,"LINESTRING (-0.1431188 51.4904727, -0.1430567 51.4905266, -0.1426619 51.4908691)",,,,,
