osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,tunnel,bridge,access,junction,width
4041175,True,2,Great Charles Street Queensway,secondary,30 mph,False,94.59299999999999,"LINESTRING (-1.9012795 52.483964, -1.9013826 52.4837886, -1.9017891 52.4834496, -1.9020419 52.4832595)",,,,,,
"[688146299, 23363978, 4701475, 52026803]",True,2,"['Queensway', 'Suffolk Street Queensway']",trunk,30 mph,False,874.4359999999999,"LINESTRING (-1.9012795 52.483964, -1.9027681 52.4828536, -1.9041418 52.4818736, -1.9056876 52.4807607, -1.90579 52.4806861, -1.9058964 52.4805815, -1.9059986 52.4804482, -1.9060163 52.4804105, -1.90607 52.4802729, -1.9060833 52.4801292, -1.9060542 52.4800012, -1.9060153 52.4799098, -1.9059775 52.4798413, -1.9051268 52.4787453, -1.9050451 52.4786531, -1.9049526 52.478564, -1.9047445 52.4783859, -1.9045012 52.4782184, -1.9042315 52.4780578, -1.9040336 52.4779376, -1.9037476 52.4777332, -1.9035779 52.4776069)",A38,yes,yes,,,
3869104,True,4,Great Charles Street Queensway,trunk,30 mph,False,26.747,"LINESTRING (-1.9010327 52.4841518, -1.9012795 52.483964)",A38,,,,,
8022940,True,2,Livery Street,unclassified,20 mph,False,82.305,"LINESTRING (-1.9010327 52.4841518, -1.9008781 52.4840491, -1.9002117 52.483606)",,,,,,
"[4253202, 172640652]",True,2,,trunk_link,30 mph,False,52.159,"LINESTRING (-1.9026219 52.4765742, -1.9028692 52.4767925, -1.9029589 52.4769889)",,,,,,
15492599,True,,,unclassified,,False,6.5809999999999995,"LINESTRING (-1.9026219 52.4765742, -1.9026964 52.4765717, -1.9027189 52.4765727)",,,,,,
"[22323310, 22323303]",False,,Bridge Street,unclassified,20 mph,"[False, True]",228.46800000000002,"LINESTRING (-1.9090173 52.4785171, -1.9089831 52.4784799, -1.9088562 52.4783392, -1.9085393 52.4779938, -1.908322 52.4777668, -1.9082295 52.4776562, -1.9081122 52.4775392, -1.9078899 52.4773198, -1.9075762 52.4770045, -1.9073711 52.4767907, -1.9073264 52.4767398)",,,,,,
"[380807153, 592382418, 540448542, 382463207]",True,2,"['Paradise Circus Queensway', 'Great Charles Street Queensway']",secondary,30 mph,False,161.17,"LINESTRING (-1.9044925 52.4815785, -1.9051997 52.4810687, -1.9053023 52.4809953, -1.9053947 52.4809583, -1.9054405 52.48094, -1.9055354 52.4809164, -1.9056303 52.4809044, -1.9057199 52.4809012, -1.9058305 52.480913, -1.9059434 52.4809301, -1.9061896 52.4809823, -1.9063579 52.4810244)",,,,,,
11114808,False,2,Ladywell Walk,tertiary,20 mph,False,31.424,"LINESTRING (-1.8955389 52.4753182, -1.8956257 52.4753563, -1.8957116 52.4753874, -1.8958256 52.4754164, -1.8958832 52.475429, -1.8959522 52.4754422)",,,,,,
11114808,False,2,Ladywell Walk,tertiary,20 mph,True,31.424,"LINESTRING (-1.8959522 52.4754422, -1.8958832 52.475429, -1.8958256 52.4754164, -1.8957116 52.4753874, -1.8956257 52.4753563, -1.8955389 52.4753182)",,,,,,
