osmid,highway,oneway,reversed,length,geometry,ref,lanes,name,bridge
15668203,residential,False,False,104.74199999999999,"LINESTRING (-81.376943 37.580064, -81.377232 37.580153, -81.3781069 37.5802163)",,,,
15668203,residential,False,True,104.74199999999999,"LINESTRING (-81.3781069 37.5802163, -81.377232 37.580153, -81.376943 37.580064)",,,,
108279318,secondary,False,True,348.57,"LINESTRING (-81.3781069 37.5802163, -81.378662 37.5805266, -81.3791132 37.5808358, -81.379398 37.5811047, -81.3795543 37.5813215, -81.3796194 37.5814919, -81.3796383 37.5816722, -81.3797302 37.5828339)",WV 16,,,
15673768,primary,False,False,185.47099999999998,"LINESTRING (-81.384503 37.5806443, -81.382696 37.5812324, -81.3825581 37.5812817)",WV 16,2,Guyandot Avenue,
15672548,residential,False,False,15.324,"LINESTRING (-81.3768465 37.5868304, -81.3770027 37.586891)",,,Lilly Street,
15672217,residential,False,True,216.48000000000002,"LINESTRING (-81.3768465 37.5868304, -81.377397 37.586319, -81.377614 37.5861818, -81.3778637 37.5860785, -81.3788954 37.585927)",,,Church Street,
15672109,residential,False,False,109.622,"LINESTRING (-81.3847313 37.5835558, -81.3837534 37.5841652)",,,Circle Drive,
15672821,residential,False,False,97.769,"LINESTRING (-81.3847313 37.5835558, -81.3857752 37.5838537)",,,McGraw Street,
15672109,residential,False,True,109.622,"LINESTRING (-81.3837534 37.5841652, -81.3847313 37.5835558)",,,Circle Drive,
15673647,residential,False,False,65.745,"LINESTRING (-81.3837534 37.5841652, -81.383032 37.5840143)",,,West Highland Avenue,
15672165,primary,False,False,17.347,"LINESTRING (-81.3803224 37.5831547, -81.3801335 37.5831108)",WV 16,,,
108279280,residential,False,False,102.579,"LINESTRING (-81.3803224 37.5831547, -81.3803614 37.5840767)",,,Moran Avenue,
108279340,primary,False,False,39.838,"LINESTRING (-81.3803224 37.5831547, -81.3807745 37.5831542)",WV 16,,2nd Street,
15672165,primary,False,True,19.203,"LINESTRING (-81.3797606 37.5831159, -81.3799785 37.5831134)",WV 16,,,
15673560,primary,False,False,46.847,"LINESTRING (-81.3797606 37.5831159, -81.3798024 37.5835359)",WV 54,,,
108279318,secondary,False,False,31.471,"LINESTRING (-81.3797606 37.5831159, -81.3797302 37.5828339)",WV 16,,,
256791254,residential,False,False,217.128,"LINESTRING (-81.3793106 37.5861048, -81.3772327 37.5871544)",,,Moran Avenue,
256791254,residential,False,True,37.59,"LINESTRING (-81.3793106 37.5861048, -81.3796901 37.5859504)",,,Moran Avenue,
15672217,residential,False,False,46.553,"LINESTRING (-81.3793106 37.5861048, -81.3790676 37.5859017, -81.3788954 37.585927)",,,Church Street,
644861737,residential,False,False,41.452,"LINESTRING (-81.3826842 37.5837633, -81.383032 37.5840143)",,,Highland Avenue,
15672490,residential,True,False,431.12800000000004,"LINESTRING (-81.3826842 37.5837633, -81.3826336 37.5837104, -81.3825144 37.5835424, -81.3824172 37.5822854, -81.3824606 37.5821339, -81.3825895 37.5820193, -81.3840882 37.5810048, -81.384503 37.5806443)",,,Highland Avenue,
15673049,residential,False,False,82.686,"LINESTRING (-81.383032 37.5840143, -81.3827902 37.5847328)",,,6th Street,
15673647,residential,False,True,65.745,"LINESTRING (-81.383032 37.5840143, -81.3837534 37.5841652)",,,West Highland Avenue,
644861737,residential,False,True,41.452,"LINESTRING (-81.383032 37.5840143, -81.3826842 37.5837633)",,,Highland Avenue,
15672504,residential,False,False,102.127,"LINESTRING (-81.3808013 37.5840724, -81.3807745 37.5831542)",,,Holroyd Avenue,
15674193,residential,True,False,40.889,"LINESTRING (-81.3808013 37.5840724, -81.3812653 37.5840682)",,,3rd Street,
15672504,residential,False,True,102.127,"LINESTRING (-81.3807745 37.5831542, -81.3808013 37.5840724)",,,Holroyd Avenue,
108279340,primary,False,False,39.971,"LINESTRING (-81.3807745 37.5831542, -81.381228 37.5831466)",WV 16,,2nd Street,
108279340,primary,False,True,39.838,"LINESTRING (-81.3807745 37.5831542, -81.3803224 37.5831547)",WV 16,,2nd Street,
15672504,residential,False,False,105.291,"LINESTRING (-81.3807745 37.5831542, -81.3807705 37.582996, -81.3807647 37.5827712, -81.3807503 37.5822075)",,,Holroyd Avenue,
15672504,residential,False,False,49.324,"LINESTRING (-81.3807503 37.5822075, -81.3807396 37.581764)",,,Holroyd Avenue,
108279411,primary,True,False,41.593,"LINESTRING (-81.3807503 37.5822075, -81.3802783 37.5822083)",WV 16,,1st Street,
15672504,residential,False,True,105.291,"LINESTRING (-81.3807503 37.5822075, -81.3807647 37.5827712, -81.3807705 37.582996, -81.3807745 37.5831542)",,,Holroyd Avenue,
15672548,residential,False,True,35.617,"LINESTRING (-81.3772327 37.5871544, -81.3770027 37.586891)",,,Lilly Street,
256791254,residential,False,True,217.128,"LINESTRING (-81.3772327 37.5871544, -81.3793106 37.5861048)",,,Moran Avenue,
15672821,residential,False,True,97.769,"LINESTRING (-81.3857752 37.5838537, -81.3847313 37.5835558)",,,McGraw Street,
15672981,residential,False,True,26.518,"LINESTRING (-81.3857752 37.5838537, -81.3859497 37.5836594)",,,Pearl Street,
108279411,primary,True,False,39.66,"LINESTRING (-81.3812 37.582193, -81.3807503 37.5822075)",WV 16,,1st Street,
"[256793984, 15673768, 15672847]",primary,False,True,166.737,"LINESTRING (-81.3812 37.582193, -81.3815146 37.5821858, -81.3815829 37.5821418, -81.3818124 37.5818811, -81.3822255 37.581422, -81.3825581 37.5812817)",WV 16,2,"['Guyandot Avenue', '1st Street']",yes
