osmid,name,highway,oneway,reversed,length,geometry,bridge,ref
19489850,Harrison Street,residential,False,False,123.52799999999999,"LINESTRING (-83.2167118 36.5268232, -83.2172627 36.5273812, -83.217583 36.5276856)",,
19490813,Bowlin Street,residential,False,True,215.999,"LINESTRING (-83.2167118 36.5268232, -83.2167644 36.5267882, -83.2170908 36.5265709, -83.2171628 36.526576, -83.2172285 36.5266094, -83.217608 36.5269909, -83.2179136 36.527255, -83.217966 36.5273255, -83.2179728 36.5273886, -83.2179111 36.5274446, -83.2176519 36.527635, -83.217583 36.5276856)",,
"[19491928, 19489850, 653167988, 653167989]","['Harrison Street', 'Seal Avenue']",residential,False,True,792.0239999999999,"LINESTRING (-83.2167118 36.5268232, -83.2156864 36.5258365, -83.2156232 36.5257677, -83.2153392 36.5254809, -83.2152133 36.5253763, -83.2151136 36.5252935, -83.2150323 36.5252655, -83.2149325 36.5252968, -83.2148088 36.5253703, -83.2145757 36.5256312, -83.214481 36.5257949, -83.2144756 36.5259188, -83.2144883 36.5260843, -83.2145365 36.5263682, -83.2144617 36.5266042, -83.214099 36.5284981, -83.2139377 36.5293022, -83.2137718 36.5300824)",yes,
546373626,,residential,False,False,535.5690000000001,"LINESTRING (-83.2167118 36.5268232, -83.2161857 36.5271874, -83.2160462 36.5272811, -83.2158028 36.5274389, -83.2157735 36.5274989, -83.2158324 36.5276067, -83.2164896 36.528208, -83.21655 36.5282996, -83.2165486 36.5283395, -83.2165084 36.5284041, -83.2160685 36.5287145, -83.2155442 36.5290507, -83.2154342 36.5290787, -83.2153403 36.5291219, -83.214989 36.52936, -83.2149742 36.5294075, -83.2149903 36.5294613, -83.2150587 36.5295206, -83.2156447 36.5299128, -83.2159866 36.5300485)",,
19492654,Sterling Drive,residential,False,True,35.812,"LINESTRING (-83.222657 36.5307969, -83.2225065 36.5304984)",,
19489850,Harrison Street,residential,False,False,102.77399999999999,"LINESTRING (-83.217583 36.5276856, -83.2179102 36.5279883, -83.2181428 36.528197, -83.2184136 36.5283055)",,
19489850,Harrison Street,residential,False,True,123.52799999999999,"LINESTRING (-83.217583 36.5276856, -83.2172627 36.5273812, -83.2167118 36.5268232)",,
19490813,Bowlin Street,residential,False,False,215.999,"LINESTRING (-83.217583 36.5276856, -83.2176519 36.527635, -83.2179111 36.5274446, -83.2179728 36.5273886, -83.217966 36.5273255, -83.2179136 36.527255, -83.217608 36.5269909, -83.2172285 36.5266094, -83.2171628 36.526576, -83.2170908 36.5265709, -83.2167644 36.5267882, -83.2167118 36.5268232)",,
653167945,Jail Street,residential,False,False,66.291,"LINESTRING (-83.2184136 36.5283055, -83.2178589 36.5287014)",,
19489850,Harrison Street,residential,False,True,102.774,"LINESTRING (-83.2184136 36.5283055, -83.2181428 36.528197, -83.2179102 36.5279883, -83.217583 36.5276856)",,
19489851,Harrison Street,residential,False,False,51.912000000000006,"LINESTRING (-83.2184136 36.5283055, -83.218463 36.5283545, -83.218641 36.5285414, -83.2187758 36.5286704)",,
653167977,Main Street,primary,False,False,63.759,"LINESTRING (-83.2187758 36.5286704, -83.2182442 36.5290529)",,SR 33
19489851,Harrison Street,residential,False,True,51.912000000000006,"LINESTRING (-83.2187758 36.5286704, -83.218641 36.5285414, -83.218463 36.5283545, -83.2184136 36.5283055)",,
"[653167977, 653167997, 653167998]",Main Street,primary,False,True,102.583,"LINESTRING (-83.2187758 36.5286704, -83.2188863 36.5285923, -83.2189528 36.5285513, -83.2191985 36.5283712, -83.2192689 36.5283031, -83.219358 36.5282414, -83.2195977 36.5280291)",yes,SR 33
653168000,Main Street,primary,False,True,34.533,"LINESTRING (-83.2134076 36.5336653, -83.2136711 36.5334381)",,SR 33
19489947,Jockey Street,residential,False,False,94.053,"LINESTRING (-83.2181948 36.530868, -83.2174869 36.530242)",,
19492940,Livesay Street,residential,False,True,45.977,"LINESTRING (-83.2181948 36.530868, -83.2185774 36.5305915)",,
19492940,Livesay Street,residential,False,False,95.13600000000001,"LINESTRING (-83.2181948 36.530868, -83.2178505 36.5311247, -83.2176293 36.5312969, -83.2174142 36.5314497)",,
19489947,Jockey Street,residential,False,True,94.053,"LINESTRING (-83.2174869 36.530242, -83.2181948 36.530868)",,
19491100,Church Street,residential,False,False,86.275,"LINESTRING (-83.2174869 36.530242, -83.2168174 36.5308011)",,
19491100,Church Street,residential,False,True,54.836999999999996,"LINESTRING (-83.2174869 36.530242, -83.2177238 36.5300936, -83.2178696 36.5299946, -83.2179611 36.5299292)",,
653167974,Jockey Street,residential,False,False,51.67,"LINESTRING (-83.2174869 36.530242, -83.2173032 36.5300808, -83.2170904 36.5299038)",,
653167973,Jockey Street,residential,False,False,53.948,"LINESTRING (-83.2170904 36.5299038, -83.2166932 36.5295384)",,
653167937,Main Street,primary,False,True,55.211,"LINESTRING (-83.2170904 36.5299038, -83.2173049 36.5297454, -83.2175557 36.5295773)",,SR 33
653167974,Jockey Street,residential,False,True,51.67,"LINESTRING (-83.2170904 36.5299038, -83.2173032 36.5300808, -83.2174869 36.530242)",,
653167975,Main Street,primary,False,False,85.086,"LINESTRING (-83.2170904 36.5299038, -83.2166606 36.5301924, -83.2163791 36.5304118)",,SR 33
19490790,Jail Street,residential,False,True,56.216,"LINESTRING (-83.2166932 36.5295384, -83.2171644 36.5292034)",,
653167973,Jockey Street,residential,False,True,53.948,"LINESTRING (-83.2166932 36.5295384, -83.2170904 36.5299038)",,
19490790,Jail Street,residential,False,False,85.002,"LINESTRING (-83.2166932 36.5295384, -83.2162276 36.5298472, -83.2159866 36.5300485)",,
19489959,Walnut Avenue,residential,False,False,155.356,"LINESTRING (-83.2206696 36.5262957, -83.2208155 36.5263389, -83.221539 36.5271, -83.2218181 36.5273204)",,
19492828,Newman Street,residential,False,False,110.959,"LINESTRING (-83.2206696 36.5262957, -83.2208075 36.5262653, -83.2216802 36.5257288)",,
653167998,Main Street,primary,False,False,147.963,"LINESTRING (-83.2206696 36.5262957, -83.2206336 36.5265081, -83.2205746 36.5266655, -83.219965 36.5274817)",,SR 33
19489959,Walnut Avenue,residential,False,True,155.356,"LINESTRING (-83.2218181 36.5273204, -83.221539 36.5271, -83.2208155 36.5263389, -83.2206696 36.5262957)",,
19490709,Cemetery Road,residential,False,False,207.851,"LINESTRING (-83.2218181 36.5273204, -83.2215588 36.527486, -83.2212178 36.5276705, -83.2207776 36.5278732, -83.2205879 36.5279263, -83.2204833 36.5279291, -83.2203822 36.5278619, -83.2202044 36.527635, -83.219965 36.5274817)",,
"[19492421, 19490709]","['Clinch Avenue', 'Cemetery Road']",residential,False,"[False, True]",244.785,"LINESTRING (-83.2218181 36.5273204, -83.2226215 36.5268278, -83.2226683 36.5267486, -83.2226683 36.5267085, -83.2222928 36.5263633, -83.2219959 36.5260542, -83.2216802 36.5257288)",,
19491925,Reservoir Road,residential,False,False,86.619,"LINESTRING (-83.2218181 36.5273204, -83.2219907 36.5273214, -83.2227873 36.5273353)",,
19490234,Back Valley Road,residential,False,False,47.436,"LINESTRING (-83.2219853 36.5304214, -83.2222082 36.5304673, -83.2225065 36.5304984)",,
"[1033787050, 1033787051, 19491556, 19491410]","['Ferguson Chapel Road', 'Campbell Drive']",residential,False,True,151.68300000000002,"LINESTRING (-83.2219853 36.5304214, -83.2206865 36.5301521, -83.2205573 36.5300878, -83.2205193 36.5300504, -83.2204651 36.5299723, -83.2204502 36.5299487)",yes,
19492654,Sterling Drive,residential,False,False,35.812,"LINESTRING (-83.2225065 36.5304984, -83.222657 36.5307969)",,
