osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,bridge,junction,tunnel,width
8232691,True,3,R858,secondary,50,False,114.927,"LINESTRING (-8.6248894 52.6570295, -8.6251479 52.6570949, -8.6254256 52.657165, -8.6261941 52.657359, -8.6264617 52.6574278)",,,,,
115490688,True,2,R858,secondary,50,False,117.005,"LINESTRING (-8.6264617 52.6574278, -8.6263651 52.6576177, -8.6258905 52.6584212)",,,,,
455557192,False,2,R858,secondary,50,True,45.623999999999995,"LINESTRING (-8.6264617 52.6574278, -8.6265016 52.6573479, -8.626542 52.657267, -8.6267024 52.6570451)",Lord Edward Street,,,,
211203191,True,2,R858,secondary,50,False,27.65,"LINESTRING (-8.6258905 52.6584212, -8.6257319 52.6586505)",Boherbuoy,,,,
8232694,False,2,,unclassified,50,False,111.36,"LINESTRING (-8.6258905 52.6584212, -8.6259549 52.6584446, -8.6267338 52.6587277, -8.6272979 52.6589447)",Mallow Street Upper,,,,
41691345,False,2,R526,secondary,50,False,108.277,"LINESTRING (-8.6305543 52.6601699, -8.6314364 52.6593563)",O'Connell Street,,,,
23178050,True,2,R527,secondary,50,False,113.706,"LINESTRING (-8.6305543 52.6601699, -8.6307607 52.6602484, -8.6312782 52.6604505, -8.6317573 52.6606329, -8.6318001 52.6606492, -8.6318216 52.6606574, -8.631978 52.6607176)",Lower Mallow Street,,,,
55681683,False,2,,unclassified,50,True,109.649,"LINESTRING (-8.6305543 52.6601699, -8.6298627 52.659906, -8.6297896 52.6598757, -8.6292568 52.6596741, -8.6291786 52.6596445)",Mallow Street,,,,
23177823,True,,R527,secondary,50,False,29.112000000000002,"LINESTRING (-8.631978 52.6607176, -8.6320582 52.6607318, -8.6321111 52.6607503, -8.6322692 52.6608117, -8.6323372 52.6608556)",Lower Mallow Street,,,,
23961796,True,2,R526,secondary,50,False,32.998000000000005,"LINESTRING (-8.631978 52.6607176, -8.6318897 52.6608096, -8.6317183 52.660969)",Henry Street,,,,
560426566,False,2,,unclassified,50,True,105.96699999999998,"LINESTRING (-8.631978 52.6607176, -8.6320787 52.6606291, -8.6320993 52.6606092, -8.6321255 52.660584, -8.6322216 52.6604913, -8.6324597 52.6602653, -8.632767 52.6599688, -8.6328233 52.6599144)",Henry Street,,,,
455557192,False,2,R858,secondary,50,True,14.878,"LINESTRING (-8.6267024 52.6570451, -8.6268552 52.6569486)",Lord Edward Street,,,,
112894613,False,2,,unclassified,,False,56.328,"LINESTRING (-8.6267024 52.6570451, -8.6267723 52.6570808, -8.6273556 52.6573607)",,,,,
455557192,False,2,R858,secondary,50,False,45.624,"LINESTRING (-8.6267024 52.6570451, -8.626542 52.657267, -8.6265016 52.6573479, -8.6264617 52.6574278)",Lord Edward Street,,,,
"[23178040, 560645594, 560645589]",False,2,R526,secondary,50,False,75.637,"LINESTRING (-8.6321257 52.6584995, -8.63219 52.6584225, -8.6322953 52.6582966, -8.6323696 52.6582077, -8.6326328 52.6578928)",Quinlan Street,,,,
23178043,True,1,R526,secondary,50,False,107.50699999999999,"LINESTRING (-8.6321257 52.6584995, -8.6319898 52.6587986, -8.6318889 52.6589622, -8.6318132 52.659054, -8.6317176 52.6591418, -8.6314364 52.6593563)",The Crescent,,,,
23178045,False,2,,unclassified,50,False,111.46499999999999,"LINESTRING (-8.6321257 52.6584995, -8.632225 52.6585251, -8.6326427 52.6586326, -8.6330813 52.6587455, -8.6331968 52.6587752, -8.6335253 52.6588598, -8.633647 52.6588911)",Newenham Street,,,,
112894609,False,2,,unclassified,50,False,55.481,"LINESTRING (-8.6321257 52.6584995, -8.6319891 52.6584668, -8.6313605 52.6583164)",Barrington Street,,,,
20478888,False,,,unclassified,50,True,42.864,"LINESTRING (-8.6348557 52.6592477, -8.6352303 52.6595591)",,,,,
87872643,False,,,unclassified,50,False,69.654,"LINESTRING (-8.6348557 52.6592477, -8.6356752 52.6588665)",Little O'Curry Street,,,,
20478887,False,,,unclassified,50,True,91.245,"LINESTRING (-8.6348557 52.6592477, -8.6340243 52.6587999, -8.6338334 52.6587107)",Windmill Street,,,,
23177794,True,2,R527,secondary,50,False,135.24699999999999,"LINESTRING (-8.6242253 52.660819, -8.6254407 52.6613169, -8.6255279 52.6613521, -8.6258892 52.6614979)",Roches Street,,,,
23177805,True,1,R858,secondary,50,False,34.991,"LINESTRING (-8.6242253 52.660819, -8.6241745 52.6608991, -8.6241457 52.6609444, -8.6240132 52.6611058)",Wickham Street,,,,
23173791,True,2,,unclassified,30,False,107.75299999999999,"LINESTRING (-8.6306367 52.6633419, -8.6305538 52.663421, -8.6298803 52.6640632, -8.6297893 52.6641632)",Harvey's Quay,,,,
23177811,False,2,,unclassified,30,True,79.764,"LINESTRING (-8.6306367 52.6633419, -8.6312569 52.6628061, -8.6313163 52.6627548)",Howley's Quay,,,,
114816104,True,2,R526,secondary,50,False,55.77,"LINESTRING (-8.6246131 52.6655486, -8.6251187 52.6651517)",Patrick Street,,,,
22716473,True,2,,unclassified,50,False,114.47500000000001,"LINESTRING (-8.6297288 52.6609595, -8.6298722 52.6610164, -8.6304566 52.6612481, -8.6305817 52.6612963, -8.6311555 52.6615172)",Lower Glentworth Street,,,,
23961768,True,2,R526,secondary,50,False,103.965,"LINESTRING (-8.6297288 52.6609595, -8.6297943 52.6608968, -8.6304433 52.660276, -8.6305543 52.6601699)",O'Connell Street,,,,
603474146,False,,,unclassified,50,True,111.02499999999999,"LINESTRING (-8.6297288 52.6609595, -8.6295827 52.6609037, -8.6291873 52.6607527, -8.6290716 52.6607066, -8.6284589 52.6604733, -8.6283366 52.6604267)",Glentworth Street,,,,
55681684,True,4,R526,secondary,50,False,109.166,"LINESTRING (-8.6311555 52.6615172, -8.6308895 52.6617675, -8.6307226 52.6619246, -8.6305595 52.6620781, -8.6302786 52.6623424)",Henry Street,,,,
22716471,True,2,R527,secondary,50,False,310.171,"LINESTRING (-8.6266819 52.6638204, -8.6265531 52.6637695, -8.6262434 52.6636401, -8.6259531 52.6635256, -8.6257745 52.6634521, -8.6249303 52.663136, -8.6248334 52.6630997, -8.623691 52.6626639, -8.6228439 52.6623312, -8.6228082 52.6623172)",William Street,,,,
23178041,True,2,R526,secondary,50,False,79.532,"LINESTRING (-8.6266819 52.6638204, -8.6267801 52.6637429, -8.6273461 52.6632296)",O'Connell Street,,,,
"[455593027, 23961766]",True,2,R526,secondary,50,False,91.83399999999999,"LINESTRING (-8.6281613 52.66437, -8.6277873 52.6647184, -8.6276021 52.664891, -8.6275781 52.6649145, -8.6274841 52.6650033, -8.6274176 52.6650618)",Liddy Street,,,,
23961899,True,2,R527,secondary,50,False,116.99799999999999,"LINESTRING (-8.6281613 52.66437, -8.626904 52.6639023, -8.6268663 52.6638882, -8.6266819 52.6638204)",Sarsfield Street,,,,
23173795,False,2,,unclassified,50,False,50.14,"LINESTRING (-8.6361669 52.6592047, -8.6356752 52.6588665)",O'Curry Street,,,,
23173795,False,2,,unclassified,50,True,69.873,"LINESTRING (-8.6361669 52.6592047, -8.6368461 52.6596792)",O'Curry Street,,,,
"[20478888, 23173794]",False,,,unclassified,50,"[False, True]",74.615,"LINESTRING (-8.6361669 52.6592047, -8.6357167 52.6593872, -8.6355667 52.6594365, -8.6353958 52.65949, -8.6353359 52.6595082, -8.6352303 52.6595591)",Cogan Street,,,,
