osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,ref,access
17070111,False,Vance Street,residential,False,208.903,"LINESTRING (-105.0797366 39.7693733, -105.0797358 39.7688838, -105.0797356 39.768724, -105.0797353 39.7685302, -105.079735 39.7683889, -105.0797338 39.7676047, -105.0797336 39.7674946)",,,,
"[1183905282, 1183905283, 1183905284, 427866957, 358588795]",False,West 38th Avenue,secondary,True,95.118,"LINESTRING (-105.0797366 39.7693733, -105.0795119 39.7693736, -105.0794622 39.7693737, -105.0794147 39.7693738, -105.0791806 39.7693745, -105.0790961 39.7693747, -105.0790143 39.7693749, -105.0786237 39.769375)",5,35 mph,,
"[427866956, 358714974]",False,West 38th Avenue,secondary,"[False, True]",92.605,"LINESTRING (-105.0797366 39.7693733, -105.0801685 39.7693711, -105.0803342 39.7693704, -105.0806762 39.7693688, -105.0807352 39.7693686, -105.0808201 39.7693682)",5,35 mph,,
17070111,False,Vance Street,residential,True,208.90300000000002,"LINESTRING (-105.0797336 39.7674946, -105.0797338 39.7676047, -105.079735 39.7683889, -105.0797353 39.7685302, -105.0797356 39.768724, -105.0797358 39.7688838, -105.0797366 39.7693733)",,,,
"[17078505, 17082683]",False,"['Upham Street', 'West 36th Avenue']",residential,True,302.908,"LINESTRING (-105.0797336 39.7674946, -105.0793925 39.7674946, -105.0787327 39.7674945, -105.0786361 39.7674945, -105.0786301 39.7683973, -105.0786273 39.768824, -105.0786265 39.7689559, -105.0786262 39.7690003, -105.0786249 39.7691858, -105.0786237 39.769375)",,,,
358714971,False,West 36th Place,residential,False,93.693,"LINESTRING (-105.0797336 39.7674946, -105.0804788 39.7674975, -105.0808298 39.7674988)",,,,
17074828,False,West 33rd Avenue,residential,True,140.427,"LINESTRING (-105.0796219 39.7634887, -105.077979 39.7634866)",,,,
17074828,False,West 33rd Avenue,residential,False,83.874,"LINESTRING (-105.0796219 39.7634887, -105.0797265 39.7635206, -105.0804315 39.7635228, -105.0805029 39.7635062, -105.0805723 39.7634632)",,,,
86982917,False,Vance Street,residential,True,154.404,"LINESTRING (-105.0796219 39.7634887, -105.079639 39.762986, -105.0796326 39.7621003)",,,,
"[17070346, 17078524, 17082413]",False,"['Upham Street', 'West 34th Place', 'West 35th Avenue']",residential,True,428.48699999999997,"LINESTRING (-105.0814656 39.7657241, -105.0812386 39.7657327, -105.0810783 39.7657347, -105.0810434 39.7657345, -105.0808623 39.7657335, -105.0795319 39.7657264, -105.0780384 39.7657226, -105.077953 39.7656834, -105.0779338 39.7656297, -105.0779316 39.7652303, -105.077923 39.7651673, -105.0778436 39.7651645, -105.0771114 39.7651635)",,,,
"[903771161, 903771162, 358717267, 427674463]",False,Wadsworth Boulevard,primary,False,310.959,"LINESTRING (-105.0814656 39.7657241, -105.0814662 39.7660949, -105.0814658 39.7662495, -105.0814649 39.7666936, -105.0814631 39.7675334, -105.0814624 39.7678746, -105.0814617 39.7682117, -105.0814614 39.7683395, -105.0814611 39.7684808, -105.081461 39.7685206)","['5', '6']",,CO 121,
"[628674076, 427674454]",False,Wadsworth Boulevard,primary,True,72.834,"LINESTRING (-105.0814656 39.7657241, -105.0814685 39.7652655, -105.0814664 39.7650691)","['7', '8']",,CO 121,
17070349,False,West 35th Avenue,tertiary,False,85.174,"LINESTRING (-105.0720794 39.7657333, -105.0730759 39.7657298)",2,,,
321879742,False,Pierce Street,tertiary,False,203.589,"LINESTRING (-105.0720794 39.7657333, -105.0720692 39.7639024)",2,,,
321879742,False,Pierce Street,tertiary,True,138.261,"LINESTRING (-105.0720794 39.7657333, -105.0720745 39.7669767)",2,,,
17070349,False,West 35th Avenue,tertiary,False,42.866,"LINESTRING (-105.0730759 39.7657298, -105.0735774 39.7657331)",2,,,
17070349,False,West 35th Avenue,tertiary,True,85.174,"LINESTRING (-105.0730759 39.7657298, -105.0720794 39.7657333)",2,,,
