osmid,oneway,name,highway,access,reversed,length,geometry,lanes,ref,maxspeed
331588423,True,City Hall Avenue,residential,permissive,False,18.691999999999997,"LINESTRING (-76.3966332 37.1223745, -76.3966804 37.122371, -76.3967235 37.1223554, -76.3967578 37.1223293, -76.3967795 37.1222957, -76.3967824 37.1222789)",,,
331588438,False,City Hall Avenue,residential,permissive,True,169.375,"LINESTRING (-76.3966332 37.1223745, -76.3964566 37.123847, -76.3964562 37.123891)",,,
20589520,False,Little Florida Road,secondary,,False,182.50300000000001,"LINESTRING (-76.3918947 37.123898, -76.3917389 37.1238882, -76.3916765 37.1238843, -76.3911756 37.1238529, -76.3911226 37.1238497, -76.3904843 37.123811, -76.3898423 37.123772)",2,VA 171,35 mph
108527690,False,Wythe Creek Road,primary,,False,186.551,"LINESTRING (-76.3918947 37.123898, -76.3919035 37.1238024, -76.3919091 37.1237409, -76.3919302 37.1235098, -76.3919507 37.12329, -76.392004 37.1226304, -76.3920379 37.1222242)",4,VA 172,35 mph
496754658,False,Wythe Creek Road,secondary,,True,395.24500000000006,"LINESTRING (-76.3918947 37.123898, -76.391883 37.1240008, -76.3918822 37.1240394, -76.3918582 37.1243125, -76.3918408 37.124515, -76.3918191 37.1247581, -76.3917898 37.1250738, -76.3917852 37.1251309, -76.3917835 37.1251682, -76.3917067 37.1260247, -76.3916932 37.1261729, -76.3916815 37.1263032, -76.3916555 37.1265937, -76.391634 37.1268007, -76.3916092 37.1270393, -76.3916046 37.1270932, -76.3915745 37.1274432)",4,VA 172,35 mph
496806332,False,Victory Boulevard,primary,,True,396.29200000000003,"LINESTRING (-76.3918947 37.123898, -76.3920465 37.1239109, -76.3921243 37.1239174, -76.39239 37.1239399, -76.3930372 37.1240227, -76.3933841 37.1240667, -76.3940869 37.1241734, -76.3948102 37.1242832, -76.3962968 37.1245089)",2,VA 171,35 mph
"[20589208, 600117405]",False,"['Firth Lane', 'Franklin Lane']",residential,,False,311.449,"LINESTRING (-76.3914671 37.1285945, -76.3913503 37.1285939, -76.3911866 37.1285931, -76.3911621 37.128593, -76.3907699 37.1285936, -76.3901274 37.1285947, -76.3900673 37.1286015, -76.390015 37.128624, -76.3899814 37.1286555, -76.3899636 37.1286869, -76.3899556 37.1287245, -76.3899536 37.1288615, -76.3899473 37.128891, -76.3899251 37.1289245, -76.3898912 37.1289534, -76.3895938 37.1291141, -76.3895421 37.129134, -76.3894776 37.1291455, -76.389415 37.129146, -76.3894088 37.1290225, -76.3893901 37.1288814, -76.3893807 37.1288514, -76.3893606 37.1288247, -76.3893337 37.1288012, -76.3888724 37.1284858)",,,
496754658,False,Wythe Creek Road,secondary,,False,128.373,"LINESTRING (-76.3914671 37.1285945, -76.391494 37.1282923, -76.391505 37.1281767, -76.3915145 37.1280758, -76.3915745 37.1274432)",4,VA 172,35 mph
20589403,False,Gay Lynn Drive,residential,,False,53.558,"LINESTRING (-76.3872061 37.1247945, -76.3871138 37.1252705)",,,
20589403,False,Gay Lynn Drive,residential,,True,111.438,"LINESTRING (-76.3872061 37.1247945, -76.3872498 37.124545, -76.3871265 37.1238012)",,,
108527690,False,Wythe Creek Road,primary,,True,186.551,"LINESTRING (-76.3920379 37.1222242, -76.392004 37.1226304, -76.3919507 37.12329, -76.3919302 37.1235098, -76.3919091 37.1237409, -76.3919035 37.1238024, -76.3918947 37.123898)",4,VA 172,35 mph
20589311,False,Hopkins Court,residential,,False,168.276,"LINESTRING (-76.3898423 37.123772, -76.3897651 37.1245982, -76.3897003 37.1252811)",,,
20589520,False,Little Florida Road,secondary,,False,106.432,"LINESTRING (-76.3898423 37.123772, -76.388877 37.1237117, -76.3886448 37.1237117)",2,VA 171,35 mph
20589520,False,Little Florida Road,secondary,,True,182.50300000000001,"LINESTRING (-76.3898423 37.123772, -76.3904843 37.123811, -76.3911226 37.1238497, -76.3911756 37.1238529, -76.3916765 37.1238843, -76.3917389 37.1238882, -76.3918947 37.123898)",2,VA 171,35 mph
209419211,False,Hudgins Road,residential,,True,383.891,"LINESTRING (-76.3915745 37.1274432, -76.3908876 37.1274911, -76.3904917 37.1275187, -76.3883047 37.1277575, -76.3880728 37.1278359, -76.3880068 37.1278609, -76.3878448 37.1279224, -76.3876369 37.1280488, -76.3874577 37.1282098)",,,
496754658,False,Wythe Creek Road,secondary,,False,395.24500000000006,"LINESTRING (-76.3915745 37.1274432, -76.3916046 37.1270932, -76.3916092 37.1270393, -76.391634 37.1268007, -76.3916555 37.1265937, -76.3916815 37.1263032, -76.3916932 37.1261729, -76.3917067 37.1260247, -76.3917835 37.1251682, -76.3917852 37.1251309, -76.3917898 37.1250738, -76.3918191 37.1247581, -76.3918408 37.124515, -76.3918582 37.1243125, -76.3918822 37.1240394, -76.391883 37.1240008, -76.3918947 37.123898)",4,VA 172,35 mph
496754658,False,Wythe Creek Road,secondary,,True,128.37300000000002,"LINESTRING (-76.3915745 37.1274432, -76.3915145 37.1280758, -76.391505 37.1281767, -76.391494 37.1282923, -76.3914671 37.1285945)",4,VA 172,35 mph
20589403,False,Gay Lynn Drive,residential,,False,111.438,"LINESTRING (-76.3871265 37.1238012, -76.3872498 37.124545, -76.3872061 37.1247945)",,,
20589520,False,Little Florida Road,secondary,,True,135.117,"LINESTRING (-76.3871265 37.1238012, -76.3877421 37.1237429, -76.3882952 37.1237117, -76.3886448 37.1237117)",2,VA 171,35 mph
20589403,False,Gay Lynn Drive,residential,,True,53.558,"LINESTRING (-76.3871138 37.1252705, -76.3872061 37.1247945)",,,
20589463,False,Oxford Mews,residential,,False,137.304,"LINESTRING (-76.3886448 37.1237117, -76.3885357 37.1248218, -76.3884464 37.12492)",,,
20589520,False,Little Florida Road,secondary,,False,135.11700000000002,"LINESTRING (-76.3886448 37.1237117, -76.3882952 37.1237117, -76.3877421 37.1237429, -76.3871265 37.1238012)",2,VA 171,35 mph
20589520,False,Little Florida Road,secondary,,True,106.432,"LINESTRING (-76.3886448 37.1237117, -76.388877 37.1237117, -76.3898423 37.123772)",2,VA 171,35 mph
209419211,False,Hudgins Road,residential,,False,383.891,"LINESTRING (-76.3874577 37.1282098, -76.3876369 37.1280488, -76.3878448 37.1279224, -76.3880068 37.1278609, -76.3880728 37.1278359, -76.3883047 37.1277575, -76.3904917 37.1275187, -76.3908876 37.1274911, -76.3915745 37.1274432)",,,
20589463,False,Oxford Mews,residential,,True,137.304,"LINESTRING (-76.3884464 37.12492, -76.3885357 37.1248218, -76.3886448 37.1237117)",,,
