osmid,name,highway,oneway,reversed,length,bridge,geometry,ref,lanes
"[825340778, 825340779, 16216932]",Wood Road,residential,False,False,154.228,yes,"LINESTRING (-85.598639 38.252616, -85.5988965 38.2535497, -85.598909 38.253595, -85.5989193 38.2536324, -85.5989517 38.25375, -85.59898 38.253853, -85.599021 38.253934, -85.599052 38.253958)",,
16216898,Oxford Woods Court,residential,False,False,249.04999999999998,,"LINESTRING (-85.599407 38.254015, -85.59942 38.254232, -85.599633 38.254808, -85.599933 38.255404, -85.600243 38.256147)",,
16216932,Wood Road,residential,False,False,93.73000000000002,,"LINESTRING (-85.599407 38.254015, -85.59956 38.254014, -85.599884 38.253979, -85.600137 38.253925, -85.600377 38.253861, -85.600449 38.253838)",,
16216932,Wood Road,residential,False,True,31.993000000000002,,"LINESTRING (-85.599407 38.254015, -85.599366 38.254015, -85.599196 38.253997, -85.59908 38.253973, -85.599052 38.253958)",,
16216898,Oxford Woods Court,residential,False,True,249.05,,"LINESTRING (-85.600243 38.256147, -85.599933 38.255404, -85.599633 38.254808, -85.59942 38.254232, -85.599407 38.254015)",,
16216932,Wood Road,residential,False,False,31.992999999999995,,"LINESTRING (-85.599052 38.253958, -85.59908 38.253973, -85.599196 38.253997, -85.599366 38.254015, -85.599407 38.254015)",,
"[825340778, 825340779, 16216932]",Wood Road,residential,False,True,154.228,yes,"LINESTRING (-85.599052 38.253958, -85.599021 38.253934, -85.59898 38.253853, -85.5989517 38.25375, -85.5989193 38.2536324, -85.598909 38.253595, -85.5988965 38.2535497, -85.598639 38.252616)",,
16219299,Romara Place,residential,False,False,186.14300000000003,,"LINESTRING (-85.599052 38.253958, -85.598945 38.254168, -85.598872 38.254286, -85.598829 38.254396, -85.598806 38.254516, -85.5988054 38.2545852, -85.598805 38.254625, -85.598824 38.25474, -85.5989181 38.254951, -85.598973 38.255074, -85.59903 38.25525, -85.599184 38.255546)",,
825340780,Lyndon Lane,residential,False,False,336.622,,"LINESTRING (-85.600449 38.253838, -85.601784 38.256678)",,
16216932,Wood Road,residential,False,False,194.81100000000004,,"LINESTRING (-85.600449 38.253838, -85.600554 38.253809, -85.600714 38.253757, -85.601209 38.253612, -85.601412 38.253547, -85.601813 38.253427, -85.6018338 38.2534211, -85.602404 38.253258, -85.602527 38.253204)",,
16216932,Wood Road,residential,False,True,93.73,,"LINESTRING (-85.600449 38.253838, -85.600377 38.253861, -85.600137 38.253925, -85.599884 38.253979, -85.59956 38.254014, -85.599407 38.254015)",,
16216932,Wood Road,residential,False,True,194.811,,"LINESTRING (-85.602527 38.253204, -85.602404 38.253258, -85.6018338 38.2534211, -85.601813 38.253427, -85.601412 38.253547, -85.601209 38.253612, -85.600714 38.253757, -85.600554 38.253809, -85.600449 38.253838)",,
16216950,Wood Road,residential,False,False,227.52100000000002,,"LINESTRING (-85.602527 38.253204, -85.602642 38.253396, -85.602708 38.253522, -85.6028836 38.2538942, -85.6030155 38.2541739, -85.6031035 38.2543605, -85.6031615 38.2544835, -85.603459 38.255114)",,
