osmid,name,highway,oneway,reversed,length,lanes,bridge,geometry,junction
10785199,Northwest 13th Avenue,residential,False,False,206.523,,,"LINESTRING (-80.1526741 26.0539047, -80.152731 26.0557613)",
892535679,Northwest 1st Street,tertiary,False,False,78.963,,,"LINESTRING (-80.1526741 26.0539047, -80.1534641 26.0538806)",
10785199,Northwest 13th Avenue,residential,False,True,206.523,,,"LINESTRING (-80.152731 26.0557613, -80.1526741 26.0539047)",
90166076,Northwest 2nd Street,residential,False,True,54.589,,,"LINESTRING (-80.152731 26.0557613, -80.1532771 26.0557433)",
10809124,South Bryan Road,tertiary,False,False,60.664,2,,"LINESTRING (-80.1560133 26.0538004, -80.1559986 26.053255)",
421308941,North Bryan Road,tertiary,False,False,44.781,2,,"LINESTRING (-80.1560133 26.0538004, -80.1560245 26.054203)",
"[661162153, 90166044, 892535679]",Northwest 1st Street,tertiary,False,True,162.191,,yes,"LINESTRING (-80.1560133 26.0538004, -80.1558862 26.0538054, -80.1551774 26.0538335, -80.1548821 26.053839, -80.1543908 26.0538523)",
421308941,North Bryan Road,tertiary,False,True,112.745,2,,"LINESTRING (-80.1560616 26.0555401, -80.1560482 26.0551403, -80.1560329 26.0545265)",
817759656,North Mariner Street,residential,False,False,213.814,,,"LINESTRING (-80.1560616 26.0555401, -80.1561677 26.0555373, -80.1568352 26.0555195, -80.1574483 26.0555477, -80.1579138 26.0555678, -80.1582003 26.0555718)",
10800218,Northwest 14th Way,residential,False,True,205.747,,,"LINESTRING (-80.1544347 26.0557022, -80.1543908 26.0538523)",
90166076,Northwest 2nd Street,residential,False,False,46.535,,,"LINESTRING (-80.1544347 26.0557022, -80.1539693 26.0557205)",
"[10806193, 10800218]","['Northwest 3rd Street', 'Northwest 14th Way']",residential,False,False,271.699,,,"LINESTRING (-80.1544347 26.0557022, -80.1545081 26.0557247, -80.1545549 26.0557811, -80.1545917 26.0568317, -80.1546025 26.0575044, -80.1545889 26.0575668, -80.1545452 26.0576015, -80.1540294 26.0576148)",
10809594,Northwest 14th Court,residential,False,False,146.757,,,"LINESTRING (-80.1539693 26.0557205, -80.154006 26.0570399)",
90166076,Northwest 2nd Street,residential,False,False,46.602,,,"LINESTRING (-80.1539693 26.0557205, -80.1535031 26.0557359)",
90166076,Northwest 2nd Street,residential,False,True,46.535,,,"LINESTRING (-80.1539693 26.0557205, -80.1544347 26.0557022)",
90166076,Northwest 2nd Street,residential,False,False,22.591,,,"LINESTRING (-80.1535031 26.0557359, -80.1532771 26.0557433)",
90166076,Northwest 2nd Street,residential,False,True,46.602,,,"LINESTRING (-80.1535031 26.0557359, -80.1539693 26.0557205)",
10797340,Northwest 14th Avenue,residential,False,True,206.33700000000002,,,"LINESTRING (-80.1535031 26.0557359, -80.1534757 26.0544313, -80.1534641 26.0538806)",
10801155,Northwest 13th Court,residential,False,False,147.461,,,"LINESTRING (-80.1532771 26.0557433, -80.1533194 26.0570689)",
