osmid,highway,oneway,reversed,length,lanes,ref,name,access,geometry,bridge
19368235,residential,False,False,33.921,,,,,"LINESTRING (-71.446594 41.450401, -71.446831 41.450649)",
19368235,residential,False,True,33.921,,,,,"LINESTRING (-71.446831 41.450649, -71.446594 41.450401)",
169920331,primary,False,True,146.478,2,RI 1A,Boston Neck Road,yes,"LINESTRING (-71.446831 41.450649, -71.447829 41.45011, -71.448257 41.449879)",
19373786,residential,False,False,153.233,,,Starr Drive,,"LINESTRING (-71.453598 41.446262, -71.453575 41.446327, -71.453522 41.446545, -71.45343 41.446884, -71.4534 41.447021, -71.453369 41.447071, -71.453339 41.447102, -71.45295 41.447334, -71.4527974 41.4474119)",
19377720,residential,False,True,201.376,,,Castle Road,,"LINESTRING (-71.453598 41.446262, -71.453156 41.4462261, -71.4519982 41.4461142, -71.451591 41.4460849, -71.4511972 41.4460619)",
19373786,residential,False,False,194.31900000000005,,,Starr Drive,,"LINESTRING (-71.4527974 41.4474119, -71.451881 41.44788, -71.451462 41.448086, -71.451431 41.448097, -71.451386 41.448097, -71.451332 41.448082, -71.451294 41.448051, -71.451149 41.447914, -71.451088 41.447876, -71.451012 41.447842, -71.45089 41.447815)",
19373786,residential,False,True,153.233,,,Starr Drive,,"LINESTRING (-71.4527974 41.4474119, -71.45295 41.447334, -71.453339 41.447102, -71.453369 41.447071, -71.4534 41.447021, -71.45343 41.446884, -71.453522 41.446545, -71.453575 41.446327, -71.453598 41.446262)",
19377267,residential,False,False,145.682,,,Cove Road,,"LINESTRING (-71.4527974 41.4474119, -71.452723 41.4473717, -71.452486 41.4472607, -71.452326 41.4471997, -71.452127 41.4471617, -71.452013 41.4471467, -71.451677 41.4471197, -71.451471 41.4471087, -71.4511425 41.4470745)",
19373786,residential,False,True,194.319,,,Starr Drive,,"LINESTRING (-71.45089 41.447815, -71.451012 41.447842, -71.451088 41.447876, -71.451149 41.447914, -71.451294 41.448051, -71.451332 41.448082, -71.451386 41.448097, -71.451431 41.448097, -71.451462 41.448086, -71.451881 41.44788, -71.4527974 41.4474119)",
"[169920331, 169920339, 29284908]",primary,False,False,266.02600000000007,2,RI 1A,Boston Neck Road,yes,"LINESTRING (-71.45089 41.447815, -71.450775 41.448009, -71.4506955 41.4481214, -71.450615 41.448235, -71.4504415 41.4484436, -71.4501926 41.4486881, -71.4499722 41.4488981, -71.4498923 41.4489676, -71.4495483 41.4492027, -71.449333 41.44931, -71.448997 41.449493, -71.448822 41.449581)",yes
