osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed
13077184,East 9th Street,residential,False,True,165.239,"LINESTRING (-96.8275858 39.0314086, -96.8256728 39.0314041)",,,
13077109,North Franklin Street,residential,False,False,114.28,"LINESTRING (-96.8275858 39.0314086, -96.8275759 39.0309093, -96.8275883 39.030381)",,,
13077109,North Franklin Street,residential,False,True,114.673,"LINESTRING (-96.8275858 39.0314086, -96.827547 39.031929, -96.82755 39.032439)",,,
13078297,East 3rd Street,residential,False,True,166.913,"LINESTRING (-96.827554 39.025096, -96.8294862 39.025089)",,,
13077109,North Franklin Street,residential,False,True,117.61099999999999,"LINESTRING (-96.827554 39.025096, -96.827554 39.02563, -96.8275862 39.0261531)",,,
13078464,West 4th Street,residential,False,False,163.422,"LINESTRING (-96.837183 39.026153, -96.8352912 39.0261621)",,,
13077190,North Jackson Street,tertiary,False,False,118.64500000000001,"LINESTRING (-96.837183 39.026153, -96.837182 39.026678, -96.837182 39.02722)",,,
13077190,North Jackson Street,tertiary,False,True,115.865,"LINESTRING (-96.837183 39.026153, -96.837184 39.025635, -96.837185 39.025111)",,,
13078464,West 4th Street,residential,False,False,166.656,"LINESTRING (-96.8352912 39.0261621, -96.833362 39.026149)",,,
13078464,West 4th Street,residential,False,True,163.422,"LINESTRING (-96.8352912 39.0261621, -96.837183 39.026153)",,,
13078210,North Madison Street,residential,False,False,115.243,"LINESTRING (-96.8352912 39.0261621, -96.8352624 39.026665, -96.8352654 39.027198)",,,
13078210,North Madison Street,residential,False,True,117.037,"LINESTRING (-96.8352912 39.0261621, -96.8352883 39.0256381, -96.835296 39.0251096)",,,
13078464,West 4th Street,residential,False,False,165.371,"LINESTRING (-96.833362 39.026149, -96.8314476 39.026148)",,,
13078464,West 4th Street,residential,False,True,166.656,"LINESTRING (-96.833362 39.026149, -96.8352912 39.0261621)",,,
13078679,North Adams Street,residential,False,False,116.977,"LINESTRING (-96.833362 39.026149, -96.8333614 39.026658, -96.8333608 39.027201)",,,
13078679,North Adams Street,residential,False,True,115.976,"LINESTRING (-96.833362 39.026149, -96.8333626 39.02562, -96.8333632 39.025106)",,,
13078464,West 4th Street,residential,False,True,165.371,"LINESTRING (-96.8314476 39.026148, -96.833362 39.026149)",,,
13078464,West 4th Street,residential,False,False,169.425,"LINESTRING (-96.8314476 39.026148, -96.830314 39.026147, -96.8294863 39.026142)",,,
13078648,North Jefferson Street,residential,False,False,117.422,"LINESTRING (-96.8314476 39.026148, -96.8314474 39.026658, -96.8314471 39.027204)",,,
13078648,North Jefferson Street,residential,False,True,118.201,"LINESTRING (-96.8314476 39.026148, -96.8314478 39.025612, -96.8314481 39.025085)",,,
