osmid,lanes,ref,name,highway,width,oneway,reversed,length,geometry,maxspeed,junction
8912021,2,MA 129,Eastern Avenue,primary,21.3,False,False,69.464,"LINESTRING (-70.9223941 42.4673769, -70.9224279 42.4674343, -70.9224687 42.4674848, -70.9228552 42.4678996)",,
9214612,2,MA 129,Humphrey Street,secondary,17.4,False,False,85.045,"LINESTRING (-70.9223941 42.4673769, -70.9222214 42.4674182, -70.9215508 42.4675953, -70.9214139 42.4676258)",,
193603517,2,,Ocean Street,secondary,14.9,False,True,65.083,"LINESTRING (-70.9223941 42.4673769, -70.9225038 42.4673599, -70.9226525 42.4673424, -70.9228074 42.467329, -70.9229287 42.4673259, -70.9230118 42.4673284, -70.9230892 42.4673384, -70.9231765 42.4673591)",,
193603916,1,,Eastern Avenue,primary,19.5,True,False,57.164,"LINESTRING (-70.9223941 42.4673769, -70.922394 42.4673171, -70.9223725 42.4672419, -70.9223296 42.4671272, -70.9223035 42.4670171, -70.922273 42.4669618, -70.9222133 42.4668868)",,
8914144,1,,Oceanside Terrace,residential,4.3,False,True,59.866,"LINESTRING (-70.92226 42.4682112, -70.9228552 42.4678996)",,
8911801,2,,Lynn Shore Drive,primary,24.7,False,False,100.296,"LINESTRING (-70.9231337 42.466293, -70.9228069 42.4665039, -70.9222133 42.4668868)",,
8911801,2,,Lynn Shore Drive,primary,24.7,False,True,100.296,"LINESTRING (-70.9222133 42.4668868, -70.9228069 42.4665039, -70.9231337 42.466293)",,
8914534,1,,Eastern Avenue,primary,19.5,True,False,57.981,"LINESTRING (-70.9222133 42.4668868, -70.9222061 42.4669768, -70.9222094 42.4670166, -70.922213 42.4670601, -70.9222493 42.4671615, -70.922289 42.4672519, -70.9223333 42.4673194, -70.9223941 42.4673769)",,
"[760861601, 9214530]",2,,Lynn Shore Drive,secondary,24.7,False,False,133.387,"LINESTRING (-70.9222133 42.4668868, -70.9220994 42.466959, -70.9212205 42.4675166, -70.9210857 42.4676031, -70.9209796 42.4676683)",,
8913341,,,Ocean Street,residential,14.9,True,False,94.886,"LINESTRING (-70.9231765 42.4673591, -70.9230276 42.4672789, -70.9223899 42.4669718, -70.9222133 42.4668868)",,
193603517,2,,Ocean Street,secondary,14.9,False,False,65.083,"LINESTRING (-70.9231765 42.4673591, -70.9230892 42.4673384, -70.9230118 42.4673284, -70.9229287 42.4673259, -70.9228074 42.467329, -70.9226525 42.4673424, -70.9225038 42.4673599, -70.9223941 42.4673769)",,
8914144,1,,Oceanside Terrace,residential,4.3,False,False,59.866,"LINESTRING (-70.9228552 42.4678996, -70.92226 42.4682112)",,
8912021,2,MA 129,Eastern Avenue,primary,21.3,False,True,69.464,"LINESTRING (-70.9228552 42.4678996, -70.9224687 42.4674848, -70.9224279 42.4674343, -70.9223941 42.4673769)",,
9214138,2,,Fuller Terrace,residential,6.1,False,True,80.87299999999999,"LINESTRING (-70.9132142 42.4679713, -70.9130477 42.467601, -70.9130314 42.4674523, -70.9129579 42.4672723)",,
9214182,2,,Berkshire Street,residential,14.9,False,False,114.327,"LINESTRING (-70.919594 42.473053, -70.919619 42.474081)",,
9214182,2,,Berkshire Street,residential,14.9,False,True,105.06200000000001,"LINESTRING (-70.919594 42.473053, -70.919582 42.47255, -70.919577 42.47246, -70.919572 42.472395, -70.919558 42.472344, -70.919543 42.472307, -70.919513 42.472272, -70.919381 42.472152)",,
9215291,2,,Hampden Street,residential,15.2,False,False,198.452,"LINESTRING (-70.919594 42.473053, -70.919504 42.473056, -70.919411 42.473085, -70.919328 42.473119, -70.91926 42.473159, -70.919178 42.473222, -70.917796 42.474153, -70.917754 42.474181)",,
9214612,2,MA 129,Humphrey Street,secondary,17.4,False,True,85.045,"LINESTRING (-70.9214139 42.4676258, -70.9215508 42.4675953, -70.9222214 42.4674182, -70.9223941 42.4673769)",,
9215052,2,,Kings Beach Terrace,residential,10.7,False,False,160.67700000000002,"LINESTRING (-70.9214139 42.4676258, -70.9214589 42.4677154, -70.9218909 42.4685764, -70.9219265 42.4686257, -70.921977 42.468667, -70.9220486 42.4686947, -70.9221119 42.4687028, -70.9221857 42.4686947, -70.9223902 42.4686483)",,
193607164,1,MA 129,Humphrey Street,secondary,,True,False,36.216,"LINESTRING (-70.9214139 42.4676258, -70.9213536 42.4676217, -70.9213276 42.4676199, -70.9212134 42.4676278, -70.9209796 42.4676683)",,
9214951,1,,Lawrence Terrace,residential,3.7,False,False,73.633,"LINESTRING (-70.9121757 42.4674416, -70.9123903 42.4680846)",,
1092277825,2,MA 129,Humphrey Street,secondary,21.3,False,True,22.938,"LINESTRING (-70.9121757 42.4674416, -70.9124435 42.4673822)",,
1092277825,2,MA 129,Humphrey Street,secondary,21.3,False,False,73.129,"LINESTRING (-70.9121757 42.4674416, -70.9116367 42.4675639, -70.9114021 42.4676146, -70.9113223 42.4676319)",,
9214606,2,,Pine Street,residential,15.5,False,False,51.222,"LINESTRING (-70.9230033 42.4720281, -70.9230027 42.4722489, -70.923003 42.472278, -70.923027 42.472488)",,
9214606,2,,Pine Street,residential,15.5,False,True,79.28,"LINESTRING (-70.9230033 42.4720281, -70.923 42.471991, -70.9229152 42.4713181)",,
9214506,2,,Redington Terrace,residential,7.0,False,False,59.972,"LINESTRING (-70.911785 42.470144, -70.912204 42.470586)",,
