osmid,bridge,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,access
5510504,yes,True,3,Morrison Bridge,primary,35 mph,False,52.749,"LINESTRING (-122.6715022 45.518331, -122.6717819 45.5184662, -122.6720879 45.5185655)",,
"[681301888, 681301891, 689032759, 5531324, 681301886]","['yes', 'movable']",False,6,Morrison Bridge,primary,35 mph,False,267.63300000000004,"LINESTRING (-122.6715022 45.518331, -122.67106 45.518213, -122.6704912 45.518061, -122.6703143 45.5180138, -122.6696782 45.5178439, -122.6690371 45.5176732, -122.6688559 45.5176251, -122.6682917 45.5174751)",,
"[5511849, 49037170, 127586075, 69340971]",yes,True,1,,primary_link,35 mph,False,200.65900000000002,"LINESTRING (-122.6720879 45.5185655, -122.6724011 45.5187817, -122.672469 45.5188403, -122.6725079 45.5188808, -122.6725564 45.5189517, -122.6725794 45.5190122, -122.6725908 45.5190675, -122.6725948 45.5191278, -122.6725889 45.5191898, -122.6725722 45.5192465, -122.6725553 45.5192892, -122.6725402 45.5193174, -122.672511 45.5193548, -122.6724747 45.5193847, -122.6724052 45.5194247, -122.6723352 45.5194531, -122.6722781 45.5194657, -122.6722025 45.5194704, -122.672121 45.5194662, -122.6720396 45.5194481, -122.6719834 45.5194255, -122.6719229 45.5193922, -122.6718827 45.5193639, -122.6718503 45.5193286, -122.6718275 45.5192945, -122.671807 45.5192468, -122.6717989 45.519175, -122.6717987 45.519121, -122.6718118 45.5190096)",,
"[49037171, 948085500]",yes,True,3,Morrison Bridge,secondary,35 mph,False,115.623,"LINESTRING (-122.6720879 45.5185655, -122.6723143 45.5186507, -122.6726813 45.5187996, -122.6731911 45.5190284, -122.6733563 45.5191043)",,
"[127586074, 5512835]",,True,1,,secondary_link,20 mph,False,59.401,"LINESTRING (-122.6733563 45.5191043, -122.6735959 45.5192866, -122.6736601 45.5193497, -122.6736984 45.519401, -122.6737153 45.5194482, -122.6737182 45.5195505)",,
948085498,,True,3,Morrison Bridge,secondary,35 mph,False,44.854,"LINESTRING (-122.6733563 45.5191043, -122.6737533 45.5192829, -122.6738416 45.5193213)",,
5531923,,True,3,Southwest Washington Street,secondary,20 mph,False,81.817,"LINESTRING (-122.6738416 45.5193213, -122.6739529 45.5193556, -122.6740588 45.5193839, -122.6745031 45.5195029, -122.6747236 45.5195619, -122.6748203 45.5195878)",,
595610429,,True,2,Southwest 2nd Avenue,secondary,20 mph,False,27.24,"LINESTRING (-122.6738416 45.5193213, -122.6738081 45.5193855, -122.6737182 45.5195505)",,
5511715,yes,True,3,Morrison Bridge,primary,35 mph,False,44.908,"LINESTRING (-122.6682917 45.5174751, -122.667793 45.5172726)",,
"[681301888, 681301891, 689032759, 5531324, 681301886]","['yes', 'movable']",False,6,Morrison Bridge,primary,35 mph,True,267.63300000000004,"LINESTRING (-122.6682917 45.5174751, -122.6688559 45.5176251, -122.6690371 45.5176732, -122.6696782 45.5178439, -122.6703143 45.5180138, -122.6704912 45.518061, -122.67106 45.518213, -122.6715022 45.518331)",,
935171380,,True,2,Southwest Naito Parkway,secondary,30 mph,False,13.989,"LINESTRING (-122.6725659 45.5175978, -122.6726198 45.5174778)",,
"[45701297, 189781370, 118880271]",yes,True,1,,primary_link,35 mph,False,191.825,"LINESTRING (-122.6725659 45.5175978, -122.6726882 45.5176306, -122.6730153 45.5177155, -122.6730987 45.5177466, -122.6731601 45.5177831, -122.6732023 45.5178203, -122.6732281 45.5178504, -122.6732485 45.517885, -122.6732602 45.5179249, -122.6732672 45.5179622, -122.6732647 45.5180013, -122.6732556 45.518039, -122.6732374 45.5180807, -122.6732213 45.5181102, -122.6731943 45.5181488, -122.6731452 45.5181991, -122.6730876 45.5182496, -122.6730332 45.5182836, -122.6729789 45.5183148, -122.6729263 45.518339, -122.6728507 45.5183663, -122.6728039 45.5183804, -122.672746 45.5183937, -122.672662 45.5184052, -122.6726285 45.5184077, -122.6725682 45.5184105, -122.6725051 45.5184131, -122.6724578 45.5184125, -122.6723557 45.5184144, -122.6720854 45.5184206)",,
595610429,,True,2,Southwest 2nd Avenue,secondary,20 mph,False,52.439,"LINESTRING (-122.6737182 45.5195505, -122.6736967 45.5195898, -122.673512 45.5199267, -122.6734771 45.5199908)",,
"[101455185, 5519621, 45701294]",yes,True,2,Morrison Bridge,primary,35 mph,False,167.55,"LINESTRING (-122.6742034 45.5186632, -122.6740736 45.5186687, -122.6738905 45.5186523, -122.6734231 45.5185969, -122.6727744 45.5185234, -122.6724508 45.5184795, -122.6722321 45.5184481, -122.6720854 45.5184206)",,
"[30291303, 948085495, 117446031]",,True,1,"['Southwest 1st Avenue', 'Southwest Alder Street']",unclassified,20 mph,False,152.105,"LINESTRING (-122.6742034 45.5186632, -122.6741025 45.5186038, -122.6740114 45.5185672, -122.6739147 45.5185408, -122.6737423 45.5185051, -122.6735002 45.5184637, -122.6734223 45.5184443, -122.6733775 45.5184299, -122.6733505 45.5184148, -122.6733325 45.5183941, -122.6733256 45.5183703, -122.6733306 45.5183464, -122.673539 45.5179585, -122.6735853 45.5178292, -122.6735976 45.5178011, -122.6736198 45.5177409)",,
220548953,,True,3,Southwest 2nd Avenue,secondary,20 mph,False,78.424,"LINESTRING (-122.6742034 45.5186632, -122.6741592 45.5187416, -122.6740847 45.5188821, -122.6740409 45.5189564, -122.6739564 45.5191092, -122.6738769 45.5192539, -122.6738416 45.5193213)",,
823670902,,False,2,Northwest Couch Street,tertiary,20 mph,True,6.273,"LINESTRING (-122.6714456 45.5238693, -122.6713944 45.5238702, -122.6713755 45.5238705, -122.6713651 45.5238705)",,
1055630785,,False,2,Northwest Couch Street,tertiary,20 mph,False,72.507,"LINESTRING (-122.6714456 45.5238693, -122.6714716 45.5238688, -122.6722571 45.5238526, -122.6723759 45.52385)",,
766609576,,True,,Northwest 1st Avenue,unclassified,20 mph,False,79.07000000000001,"LINESTRING (-122.6714747 45.5245801, -122.6714688 45.5244343, -122.671463 45.524293, -122.6714456 45.5238693)",,
1093091767,,False,2,Northwest Davis Street,unclassified,20 mph,False,73.851,"LINESTRING (-122.6714747 45.5245801, -122.6715141 45.5245796, -122.6722965 45.5245675, -122.6724224 45.5245645)",,
1093091767,,False,2,Northwest Davis Street,unclassified,20 mph,True,6.638999999999999,"LINESTRING (-122.6714747 45.5245801, -122.6714218 45.5245807, -122.6713895 45.5245811)",,
