osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,width,ref,bridge
8859571,Stillman Avenue,residential,False,False,147.44500000000002,"LINESTRING (-71.013606 42.082605, -71.013613 42.082935, -71.013586 42.08318, -71.013518 42.083211, -71.013358 42.083242, -71.0130884 42.0832694, -71.013063 42.083272, -71.012598 42.08331)",,,,,
8858472,Plymouth Street,tertiary,False,False,228.138,"LINESTRING (-71.012647 42.08126, -71.0125992 42.0822174, -71.012567 42.082862, -71.012598 42.08331)",2,30 mph,18.3,,
8858472,Plymouth Street,tertiary,False,True,90.907,"LINESTRING (-71.012647 42.08126, -71.0126611 42.081076, -71.0127125 42.0804439)",2,30 mph,18.3,,
8859569,Stillman Avenue,residential,False,True,146.349,"LINESTRING (-71.012647 42.08126, -71.012918 42.081285, -71.0131983 42.081335, -71.013608 42.081408, -71.013675 42.081439, -71.013709 42.081496, -71.013653 42.08196)",,,,,
845240878,Main Street,secondary,True,False,40.543,"LINESTRING (-71.019875 42.0832771, -71.0198443 42.083641)",2,,19.8,,
8859213,Frederick Douglass Avenue,tertiary,True,False,94.613,"LINESTRING (-71.019875 42.0832771, -71.0199933 42.0832951, -71.0201766 42.0832959, -71.0203106 42.0832923, -71.0208572 42.0832767, -71.0210185 42.0832758)",2,,12.2,,
845291490,Pleasant Street,secondary,False,True,18.031,"LINESTRING (-71.02193 42.085605, -71.0221451 42.0856335)",2,45 mph,16.8,MA 27,
8859848,Hereford Street,residential,False,False,113.742,"LINESTRING (-71.02193 42.085605, -71.021937 42.085647, -71.021963 42.085773, -71.02199 42.085906, -71.0219917 42.0859143, -71.0220102 42.086006, -71.022017 42.08604, -71.022045 42.086173, -71.0220626 42.0862603, -71.022072 42.086307, -71.022099 42.08644, -71.022127 42.086574, -71.022148 42.086614)",2,,10.7,,
845291490,Pleasant Street,secondary,False,False,171.411,"LINESTRING (-71.02193 42.085605, -71.021564 42.085541, -71.0215351 42.0855382, -71.0213274 42.0855184, -71.0212658 42.0855125, -71.0212513 42.0855111, -71.0209554 42.0855068, -71.0209034 42.085506, -71.0207682 42.0855041, -71.0204865 42.0855144, -71.0204152 42.085517, -71.019866 42.085517)",2,45 mph,16.8,MA 27,
8857812,Lincoln Street,residential,False,False,74.533,"LINESTRING (-71.0161547 42.0827244, -71.0160942 42.0827176, -71.0154113 42.0826598, -71.0152568 42.0826553)",2,,12.2,,
