osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref,lanes,bridge
915931815,Bruce Avenue,residential,False,False,56.085,"LINESTRING (-97.0280789 47.923158, -97.028558 47.922769)",,,,
915931815,Bruce Avenue,residential,False,True,56.085,"LINESTRING (-97.028558 47.922769, -97.0280789 47.923158)",,,,
9673703,South 4th Street,residential,False,False,116.944,"LINESTRING (-97.028558 47.922769, -97.028425 47.9226919, -97.0274882 47.9221489, -97.027371 47.922081)",,,,
342988301,Bruce Avenue,residential,False,False,115.633,"LINESTRING (-97.028558 47.922769, -97.0286733 47.9226751, -97.0287042 47.9226499, -97.0290408 47.9223758, -97.0294737 47.9220232, -97.029544 47.921966)",,,,
915931814,South 4th Street,residential,False,True,146.096,"LINESTRING (-97.028558 47.922769, -97.0291182 47.9230899, -97.029882 47.923526, -97.0300495 47.9236218)",,,,
342988301,Bruce Avenue,residential,False,True,115.63300000000001,"LINESTRING (-97.029544 47.921966, -97.0294737 47.9220232, -97.0290408 47.9223758, -97.0287042 47.9226499, -97.0286733 47.9226751, -97.028558 47.922769)",,,,
916135090,Bruce Avenue,residential,False,False,65.393,"LINESTRING (-97.029544 47.921966, -97.0296464 47.9218835, -97.0297402 47.921808, -97.0299345 47.9216514, -97.0301701 47.9215673)",,,,
916135091,South 5th Street,tertiary,False,True,145.864,"LINESTRING (-97.029544 47.921966, -97.0296838 47.9220451, -97.0302956 47.9223911, -97.0304552 47.9224813, -97.03104 47.922812)",,,,
934564575,South 5th Street,tertiary,False,False,72.654,"LINESTRING (-97.029544 47.921966, -97.0294326 47.9219016, -97.028806 47.921539)",,,,
916135090,Bruce Avenue,residential,False,True,65.393,"LINESTRING (-97.0301701 47.9215673, -97.0299345 47.9216514, -97.0297402 47.921808, -97.0296464 47.9218835, -97.029544 47.921966)",,,,
917559324,1st Avenue South,residential,False,False,114.839,"LINESTRING (-97.0301701 47.9215673, -97.0310092 47.9215579, -97.0315733 47.9215515, -97.031711 47.92155)",,,,
9672566,North 6th Street,residential,False,False,116.961,"LINESTRING (-97.0335131 47.9228596, -97.034696 47.923551)",,,,
