osmid,name,highway,oneway,reversed,length,ref,bridge,geometry
383228877,园区中路,tertiary,False,False,11.235,,,"LINESTRING (120.0928271 37.3530137, 120.0928153 37.3531143)"
383228878,,tertiary,True,False,215.551,,,"LINESTRING (120.0928271 37.3530137, 120.0952634 37.3530983)"
1033524459,官庄路,secondary,False,False,11.231,X055,,"LINESTRING (120.0952634 37.3530983, 120.0952634 37.3531993)"
"[427956451, 383228878, 427956503]",,tertiary,True,False,415.75,,yes,"LINESTRING (120.0952634 37.3530983, 120.0980366 37.3531031, 120.0991944 37.3531031, 120.0999669 37.3531117)"
383228877,园区中路,tertiary,False,False,400.797,,,"LINESTRING (120.0928153 37.3531143, 120.0924028 37.3567038)"
383228877,园区中路,tertiary,False,True,11.235,,,"LINESTRING (120.0928153 37.3531143, 120.0928271 37.3530137)"
383228879,,tertiary,True,False,216.594,,,"LINESTRING (120.0952634 37.3531993, 120.0928153 37.3531143)"
1033524459,官庄路,secondary,False,False,421.87,X055,,"LINESTRING (120.0952634 37.3531993, 120.0956056 37.3569835)"
1033524459,官庄路,secondary,False,True,11.231,X055,,"LINESTRING (120.0952634 37.3531993, 120.0952634 37.3530983)"
383228877,园区中路,tertiary,False,True,400.797,,,"LINESTRING (120.0924028 37.3567038, 120.0928153 37.3531143)"
427956605,朱桥大街,tertiary,False,False,284.786,,,"LINESTRING (120.0924028 37.3567038, 120.0956056 37.3569835)"
1028102663,,unclassified,False,True,11.961,,,"LINESTRING (120.0999669 37.3531117, 120.1000174 37.3532115)"
1028102663,,unclassified,False,False,11.961,,,"LINESTRING (120.1000174 37.3532115, 120.0999669 37.3531117)"
"[427956433, 427956502, 383228879]",,tertiary,True,False,189.39600000000002,,yes,"LINESTRING (120.1000174 37.3532115, 120.099186 37.3532104, 120.0981323 37.353214, 120.0978747 37.3532127)"
427956605,朱桥大街,tertiary,False,True,284.786,,,"LINESTRING (120.0956056 37.3569835, 120.0924028 37.3567038)"
1033524459,官庄路,secondary,False,True,421.87,X055,,"LINESTRING (120.0956056 37.3569835, 120.0952634 37.3531993)"
"[1028102673, 427956605]",朱桥大街,"['residential', 'tertiary']",False,False,222.651,,,"LINESTRING (120.0956056 37.3569835, 120.0976387 37.3571626, 120.097866 37.3574928)"
1028102673,,residential,False,False,27.786,,,"LINESTRING (120.097866 37.3574928, 120.0981627 37.3575754)"
"[1028102673, 427956605]",朱桥大街,"['residential', 'tertiary']",False,True,222.651,,,"LINESTRING (120.097866 37.3574928, 120.0976387 37.3571626, 120.0956056 37.3569835)"
1028102673,,residential,False,True,84.005,,,"LINESTRING (120.101252 37.3578675, 120.1003021 37.3578418)"
1028102676,,tertiary,False,False,175.309,,,"LINESTRING (120.101252 37.3578675, 120.1011285 37.3571772, 120.100545 37.3564613, 120.1005268 37.3564393)"
383228879,,tertiary,True,False,230.818,,,"LINESTRING (120.0978747 37.3532127, 120.0952634 37.3531993)"
1028102676,,tertiary,False,True,428.64,,,"LINESTRING (120.0978747 37.3532127, 120.0980275 37.3534293, 120.1005268 37.3564393)"
1028102676,,tertiary,False,False,428.64,,,"LINESTRING (120.1005268 37.3564393, 120.0980275 37.3534293, 120.0978747 37.3532127)"
1028102676,,tertiary,False,True,175.309,,,"LINESTRING (120.1005268 37.3564393, 120.100545 37.3564613, 120.1011285 37.3571772, 120.101252 37.3578675)"
1044472324,,residential,False,True,158.581,,,"LINESTRING (120.1005268 37.3564393, 120.1004631 37.3565036, 120.1003021 37.3578418)"
1028102673,,residential,False,False,84.005,,,"LINESTRING (120.1003021 37.3578418, 120.101252 37.3578675)"
1028102673,,residential,False,True,96.767,,,"LINESTRING (120.1003021 37.3578418, 120.0992079 37.3578122)"
1044472324,,residential,False,False,158.581,,,"LINESTRING (120.1003021 37.3578418, 120.1004631 37.3565036, 120.1005268 37.3564393)"
1028102673,,residential,False,True,27.786,,,"LINESTRING (120.0981627 37.3575754, 120.097866 37.3574928)"
1028102673,,residential,False,False,96.76100000000001,,,"LINESTRING (120.0981627 37.3575754, 120.0989915 37.3578063, 120.0992079 37.3578122)"
1028102673,,residential,False,False,96.767,,,"LINESTRING (120.0992079 37.3578122, 120.1003021 37.3578418)"
1028102673,,residential,False,True,96.76100000000001,,,"LINESTRING (120.0992079 37.3578122, 120.0989915 37.3578063, 120.0981627 37.3575754)"
