osmid,highway,junction,oneway,reversed,length,geometry,name,lanes
209586914,primary,roundabout,True,False,21.432,"LINESTRING (114.0196933 33.0130654, 114.0197589 33.0129863, 114.0198523 33.0129301)",,
209586914,primary,roundabout,True,False,46.355000000000004,"LINESTRING (114.0198523 33.0129301, 114.0199471 33.0129051, 114.0200466 33.0129042, 114.020142 33.0129275, 114.0202253 33.0129731, 114.0202893 33.0130369)",,
218714195,secondary,,True,False,306.987,"LINESTRING (114.0198523 33.0129301, 114.0200485 33.0127021, 114.0205624 33.0102602)",乐山大道,
209586914,primary,roundabout,True,False,31.996,"LINESTRING (114.0197166 33.0133415, 114.019671 33.0132536, 114.0196629 33.0131579, 114.0196933 33.0130654)",,
429526530,primary,,True,False,564.611,"LINESTRING (114.0197166 33.0133415, 114.0194451 33.0132462, 114.0136852 33.013152)",开源大道,3
209586914,primary,roundabout,True,False,42.861000000000004,"LINESTRING (114.0201231 33.0134511, 114.0200105 33.0134702, 114.0198967 33.0134567, 114.0197948 33.0134121, 114.0197166 33.0133415)",,
429526545,secondary,,True,False,131.02499999999998,"LINESTRING (114.0201231 33.0134511, 114.0199093 33.0136075, 114.0197988 33.0138022, 114.0195102 33.0144854)",乐山大道,2
209586914,primary,roundabout,True,False,19.6,"LINESTRING (114.0202844 33.0133414, 114.020214 33.0134068, 114.0201231 33.0134511)",,
218714201,tertiary,,True,False,212.425,"LINESTRING (114.0137849 33.0082829, 114.013746 33.010193)",,
323822909,tertiary,,True,False,8.113,"LINESTRING (114.0137849 33.0082829, 114.0136979 33.0082822)",通达路,
218714195,secondary,,True,False,4.894,"LINESTRING (114.0209627 33.0083579, 114.0209721 33.0083146)",乐山大道,
323822909,tertiary,,True,False,182.592,"LINESTRING (114.0209627 33.0083579, 114.0190047 33.0083374)",通达路,
218714201,tertiary,,True,False,10.778,"LINESTRING (114.0136878 33.0130551, 114.0136852 33.013152)",,
833752107,primary,,True,False,560.899,"LINESTRING (114.0136878 33.0130551, 114.0194451 33.0131233, 114.0196933 33.0130654)",开源大道,3
