osmid,oneway,name,highway,reversed,length,lanes,bridge,geometry,tunnel
245270907,True,和风大街,secondary,False,10.194,,,"LINESTRING (117.0096576 32.5842282, 117.0097664 32.5842281)",
466873662,True,瓦埠湖路,tertiary,False,15.956,,,"LINESTRING (117.0096576 32.5842282, 117.0096576 32.5840847)",
466873662,True,瓦埠湖路,tertiary,False,19.848,,,"LINESTRING (117.0096569 32.5902552, 117.0096567 32.5900767)",
285467538,True,泰康街,tertiary,False,16.899,4,,"LINESTRING (117.0156733 32.5842417, 117.01565 32.584091)",
444117931,True,和风大街,secondary,False,9.107,,,"LINESTRING (117.0156733 32.5842417, 117.0157705 32.5842416)",
444117920,False,和风大街,secondary,False,25.139,,yes,"LINESTRING (117.0145574 32.5842235, 117.0148257 32.5842256)",
444117790,False,,residential,False,8.214,,,"LINESTRING (117.0167233 32.5882754, 117.0168071 32.5882537)",
285467538,True,泰康街,tertiary,False,414.94100000000003,4,,"LINESTRING (117.0167233 32.5882754, 117.0167105 32.5878103, 117.0166172 32.5873025, 117.0165824 32.5871468, 117.0165262 32.586844, 117.0163672 32.5863421, 117.0162039 32.5858451, 117.0158052 32.5846385)",
"[444117822, 285484244, 444117790]",False,,residential,True,206.04199999999997,,yes,"LINESTRING (117.0167233 32.5882754, 117.0162938 32.5883759, 117.0161168 32.5884004, 117.0157144 32.5884456, 117.0151619 32.5884952, 117.0145513 32.5885359)",
285469183,False,,residential,True,161.086,,,"LINESTRING (117.0114434 32.5885226, 117.0114255 32.5899712)",
285469183,False,,residential,False,296.269,,,"LINESTRING (117.0114434 32.5885226, 117.0114585 32.5873093, 117.0114724 32.5858583)",
285484244,False,,residential,False,291.61800000000005,,,"LINESTRING (117.0114434 32.5885226, 117.0117223 32.5885444, 117.0120122 32.5885584, 117.012209 32.5885679, 117.0125986 32.5885856, 117.0130151 32.5885942, 117.013524 32.5885901, 117.0138231 32.5885759, 117.0140853 32.5885608, 117.0145513 32.5885359)",
"[444117802, 285484244, 444117834]",False,,residential,True,158.304,,yes,"LINESTRING (117.0114434 32.5885226, 117.0111118 32.5884953, 117.0107202 32.58845, 117.0103071 32.5884094, 117.0101301 32.5883823, 117.009768 32.5883408)",
285484234,False,,residential,True,157.058,,,"LINESTRING (117.0145513 32.5885359, 117.0145658 32.5899483)",
285484234,False,,residential,False,433.911,,,"LINESTRING (117.0145513 32.5885359, 117.0145385 32.5873004, 117.0145237 32.5858596, 117.0145111 32.5846338)",
"[285484244, 444117822, 444117790]",False,,residential,False,206.042,,yes,"LINESTRING (117.0145513 32.5885359, 117.0151619 32.5884952, 117.0157144 32.5884456, 117.0161168 32.5884004, 117.0162938 32.5883759, 117.0167233 32.5882754)",
285484244,False,,residential,True,291.618,,,"LINESTRING (117.0145513 32.5885359, 117.0140853 32.5885608, 117.0138231 32.5885759, 117.013524 32.5885901, 117.0130151 32.5885942, 117.0125986 32.5885856, 117.012209 32.5885679, 117.0120122 32.5885584, 117.0117223 32.5885444, 117.0114434 32.5885226)",
444117834,False,,residential,False,10.504,,,"LINESTRING (117.0096569 32.5883281, 117.009768 32.5883408)",
466873662,True,瓦埠湖路,tertiary,False,274.974,,,"LINESTRING (117.0096569 32.5883281, 117.0096573 32.5858552)",
285467538,True,泰康街,tertiary,False,17.441,4,,"LINESTRING (117.0158052 32.5846385, 117.0157557 32.5844873)",
"[444117861, 444117774, 444117823]",True,和风大街,unclassified,False,121.25,,yes,"LINESTRING (117.0158052 32.5846385, 117.0151474 32.5846387, 117.0149115 32.5846369, 117.0145111 32.5846338)",
285467538,True,泰康街,tertiary,False,18.679,4,,"LINESTRING (117.0165721 32.5902416, 117.0166125 32.5900771)",
"[444117862, 444117865, 245270892, 444117809, 444117817]",True,和悦街,tertiary,False,637.7070000000001,,yes,"LINESTRING (117.0165721 32.5902416, 117.0160701 32.5902238, 117.0158527 32.5902201, 117.0157537 32.5902184, 117.0151505 32.5901879, 117.014249 32.5901889, 117.0119262 32.5901917, 117.0110768 32.5901927, 117.0097687 32.5902503)",yes
466873662,True,瓦埠湖路,tertiary,False,83.986,,,"LINESTRING (117.0096576 32.5840847, 117.0096577 32.5833294)",
727472898,True,和风大街,unclassified,False,10.194,,,"LINESTRING (117.0096576 32.5840847, 117.0097664 32.5840848)",
444117852,True,和风大街,unclassified,False,7.655,,,"LINESTRING (117.01565 32.584091, 117.0157317 32.5840908)",
444117920,False,和风大街,secondary,True,25.139,,yes,"LINESTRING (117.0148257 32.5842256, 117.0145574 32.5842235)",
444117931,True,和风大街,secondary,False,79.434,,,"LINESTRING (117.0148257 32.5842256, 117.0156733 32.5842417)",
285467538,True,泰康街,tertiary,False,28.38,4,,"LINESTRING (117.0157557 32.5844873, 117.0156733 32.5842417)",
"[444117930, 444117923, 456194667]",True,和风大街,secondary,False,561.1949999999999,,yes,"LINESTRING (117.0157557 32.5844873, 117.015016 32.5844719, 117.0147613 32.5844709, 117.0143293 32.5844691, 117.0097665 32.5845131)",
466873662,True,瓦埠湖路,tertiary,False,31.802,,,"LINESTRING (117.0096575 32.5845142, 117.0096576 32.5842282)",
285484234,False,,residential,True,433.911,,,"LINESTRING (117.0145111 32.5846338, 117.0145237 32.5858596, 117.0145385 32.5873004, 117.0145513 32.5885359)",
444117774,True,和风大街,unclassified,False,282.915,,,"LINESTRING (117.0145111 32.5846338, 117.0137574 32.5846349, 117.012248 32.5846372, 117.0114915 32.5846384)",
285469183,False,,residential,True,135.659,,,"LINESTRING (117.0114915 32.5846384, 117.0114724 32.5858583)",
444117774,True,和风大街,unclassified,False,161.611,,,"LINESTRING (117.0114915 32.5846384, 117.0097666 32.5846425)",
466873662,True,瓦埠湖路,tertiary,False,14.3,,,"LINESTRING (117.0096575 32.5846428, 117.0096575 32.5845142)",
444117774,True,和风大街,unclassified,False,10.222,,,"LINESTRING (117.0097666 32.5846425, 117.0096575 32.5846428)",
987627794,True,瓦埠湖路,tertiary,False,134.946,,,"LINESTRING (117.0097666 32.5846425, 117.009767 32.5858561)",
444117796,False,,unclassified,False,10.278,,,"LINESTRING (117.0096573 32.5858552, 117.009767 32.5858561)",
466873662,True,瓦埠湖路,tertiary,False,134.813,,,"LINESTRING (117.0096573 32.5858552, 117.0096575 32.5846428)",
285469183,False,,residential,False,135.659,,,"LINESTRING (117.0114724 32.5858583, 117.0114915 32.5846384)",
285469183,False,,residential,True,296.269,,,"LINESTRING (117.0114724 32.5858583, 117.0114585 32.5873093, 117.0114434 32.5885226)",
"[444117824, 444117796, 444117791]",False,,unclassified,True,159.78499999999997,,yes,"LINESTRING (117.0114724 32.5858583, 117.0103007 32.5858609, 117.0100916 32.5858588, 117.009767 32.5858561)",
285484234,False,,residential,False,157.058,,,"LINESTRING (117.0145658 32.5899483, 117.0145513 32.5885359)",
285469183,False,,residential,False,161.086,,,"LINESTRING (117.0114255 32.5899712, 117.0114434 32.5885226)",
987627794,True,瓦埠湖路,tertiary,False,18.992,,,"LINESTRING (117.0097687 32.5900795, 117.0097687 32.5902503)",
"[444117825, 444117859, 444117866, 444117816, 456194680]",True,和悦街,tertiary,False,641.424,,yes,"LINESTRING (117.0097687 32.5900795, 117.0110893 32.5901128, 117.0119289 32.5901096, 117.0142516 32.5901069, 117.0153299 32.5901088, 117.0157805 32.5900727, 117.0159253 32.5900731, 117.016156 32.5900736, 117.0166125 32.5900771)",yes
444117866,True,和悦街,tertiary,False,8.994,,,"LINESTRING (117.0166125 32.5900771, 117.0167085 32.5900774)",
285467538,True,泰康街,tertiary,False,200.76600000000002,4,,"LINESTRING (117.0166125 32.5900771, 117.0166837 32.5894578, 117.016709 32.5890127, 117.0167299 32.5886032, 117.0167233 32.5882754)",
456194680,True,和悦街,tertiary,False,10.498,,,"LINESTRING (117.0096567 32.5900767, 117.0097687 32.5900795)",
466873662,True,瓦埠湖路,tertiary,False,194.436,,,"LINESTRING (117.0096567 32.5900767, 117.0096569 32.5883281)",
987627794,True,瓦埠湖路,tertiary,False,15.934,,,"LINESTRING (117.0097664 32.5840848, 117.0097664 32.5842281)",
"[727472898, 444117852, 444117805]",True,和风大街,unclassified,False,551.255,,yes,"LINESTRING (117.0097664 32.5840848, 117.0144582 32.5840881, 117.0147264 32.5840883, 117.01565 32.584091)",
245270907,True,和风大街,secondary,False,448.884,,,"LINESTRING (117.0097664 32.5842281, 117.0145574 32.5842235)",
987627794,True,瓦埠湖路,tertiary,False,31.691,,,"LINESTRING (117.0097664 32.5842281, 117.0097665 32.5845131)",
456194667,True,和风大街,secondary,False,10.213,,,"LINESTRING (117.0097665 32.5845131, 117.0096575 32.5845142)",
987627794,True,瓦埠湖路,tertiary,False,14.389,,,"LINESTRING (117.0097665 32.5845131, 117.0097666 32.5846425)",
245270892,True,和悦街,tertiary,False,10.488,,,"LINESTRING (117.0097687 32.5902503, 117.0096569 32.5902552)",
987627797,True,,residential,False,36.595,,,"LINESTRING (117.0094955 32.583014, 117.0095549 32.5829547, 117.009611 32.5828805, 117.0096408 32.5827905, 117.0096578 32.5827219)",
466873662,True,瓦埠湖路,tertiary,False,67.551,,,"LINESTRING (117.0096577 32.5833294, 117.0096578 32.5827219)",
987627796,True,,residential,False,38.64,,,"LINESTRING (117.0096577 32.5833294, 117.0095747 32.5831262, 117.0095351 32.5830483, 117.0094955 32.583014)",
987627807,True,泰康街,tertiary,False,18.635,,,"LINESTRING (117.0167085 32.5900774, 117.016667 32.5902413)",
444117865,True,和悦街,tertiary,False,8.891,,,"LINESTRING (117.016667 32.5902413, 117.0165721 32.5902416)",
444117790,False,,residential,True,8.214,,,"LINESTRING (117.0168071 32.5882537, 117.0167233 32.5882754)",
987627807,True,泰康街,tertiary,False,203.15300000000002,,,"LINESTRING (117.0168071 32.5882537, 117.0168124 32.5885935, 117.0167699 32.5895676, 117.0167085 32.5900774)",
444117861,True,和风大街,unclassified,False,9.199,,,"LINESTRING (117.0159031 32.5846322, 117.0158052 32.5846385)",
987627807,True,泰康街,tertiary,False,412.63899999999995,,,"LINESTRING (117.0159031 32.5846322, 117.0160102 32.5849475, 117.0163051 32.5858648, 117.0164538 32.5863272, 117.0166118 32.5869355, 117.0166801 32.5872154, 117.0167157 32.587361, 117.0167888 32.5879216, 117.0168071 32.5882537)",
444117930,True,和风大街,secondary,False,9.239,,,"LINESTRING (117.0158543 32.5844883, 117.0157557 32.5844873)",
987627807,True,泰康街,tertiary,False,16.641,,,"LINESTRING (117.0158543 32.5844883, 117.0159031 32.5846322)",
987627807,True,泰康街,tertiary,False,28.533,,,"LINESTRING (117.0157705 32.5842416, 117.0158543 32.5844883)",
987627807,True,泰康街,tertiary,False,17.198999999999998,,,"LINESTRING (117.0157317 32.5840908, 117.0157436 32.5841622, 117.0157705 32.5842416)",
444117796,False,,unclassified,True,10.278,,,"LINESTRING (117.009767 32.5858561, 117.0096573 32.5858552)",
987627794,True,瓦埠湖路,tertiary,False,276.286,,,"LINESTRING (117.009767 32.5858561, 117.009768 32.5883408)",
"[444117824, 444117796, 444117791]",False,,unclassified,False,159.785,,yes,"LINESTRING (117.009767 32.5858561, 117.0100916 32.5858588, 117.0103007 32.5858609, 117.0114724 32.5858583)",
444117834,False,,residential,True,10.504,,,"LINESTRING (117.009768 32.5883408, 117.0096569 32.5883281)",
987627794,True,瓦埠湖路,tertiary,False,193.335,,,"LINESTRING (117.009768 32.5883408, 117.0097687 32.5900795)",
"[444117834, 285484244, 444117802]",False,,residential,False,158.304,,yes,"LINESTRING (117.009768 32.5883408, 117.0101301 32.5883823, 117.0103071 32.5884094, 117.0107202 32.58845, 117.0111118 32.5884953, 117.0114434 32.5885226)",
