osmid,highway,maxspeed,oneway,reversed,length,name,geometry,lanes,bridge
448256207,residential,20,False,False,11.662,,"LINESTRING (113.0474503 23.6795391, 113.0475648 23.6795411)",,
482642928,secondary,40,True,False,182.572,连江路,"LINESTRING (113.0474503 23.6795391, 113.0474291 23.6805069, 113.0473849 23.6811796)",,
448256207,residential,20,False,False,80.778,,"LINESTRING (113.0475648 23.6795411, 113.0483555 23.6795992)",,
448256207,residential,20,False,True,11.662,,"LINESTRING (113.0475648 23.6795411, 113.0474503 23.6795391)",,
201370951,unclassified,8,True,False,206.43599999999998,连江路,"LINESTRING (113.0475648 23.6795411, 113.0475319 23.6805206, 113.0474786 23.6813958)",,
448256207,residential,20,False,False,14.064,,"LINESTRING (113.0506001 23.6796643, 113.0507379 23.6796728)",,
448256207,residential,20,False,True,172.389,,"LINESTRING (113.0506001 23.6796643, 113.0500139 23.6795727, 113.0499393 23.6795725, 113.0498735 23.6795871, 113.0498208 23.6796223, 113.049772 23.6797044, 113.0497092 23.6797558, 113.049638 23.6797737, 113.0493963 23.6797464, 113.0490171 23.6796756)",,
448256207,residential,20,False,True,14.064,,"LINESTRING (113.0507379 23.6796728, 113.0506001 23.6796643)",,
201370755,residential,20,False,False,222.954,,"LINESTRING (113.0490171 23.6796756, 113.0489176 23.6816786)",,
448256207,residential,20,False,True,67.906,,"LINESTRING (113.0490171 23.6796756, 113.0483555 23.6795992)",,
448256207,residential,20,False,False,172.389,,"LINESTRING (113.0490171 23.6796756, 113.0493963 23.6797464, 113.049638 23.6797737, 113.0497092 23.6797558, 113.049772 23.6797044, 113.0498208 23.6796223, 113.0498735 23.6795871, 113.0499393 23.6795725, 113.0500139 23.6795727, 113.0506001 23.6796643)",,
201370702,primary,40,True,False,12.932,凤翔中路,"LINESTRING (113.0549452 23.6810452, 113.0549448 23.6811615)",,
201370524,primary,40,True,False,58.516000000000005,人民一路,"LINESTRING (113.0549452 23.6810452, 113.0551589 23.6809761, 113.055486 23.6808673)",,
201370525,primary,40,True,False,15.682,人民一路,"LINESTRING (113.0549448 23.6811615, 113.0547993 23.6812077)",,
201370702,primary,40,True,False,37.818,凤翔中路,"LINESTRING (113.0549448 23.6811615, 113.0549435 23.6812906, 113.0549336 23.6815014)",,
201370526,primary,40,True,False,124.183,人民二路,"LINESTRING (113.0541628 23.6813839, 113.0531816 23.6816315, 113.0529875 23.6816818)",,
448157684,secondary,8,True,False,227.044,人民二路,"LINESTRING (113.0541628 23.6813839, 113.0540193 23.6815412, 113.0535019 23.6816741, 113.0520916 23.6820487)",,
448254595,secondary_link,,False,False,10.521,,"LINESTRING (113.0508025 23.6816491, 113.0508616 23.6816065, 113.0508837 23.6815906)",,
482642927,secondary,40,True,False,40.754,银泉北路,"LINESTRING (113.0508025 23.6816491, 113.0508453 23.6817036, 113.0509014 23.6817625, 113.0509616 23.6818101, 113.0510095 23.6818376, 113.051056 23.6818539, 113.0511092 23.681869)",,
201370702,primary,40,True,False,109.353,凤翔中路,"LINESTRING (113.0549336 23.6815014, 113.0548479 23.6824817)",,
615778690,primary,40,True,False,60.771,人民二路,"LINESTRING (113.0466684 23.6815839, 113.0472648 23.6816035)",,
