osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,access
304663936,True,2,乌山路,primary,False,136.35,"LINESTRING (119.2960332 26.0791684, 119.2956486 26.0789533, 119.2949028 26.0784816)",,
306647920,False,,,residential,True,227.934,"LINESTRING (119.2960332 26.0791684, 119.29574 26.0800777, 119.2956037 26.0800463, 119.2952227 26.0799331, 119.2945712 26.0797395)",,
502984369,True,,道山路,tertiary,False,120.057,"LINESTRING (119.2931381 26.0811617, 119.2927139 26.0810878, 119.2919567 26.0809622)",,
317816047,True,,道山路,tertiary,False,200.678,"LINESTRING (119.2890371 26.0797688, 119.2870996 26.0792906)",,
601484956,False,,,living_street,False,152.855,"LINESTRING (119.2890371 26.0797688, 119.2885534 26.081073)",,
317816044,True,,,residential,False,165.798,"LINESTRING (119.2904976 26.0799778, 119.2921316 26.0802411)",,
317816047,True,,道山路,tertiary,False,147.705,"LINESTRING (119.2904976 26.0799778, 119.2890371 26.0797688)",,
601484955,False,,,living_street,True,271.152,"LINESTRING (119.2870996 26.0792906, 119.287102 26.0795576, 119.2871759 26.079854, 119.2872399 26.0800686, 119.2873827 26.0804114, 119.2876142 26.0807012, 119.2880822 26.0808826, 119.2885255 26.0810532, 119.2885534 26.081073)",,
191939544,False,,,residential,False,10.757,"LINESTRING (119.2965233 26.0819154, 119.2964389 26.0818553)",,
305859352,True,,道山路,tertiary,False,96.391,"LINESTRING (119.2940838 26.0813348, 119.2931381 26.0811617)",,
306647918,False,,,residential,False,89.753,"LINESTRING (119.2940838 26.0813348, 119.2942802 26.0806402, 119.294308 26.0805532)",,
603575557,False,,,tertiary,True,66.705,"LINESTRING (119.2918798 26.0738984, 119.2914866 26.0734135)",,
305856841,False,,,tertiary,False,34.862,"LINESTRING (119.2918798 26.0738984, 119.2919256 26.0738065, 119.2919854 26.073688, 119.2920097 26.0736082)",,
