osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,bridge
241612047,True,3,良港路,secondary,False,311.563,,"LINESTRING (120.9750272 28.1174152, 120.9763887 28.1199468)",
1156187303,True,,旭阳路,secondary,False,11.824,60,"LINESTRING (120.9750272 28.1174152, 120.9749177 28.1174597)",
255736853,True,,伯乐西路,primary,False,31.463,,"LINESTRING (120.9786113 28.1152135, 120.9787594 28.1154645)",
408917662,True,2,旭阳路,secondary,False,198.817,,"LINESTRING (120.9786113 28.1152135, 120.9803617 28.1143116)",
255736853,True,,伯乐西路,primary,False,142.066,,"LINESTRING (120.980308 28.1184775, 120.9808102 28.1196759)",
408918601,False,,晨曦路,tertiary,False,187.595,,"LINESTRING (120.980308 28.1184775, 120.9820548 28.11779)",
408918601,False,,晨曦路,tertiary,True,10.454,,"LINESTRING (120.980308 28.1184775, 120.9802105 28.1185155)",
408917652,True,2,旭阳路,secondary,False,11.777,,"LINESTRING (120.9787594 28.1154645, 120.9786561 28.1155185)",
255736853,True,,伯乐西路,primary,False,367.93399999999997,,"LINESTRING (120.9787594 28.1154645, 120.9796201 28.1170523, 120.980308 28.1184775)",
241612047,True,3,良港路,secondary,False,35.231,,"LINESTRING (120.9748478 28.1171407, 120.9750272 28.1174152)",
408917662,True,2,旭阳路,secondary,False,414.012,,"LINESTRING (120.9748478 28.1171407, 120.978498 28.1152704)",
1156187301,True,,旭阳路,secondary,False,11.703,,"LINESTRING (120.97475 28.117201, 120.9748478 28.1171407)",
983696113,False,,晨曦路,tertiary,True,8.209,,"LINESTRING (120.9763887 28.1199468, 120.9763162 28.1199837)",
"[408918601, 983696113, 983696114]",False,,晨曦路,tertiary,False,178.20499999999998,,"LINESTRING (120.9763887 28.1199468, 120.9776087 28.1194907, 120.977921 28.1193739, 120.9780617 28.1193213)",yes
408917644,True,3,良港路,secondary,False,33.136,,"LINESTRING (120.9749177 28.1174597, 120.97475 28.117201)",
408918601,False,,晨曦路,tertiary,False,10.454,,"LINESTRING (120.9802105 28.1185155, 120.980308 28.1184775)",
408918601,False,,晨曦路,tertiary,True,170.517,,"LINESTRING (120.9802105 28.1185155, 120.9786104 28.1191155)",
555247521,True,,伯乐西路,primary,False,185.413,,"LINESTRING (120.9802105 28.1185155, 120.9794257 28.1169985)",
408917652,True,2,旭阳路,secondary,False,413.695,,"LINESTRING (120.9786561 28.1155185, 120.9750272 28.1174152)",
555247521,True,,伯乐西路,primary,False,31.646,,"LINESTRING (120.9786561 28.1155185, 120.978498 28.1152704)",
408917662,True,2,旭阳路,secondary,False,12.787,,"LINESTRING (120.978498 28.1152704, 120.9786113 28.1152135)",
408917662,True,2,旭阳路,secondary,False,117.839,,"LINESTRING (120.9803617 28.1143116, 120.9813992 28.1137771)",
"[983696128, 888425952, 983696127]",False,,,tertiary,True,68.476,,"LINESTRING (120.9803617 28.1143116, 120.9802297 28.1141349, 120.9800721 28.1139354, 120.9799708 28.1138014)",yes
408918601,False,,晨曦路,tertiary,True,123.507,,"LINESTRING (120.9832048 28.1173373, 120.9820548 28.11779)",
