osmid,lanes,ref,highway,oneway,reversed,length,geometry,name,width
245504597,2,X027,secondary,False,True,52.687,"LINESTRING (119.0960378 30.8906303, 119.0964816 30.8909122)",,
245504597,2,X027,secondary,False,False,27.095,"LINESTRING (119.0968058 30.8911182, 119.0965776 30.8909732)",,
245504597,2,X027,secondary,False,True,812.3219999999999,"LINESTRING (119.0968058 30.8911182, 119.097129 30.8913577, 119.0996711 30.89203, 119.0999286 30.8921522, 119.1034994 30.895315)",,
245504603,,,unclassified,False,True,1234.78,"LINESTRING (119.0968058 30.8911182, 119.0971619 30.8912495, 119.0974054 30.8912915, 119.0990831 30.8911381, 119.1004341 30.8911051, 119.1016231 30.8911861, 119.1019531 30.8912591, 119.1022771 30.891381, 119.1028421 30.891762, 119.1032431 30.891772, 119.1037491 30.891671, 119.1043111 30.891685, 119.1045331 30.891852, 119.1050348 30.8924021, 119.1052249 30.8926557, 119.1053152 30.8928958, 119.1049526 30.8938729, 119.1046921 30.894206, 119.1039031 30.894978, 119.1034994 30.895315)",,
245504597,2,X027,secondary,False,False,812.3219999999999,"LINESTRING (119.1034994 30.895315, 119.0999286 30.8921522, 119.0996711 30.89203, 119.097129 30.8913577, 119.0968058 30.8911182)",,
245504603,,,unclassified,False,False,1234.78,"LINESTRING (119.1034994 30.895315, 119.1039031 30.894978, 119.1046921 30.894206, 119.1049526 30.8938729, 119.1053152 30.8928958, 119.1052249 30.8926557, 119.1050348 30.8924021, 119.1045331 30.891852, 119.1043111 30.891685, 119.1037491 30.891671, 119.1032431 30.891772, 119.1028421 30.891762, 119.1022771 30.891381, 119.1019531 30.8912591, 119.1016231 30.8911861, 119.1004341 30.8911051, 119.0990831 30.8911381, 119.0974054 30.8912915, 119.0971619 30.8912495, 119.0968058 30.8911182)",,
245504597,2,X027,secondary,False,False,52.687,"LINESTRING (119.0964816 30.8909122, 119.0960378 30.8906303)",,
245504597,2,X027,secondary,False,True,11.398,"LINESTRING (119.0964816 30.8909122, 119.0965776 30.8909732)",,
476752312,2,,primary,True,False,697.355,"LINESTRING (119.0964816 30.8909122, 119.1017353 30.8894732, 119.1027564 30.8891903, 119.1034641 30.8890754)",,
245504597,2,X027,secondary,False,False,11.398,"LINESTRING (119.0965776 30.8909732, 119.0964816 30.8909122)",,
245504597,2,X027,secondary,False,True,27.095,"LINESTRING (119.0965776 30.8909732, 119.0968058 30.8911182)",,
759813249,2,S203,primary,False,False,16.892,"LINESTRING (119.1035675 30.8891987, 119.1034641 30.8890754)",梅四路,10
730024526,2,,primary,True,False,695.794,"LINESTRING (119.1035675 30.8891987, 119.1027312 30.8893583, 119.1014695 30.8896781, 119.0965776 30.8909732)",,
759813249,2,S203,primary,False,True,16.892,"LINESTRING (119.1034641 30.8890754, 119.1035675 30.8891987)",梅四路,10
