osmid,oneway,highway,reversed,length,geometry,name,lanes
44050466,True,primary_link,False,261.272,"LINESTRING (106.2242215 38.4824132, 106.2247514 38.4822738, 106.2254306 38.4821531, 106.2256798 38.4821199, 106.226063 38.4820933, 106.226596 38.4821006, 106.2271703 38.4821304)",,
70979142,True,secondary,False,192.77300000000002,"LINESTRING (106.2242215 38.4824132, 106.2245167 38.4822911, 106.2248788 38.4821736, 106.2252087 38.4820581, 106.2254019 38.4819405, 106.2255655 38.4817326, 106.2255977 38.4815227, 106.225605 38.4812874)",宁安大街,
44050466,True,primary_link,False,146.798,"LINESTRING (106.2271703 38.4821304, 106.2278374 38.4822713, 106.2283287 38.4824323, 106.2287386 38.4826007)",,
137551636,True,secondary,False,12.389,"LINESTRING (106.22343 38.4887476, 106.2235723 38.4887503)",上海西路,3
137551675,True,secondary,False,245.852,"LINESTRING (106.22343 38.4887476, 106.2231289 38.4865492)",人民广场西街,3
44050466,True,primary_link,False,79.809,"LINESTRING (106.2287386 38.4826007, 106.229036 38.4827821, 106.2293512 38.4831252)",,
480191147,True,primary_link,False,104.832,"LINESTRING (106.2287386 38.4826007, 106.2292696 38.4827846, 106.2295754 38.4828559, 106.2298769 38.4828901)",,
44050466,True,primary_link,False,15.714,"LINESTRING (106.223324 38.4828865, 106.2234703 38.4828037)",,
334654619,False,residential,False,384.357,"LINESTRING (106.2212122 38.4816385, 106.225605 38.4812874)",亲宁巷,
137551675,True,secondary,False,330.607,"LINESTRING (106.2231289 38.4865492, 106.2226115 38.4836037)",人民广场西街,3
334447463,False,residential,True,198.073,"LINESTRING (106.2231289 38.4865492, 106.220868 38.486752)",,
137551628,True,secondary,False,204.94,"LINESTRING (106.2210781 38.4888369, 106.22343 38.4887476)",上海西路,3
334447465,False,residential,False,232.551,"LINESTRING (106.2210781 38.4888369, 106.220868 38.486752)",,
334447463,False,residential,False,198.073,"LINESTRING (106.220868 38.486752, 106.2231289 38.4865492)",,
334447465,False,residential,True,232.551,"LINESTRING (106.220868 38.486752, 106.2210781 38.4888369)",,
334654619,False,residential,False,11.427,"LINESTRING (106.225605 38.4812874, 106.2257358 38.4812786)",亲宁巷,
334654619,False,residential,True,384.357,"LINESTRING (106.225605 38.4812874, 106.2212122 38.4816385)",亲宁巷,
480191146,True,primary_link,False,172.028,"LINESTRING (106.2215479 38.4835183, 106.2221752 38.4834123, 106.2226097 38.4832549, 106.2229932 38.4830701, 106.223324 38.4828865)",,
749638766,True,primary,False,94.08,"LINESTRING (106.2215479 38.4835183, 106.2224579 38.48345, 106.2226243 38.4834425)",北京东路,4
334654619,False,residential,True,11.427,"LINESTRING (106.2257358 38.4812786, 106.225605 38.4812874)",亲宁巷,
480191190,True,secondary,False,174.012,"LINESTRING (106.2257358 38.4812786, 106.2257881 38.4815458, 106.2259061 38.4817095, 106.2260697 38.4818649, 106.2262897 38.4819531, 106.2266625 38.4820308, 106.2271703 38.4821304)",,
44050466,True,primary_link,False,78.501,"LINESTRING (106.2234703 38.4828037, 106.2238506 38.4825993, 106.2242215 38.4824132)",,
473061105,True,primary,False,77.989,"LINESTRING (106.2235018 38.4835251, 106.2228667 38.4835778, 106.2226115 38.4836037)",北京东路,4
480191204,True,primary_link,False,111.24100000000001,"LINESTRING (106.2235018 38.4835251, 106.2233754 38.4835021, 106.2232547 38.4834559, 106.2231206 38.4833404, 106.2231019 38.4832795, 106.2231206 38.4831389, 106.2232333 38.4830108, 106.2234703 38.4828037)",,
44050466,True,primary_link,False,17.959,"LINESTRING (106.2226115 38.4836037, 106.2226243 38.4834425)",,
473061105,True,primary,False,511.10299999999995,"LINESTRING (106.2293512 38.4831252, 106.2262859 38.483315, 106.2256361 38.483364, 106.2235018 38.4835251)",北京东路,4
947417994,False,secondary,False,600.359,"LINESTRING (106.2293512 38.4831252, 106.2294209 38.4833118, 106.2298615 38.4885051)",人民广场东街,
44050466,True,primary_link,False,87.116,"LINESTRING (106.2226243 38.4834425, 106.2228997 38.4831754, 106.223324 38.4828865)",,
749638766,True,primary,False,634.273,"LINESTRING (106.2226243 38.4834425, 106.2228653 38.4834197, 106.225619 38.4832154, 106.2262769 38.4831666, 106.2298769 38.4828901)",北京东路,4
137551675,True,secondary,False,16.948,"LINESTRING (106.2234197 38.4888998, 106.22343 38.4887476)",人民广场西街,3
749638706,True,secondary,False,14.87,"LINESTRING (106.2298615 38.4885051, 106.2299173 38.4886315)",人民广场东街,
947417994,False,secondary,True,600.359,"LINESTRING (106.2298615 38.4885051, 106.2294209 38.4833118, 106.2293512 38.4831252)",人民广场东街,
137551657,True,secondary,False,16.718,"LINESTRING (106.2297767 38.48864, 106.2298615 38.4885051)",人民广场东街,
749638741,True,secondary,False,538.534,"LINESTRING (106.2297767 38.48864, 106.2235977 38.4888939)",上海西路,3
137551636,True,secondary,False,548.065,"LINESTRING (106.2235723 38.4887503, 106.2298615 38.4885051)",上海西路,3
749638722,True,secondary,False,16.12,"LINESTRING (106.2235723 38.4887503, 106.2235977 38.4888939)",人民广场西街,3
749638741,True,secondary,False,15.506,"LINESTRING (106.2235977 38.4888939, 106.2234197 38.4888998)",上海西路,3
749638753,True,secondary,False,12.274,"LINESTRING (106.2299173 38.4886315, 106.2297767 38.48864)",上海西路,3
