osmid,oneway,name,highway,reversed,length,bridge,geometry
273298920,True,迎宾路,trunk,False,10.755,,"LINESTRING (86.1678671 41.7245477, 86.1678038 41.7244633)"
273298920,True,迎宾路,trunk,False,186.362,,"LINESTRING (86.1687213 41.7260977, 86.1678671 41.7245477)"
1094904738,True,民生路,secondary,False,290.48,,"LINESTRING (86.1712296 41.7193959, 86.1729664 41.7216639)"
"[800829523, 186864884]",True,民生路,secondary,False,283.98400000000004,yes,"LINESTRING (86.176521 41.7263234, 86.175286 41.7246898, 86.1748301 41.7241031)"
1094904735,True,民生路,secondary,False,303.634,,"LINESTRING (86.1730221 41.7217292, 86.1748301 41.7241031)"
1095059317,True,延安路,secondary,False,8.707,,"LINESTRING (86.1730221 41.7217292, 86.1729373 41.7217753)"
1094904734,True,延安路,secondary,False,308.633,,"LINESTRING (86.1760434 41.720111, 86.1730221 41.7217292)"
"[664790450, 664790451]",True,迎宾路,trunk,False,215.50900000000001,yes,"LINESTRING (86.1697951 41.7278623, 86.1691949 41.7268947, 86.1687213 41.7260977)"
664790457,True,,residential,False,166.903,,"LINESTRING (86.1697951 41.7278623, 86.1695536 41.7277504, 86.1694135 41.7276528, 86.1693154 41.7275447, 86.168761 41.7266176)"
273298921,True,迎宾路,trunk,False,224.092,,"LINESTRING (86.1679828 41.724473, 86.1693168 41.7262252)"
800829525,True,延安路,secondary,False,12.696,,"LINESTRING (86.1679828 41.724473, 86.1678671 41.7245477)"
"[664790452, 664790453]",True,迎宾路,trunk,False,149.67499999999998,yes,"LINESTRING (86.1693168 41.7262252, 86.1700251 41.7271098, 86.1701804 41.7273598, 86.1702058 41.727395)"
1110026988,True,,secondary_link,False,246.28400000000002,,"LINESTRING (86.1693168 41.7262252, 86.1683682 41.7247096, 86.1683007 41.7245934, 86.1682981 41.7244947, 86.1683474 41.724392, 86.1684723 41.7242065)"
664790454,False,,residential,True,68.972,,"LINESTRING (86.1705343 41.7274402, 86.1712114 41.7270805)"
664790455,True,,residential,False,23.424,,"LINESTRING (86.1705343 41.7274402, 86.1704082 41.7275308, 86.1703539 41.7275998)"
664790453,True,迎宾路,trunk,False,25.878,,"LINESTRING (86.1702058 41.727395, 86.1703539 41.7275998)"
664790455,True,,residential,False,28.689,,"LINESTRING (86.1702058 41.727395, 86.1703942 41.7274541, 86.1705343 41.7274402)"
664790454,False,,residential,False,68.972,,"LINESTRING (86.1712114 41.7270805, 86.1705343 41.7274402)"
664790454,False,,residential,True,417.314,,"LINESTRING (86.1712114 41.7270805, 86.1752727 41.7248675)"
664790456,False,,residential,False,209.887,,"LINESTRING (86.1712114 41.7270805, 86.1701 41.7269034, 86.1694041 41.7267536, 86.168761 41.7266176)"
664790456,False,,residential,True,209.887,,"LINESTRING (86.168761 41.7266176, 86.1694041 41.7267536, 86.1701 41.7269034, 86.1712114 41.7270805)"
1094904738,True,民生路,secondary,False,8.608,,"LINESTRING (86.1729664 41.7216639, 86.1730221 41.7217292)"
1095059310,True,,secondary,False,309.151,,"LINESTRING (86.1729664 41.7216639, 86.1759868 41.7200368)"
273298921,True,迎宾路,trunk,False,10.166,,"LINESTRING (86.1679189 41.724395, 86.1679828 41.724473)"
1095059306,True,,secondary,False,49.913,,"LINESTRING (86.1679189 41.724395, 86.1684058 41.7241315)"
1095059306,True,,secondary,False,12.203,,"LINESTRING (86.1678038 41.7244633, 86.1679189 41.724395)"
664790454,False,,residential,False,417.314,,"LINESTRING (86.1752727 41.7248675, 86.1712114 41.7270805)"
"[1095059314, 1095059316, 1095059318]",True,,secondary,False,394.71,yes,"LINESTRING (86.1752727 41.7248675, 86.1751621 41.724722, 86.1747402 41.7241756, 86.173839 41.7229621, 86.1729373 41.7217753)"
1095059321,True,,secondary,False,8.261,,"LINESTRING (86.1728858 41.7217075, 86.1729664 41.7216639)"
800829525,True,延安路,secondary,False,458.693,,"LINESTRING (86.1729373 41.7217753, 86.1684723 41.7242065)"
1095059322,True,,secondary,False,8.666,,"LINESTRING (86.1729373 41.7217753, 86.1728858 41.7217075)"
1095059306,True,,secondary,False,459.229,,"LINESTRING (86.1684058 41.7241315, 86.1728858 41.7217075)"
800829525,True,延安路,secondary,False,50.284,,"LINESTRING (86.1684723 41.7242065, 86.1679828 41.724473)"
