osmid,oneway,lanes,highway,reversed,length,geometry,name,maxspeed,width,tunnel,bridge,junction
754969003,True,1,primary_link,False,18.470000000000002,"LINESTRING (113.5521106 22.1958545, 113.5520755 22.195831, 113.5520513 22.1958246, 113.5520262 22.1958223, 113.5520011 22.1958241, 113.5519767 22.1958299, 113.5519539 22.1958396, 113.5519455 22.195845)",,,,,,
666854706,True,2,secondary,False,19.531,"LINESTRING (113.5448478 22.1957052, 113.5449581 22.1958481)",肥利喇亞美打大馬路(荷蘭園大馬路)(荷蘭園正街) Avenida do Conselheiro Ferreira de Almeida,30,,,,
771283614,True,1,tertiary,False,94.597,"LINESTRING (113.5460695 22.1978963, 113.5460031 22.1979394, 113.5458918 22.1979728, 113.5454214 22.1980098, 113.5452929 22.1980198, 113.5451734 22.1980136)",西墳馬路 Estrada do Cemitério,,3,,,
771283614,True,1,tertiary,False,39.383,"LINESTRING (113.5463822 22.1976923, 113.5460695 22.1978963)",西墳馬路 Estrada do Cemitério,,3,,,
"[713092771, 759513526]",True,2,secondary,False,21.612000000000002,"LINESTRING (113.5463822 22.1976923, 113.5464115 22.19773, 113.5464363 22.1977532, 113.5464648 22.1977725, 113.5464961 22.1977875, 113.5465296 22.1977977, 113.546548 22.1978006)","['肥利喇亞美打大馬路(荷蘭園大馬路)(荷蘭園正街) Avenida do Conselheiro Ferreira de Almeida', '荷蘭園大馬路 Avenida do Conselheiro Ferreira de Almeida']",30,,,,
307132475,True,,residential,False,85.412,"LINESTRING (113.5444604 22.1980484, 113.5444672 22.1980563, 113.5442748 22.1987931)",區華利街 Rua de Jorge Álvares,,,,,
532430331,False,,residential,True,8.644,"LINESTRING (113.5506132 22.2016577, 113.5505617 22.2015963)",文第士街 Rua de Silva Mendes,,,,,
704585550,True,2,tertiary,False,67.723,"LINESTRING (113.5506132 22.2016577, 113.5506688 22.2016118, 113.550675 22.2016067, 113.5510044 22.201335, 113.5510561 22.2012923, 113.5511043 22.2012525)",雅廉訪大馬路 Avenida do Ouvidor Arriaga,60,,,,
818850105,True,,tertiary,False,30.206,"LINESTRING (113.5444906 22.2008204, 113.5447295 22.2006627)",沙嘉都喇賈罷麗街 Rua de Sacadura Cabral,,,,,
"[771283618, 771283604]",True,1,tertiary,False,81.10900000000001,"LINESTRING (113.5444906 22.2008204, 113.544473 22.2008402, 113.5444627 22.200866, 113.5444622 22.2008935, 113.5446831 22.2015092)",連勝馬路 Estrada de Coelho do Amaral,,,,,
707981568,True,2,residential,False,54.859,"LINESTRING (113.5447295 22.2006627, 113.5445033 22.200216)",亞利鴉架街 Rua de Manuel de Arriaga,,,,,
834951863,True,,tertiary,False,43.826,"LINESTRING (113.5447295 22.2006627, 113.5450762 22.200434)",沙嘉都喇賈罷麗街 Rua de Sacadura Cabral,,,,,
834951863,True,,tertiary,False,37.792,"LINESTRING (113.5450762 22.200434, 113.5453751 22.2002367)",沙嘉都喇賈罷麗街 Rua de Sacadura Cabral,,,,,
771283605,True,1,residential,False,74.28800000000001,"LINESTRING (113.5450762 22.200434, 113.5453105 22.2007139, 113.5455183 22.200962)",俾利喇街 Rua de Francisco Xavier Pereira,,,,,
834951863,True,,tertiary,False,47.938,"LINESTRING (113.5453751 22.2002367, 113.5457543 22.1999865)",沙嘉都喇賈罷麗街 Rua de Sacadura Cabral,,,,,
156356505,True,,residential,False,64.614,"LINESTRING (113.5453751 22.2002367, 113.5455537 22.20041, 113.545702 22.2005455, 113.5458231 22.2006431)",僑樂巷 Travessa do Ultramar,,,,,
819799036,True,1,tertiary,False,56.556,"LINESTRING (113.5457543 22.1999865, 113.5453401 22.1996524)",賈伯樂提督街 (提督街) Rua do Almirante Costa Cabral,,,,,
834951863,True,,tertiary,False,63.17,"LINESTRING (113.5457543 22.1999865, 113.5462536 22.1996563)",沙嘉都喇賈罷麗街 Rua de Sacadura Cabral,,,,,
307197542,True,,residential,False,68.268,"LINESTRING (113.5467114 22.1987288, 113.546326 22.1982292)",塔石街 Rua do Tap Siac,,,,,
399606219,True,,residential,False,37.397,"LINESTRING (113.5467114 22.1987288, 113.5464177 22.1989267)",亞豐素雅布基街(亞豐素街) Rua de Afonso de Albuquerque,,,,,
404242728,True,1,primary_link,False,141.46000000000004,"LINESTRING (113.5519504 22.196618, 113.5519691 22.1965904, 113.5519901 22.1965639, 113.5520133 22.1965391, 113.5520385 22.1965161, 113.5520657 22.196495, 113.5520946 22.196476, 113.552125 22.1964592, 113.5521568 22.1964447, 113.5521898 22.1964326, 113.5522237 22.196423, 113.5522583 22.1964159, 113.5522934 22.1964115, 113.5523288 22.1964096, 113.5523643 22.1964104, 113.5523995 22.1964138, 113.5524344 22.1964198, 113.5524686 22.1964284, 113.552502 22.1964395, 113.5525343 22.196453, 113.5525653 22.1964688, 113.5525948 22.196487, 113.5526227 22.1965072, 113.5526488 22.1965295, 113.5526728 22.1965536, 113.552892 22.1967871, 113.5530164 22.1969193)",,,,,,
"[525000539, 139012871]",False,2,primary,"[False, True]",283.78499999999997,"LINESTRING (113.5519504 22.196618, 113.5519103 22.1966925, 113.5507303 22.1989065)",松山隧道 Tunel do Monte da Guia,40,10.5,yes,,
