osmid,oneway,lanes,ref,highway,reversed,length,name,geometry,tunnel,bridge
957742068,True,2,S357,primary,False,12.92,,"LINESTRING (119.9659576 31.8101777, 119.9658247 31.810205)",,
151975240,True,,,tertiary,False,217.257,惠国路,"LINESTRING (119.9659576 31.8101777, 119.9659823 31.8103285, 119.9660199 31.8106977, 119.9662357 31.8119533, 119.9662586 31.8121142)",,
745186166,True,,,secondary,False,176.652,龙锦路,"LINESTRING (119.9668195 31.8153127, 119.9686704 31.8150888)",,
1008797419,True,,,tertiary,False,12.018,惠国路,"LINESTRING (119.9668195 31.8153127, 119.9668466 31.8154183)",,
53353123,True,,S357,primary,False,63.11,龙城大道,"LINESTRING (119.9712064 31.8079173, 119.9710306 31.8080221, 119.9706743 31.80826)",,
998167292,True,3,,tertiary,False,10.606,广场大道,"LINESTRING (119.972634 31.81067, 119.9727316 31.8106229)",,
1009239390,True,,,secondary,False,267.067,晋陵北路,"LINESTRING (119.972634 31.81067, 119.9724068 31.8104595, 119.9721506 31.8101096, 119.9719612 31.8097449, 119.9717827 31.8093139, 119.9714537 31.8085128)",,
461258484,False,,,residential,False,10.355,惠泰路,"LINESTRING (119.9686704 31.8150888, 119.9686858 31.815181)",,
745186166,True,,,secondary,False,185.95,龙锦路,"LINESTRING (119.9686704 31.8150888, 119.969569 31.8149747, 119.9696932 31.8149589, 119.9706173 31.8148448)",,
151975240,True,,,tertiary,False,40.594,惠国路,"LINESTRING (119.9659178 31.8098142, 119.9659576 31.8101777)",,
"[745186161, 689050014, 415306766]",True,,S357,primary,False,458.821,龙城大道,"LINESTRING (119.9659178 31.8098142, 119.9661461 31.8097455, 119.9661772 31.8097361, 119.9668767 31.8095259, 119.9677446 31.8092545, 119.9681975 31.8091092, 119.9685379 31.8089872, 119.9688978 31.8088313, 119.9696648 31.8084316, 119.9700714 31.8082385, 119.9703066 31.8080935)",yes,
1009239389,True,,S357,primary,False,15.128,龙城大道,"LINESTRING (119.9713337 31.8078348, 119.9712064 31.8079173)",,
631200103,True,,,secondary,False,339.726,晋陵北路,"LINESTRING (119.9713337 31.8078348, 119.9713702 31.8079296, 119.9713874 31.8079744, 119.9719035 31.8092713, 119.9720612 31.8096585, 119.9722604 31.8100577, 119.9724942 31.8103908, 119.9726697 31.8105746, 119.9727316 31.8106229)",,
461258486,True,3,,tertiary,False,13.818,广场大道,"LINESTRING (119.9727316 31.8106229, 119.9727032 31.8107448)",,
998167291,True,,,secondary,False,10.58,晋陵北路,"LINESTRING (119.9727032 31.8107448, 119.972634 31.81067)",,
461258486,True,3,,tertiary,False,31.67,广场大道,"LINESTRING (119.9727032 31.8107448, 119.9726497 31.8108415, 119.9725107 31.8109746)",,
461258485,True,,,tertiary_link,False,24.487000000000002,,"LINESTRING (119.9723652 31.8108789, 119.9724514 31.8108609, 119.9725171 31.8108959, 119.9725107 31.8109746)",,
998167290,True,3,,tertiary,False,35.093,广场大道,"LINESTRING (119.9723652 31.8108789, 119.9724978 31.8107347, 119.972634 31.81067)",,
461258486,True,3,,tertiary,False,35.389,广场大道,"LINESTRING (119.9725107 31.8109746, 119.9722606 31.8112115)",,
998167290,True,3,,tertiary,False,61.561,广场大道,"LINESTRING (119.9719417 31.8112996, 119.9723652 31.8108789)",,
461258487,True,3,,tertiary,False,30.713,广场大道,"LINESTRING (119.9716423 31.8114071, 119.9719417 31.8112996)",,
