osmid,oneway,name,highway,reversed,length,lanes,ref,bridge,geometry
583464733,True,城南路,secondary,False,56.816,,,,"LINESTRING (112.0407323 22.9204578, 112.0410711 22.9200532)"
617820142,True,世纪大道中,primary,False,11.007,3,S368,,"LINESTRING (112.0407323 22.9204578, 112.0408308 22.9204974)"
494402867,True,城南路,secondary,False,17.173,,,,"LINESTRING (112.0408308 22.9204974, 112.0407373 22.9206256)"
617820142,True,世纪大道中,primary,False,65.104,3,S368,,"LINESTRING (112.0408308 22.9204974, 112.0414455 22.9206466)"
331818253,True,世纪大道中,primary,False,59.231,3,S368,,"LINESTRING (112.0406336 22.9205784, 112.0401232 22.9203279)"
583464733,True,城南路,secondary,False,16.793,,,,"LINESTRING (112.0406336 22.9205784, 112.0407323 22.9204578)"
331818253,True,世纪大道中,primary,False,11.847,3,S368,,"LINESTRING (112.0407373 22.9206256, 112.0406336 22.9205784)"
494402867,True,城南路,secondary,False,41.018,,,,"LINESTRING (112.0407373 22.9206256, 112.0405345 22.9209437)"
583459723,False,声屏路,residential,False,8.0,,,,"LINESTRING (112.0390255 22.9159176, 112.0390941 22.915952)"
583459720,True,迎宾路,residential,False,13.431,,,,"LINESTRING (112.0373679 22.9188389, 112.0374253 22.9187303)"
617820149,True,世纪大道中,primary,False,218.042,3,S368,,"LINESTRING (112.0373679 22.9188389, 112.0354972 22.9179028)"
521286285,True,南山路,secondary,False,9.985,2,X487,,"LINESTRING (112.0351418 22.9189693, 112.0351372 22.919059)"
585898453,True,河滨西路,secondary,False,13.037,3,,,"LINESTRING (112.0350302 22.9189129, 112.0351418 22.9189693)"
"[583506848, 583506852]",True,南山路,secondary,False,152.874,2,X487,yes,"LINESTRING (112.0350302 22.9189129, 112.0350621 22.9181755, 112.0350509 22.917988, 112.0349908 22.9177973, 112.0348559 22.9175798)"
"[331818229, 583506869]",True,南山路,secondary,False,137.79500000000002,2,X487,yes,"LINESTRING (112.0354972 22.9179028, 112.0353373 22.9179438, 112.0352645 22.9179921, 112.0351946 22.9180685, 112.0351669 22.9181901, 112.0351418 22.9189693)"
617820149,True,世纪大道中,primary,False,74.911,3,S368,,"LINESTRING (112.0354972 22.9179028, 112.0352308 22.9177826, 112.0349643 22.917639, 112.0348559 22.9175798)"
583462337,True,世纪大道中,primary,False,11.866,3,S368,,"LINESTRING (112.0374253 22.9187303, 112.0375276 22.9187804)"
583459720,True,迎宾路,residential,False,353.493,,,,"LINESTRING (112.0374253 22.9187303, 112.0378633 22.9179137, 112.0386437 22.9164585, 112.0390255 22.9159176)"
583459718,True,声屏路,residential,False,16.344,,,,"LINESTRING (112.0409631 22.9168647, 112.0409348 22.9168331, 112.0409197 22.9167934, 112.0409204 22.9167525, 112.0409275 22.9167304)"
583459723,False,声屏路,residential,True,8.0,,,,"LINESTRING (112.0390941 22.915952, 112.0390255 22.9159176)"
583459723,False,声屏路,residential,False,206.764,,,,"LINESTRING (112.0390941 22.915952, 112.0397085 22.9162129, 112.0409275 22.9167304)"
583459727,True,迎宾路,residential,False,188.51,,,,"LINESTRING (112.0390941 22.915952, 112.0386989 22.9164768, 112.0385137 22.9168412, 112.0382124 22.9174337)"
617820149,True,世纪大道中,primary,False,12.106,3,S368,,"LINESTRING (112.0374701 22.9188936, 112.0373679 22.9188389)"
583459718,True,声屏路,residential,False,13.305,,,,"LINESTRING (112.0411578 22.9168327, 112.0411296 22.9168644, 112.0410913 22.9168853, 112.0410512 22.9168927)"
