osmid,oneway,ref,name,highway,reversed,length,lanes,geometry,bridge
584381737,True,S213,中州路,primary,False,11.247,,"LINESTRING (114.6380326 33.6340012, 114.6380083 33.6341003)",
401058882,True,,文昌大道,primary,False,394.807,3,"LINESTRING (114.6380326 33.6340012, 114.6391348 33.6341608, 114.6422783 33.6340619)",
544441586,False,,,tertiary,False,682.6589999999999,,"LINESTRING (114.6389958 33.6295776, 114.6391307 33.6295791, 114.6394756 33.6295068, 114.6401202 33.6293579, 114.6406311 33.6292087, 114.6408598 33.6291545, 114.6412939 33.6290627, 114.6415641 33.6290072, 114.6417106 33.6289239, 114.6418504 33.6288148, 114.6419973 33.6287397, 114.6421864 33.6287019, 114.6437608 33.6284787, 114.6450857 33.6282991, 114.6461161 33.6282369)",
584381737,True,S213,中州路,primary,False,499.94,,"LINESTRING (114.6389958 33.6295776, 114.6389458 33.6298846, 114.6386668 33.631106, 114.6380326 33.6340012)",
222863423,True,,文昌大道,primary,False,7.406,3,"LINESTRING (114.6380083 33.6341003, 114.6379291 33.6340909)",
429612114,False,,,tertiary,False,72.018,,"LINESTRING (114.6387264 33.6273271, 114.6379556 33.627414)",
429612114,False,,,tertiary,True,9.349,,"LINESTRING (114.6387264 33.6273271, 114.6388269 33.627319)",
401058871,False,,,tertiary,False,647.685,,"LINESTRING (114.6462645 33.6340289, 114.6461748 33.6331476, 114.6458315 33.631093, 114.6461161 33.6282369)",
401058879,False,,,tertiary,True,8.779,,"LINESTRING (114.6422783 33.6340619, 114.6422671 33.6341403)",
401058882,True,,文昌大道,primary,False,369.061,3,"LINESTRING (114.6422783 33.6340619, 114.6462645 33.6340289)",
401058871,False,,,tertiary,True,647.685,,"LINESTRING (114.6461161 33.6282369, 114.6458315 33.631093, 114.6461748 33.6331476, 114.6462645 33.6340289)",
544441586,False,,,tertiary,True,682.6589999999999,,"LINESTRING (114.6461161 33.6282369, 114.6450857 33.6282991, 114.6437608 33.6284787, 114.6421864 33.6287019, 114.6419973 33.6287397, 114.6418504 33.6288148, 114.6417106 33.6289239, 114.6415641 33.6290072, 114.6412939 33.6290627, 114.6408598 33.6291545, 114.6406311 33.6292087, 114.6401202 33.6293579, 114.6394756 33.6295068, 114.6391307 33.6295791, 114.6389958 33.6295776)",
401058879,False,,,tertiary,False,8.779,,"LINESTRING (114.6422671 33.6341403, 114.6422783 33.6340619)",
222863423,True,,文昌大道,primary,False,395.46799999999996,3,"LINESTRING (114.6422671 33.6341403, 114.6391126 33.6342303, 114.6380083 33.6341003)",
429612114,False,,,tertiary,False,9.349,,"LINESTRING (114.6388269 33.627319, 114.6387264 33.6273271)",
"[584381737, 429612133, 429612159]",True,S213,中州路,primary,False,251.703,3,"LINESTRING (114.6388269 33.627319, 114.6388292 33.627642, 114.6389822 33.6294629, 114.6389958 33.6295776)",yes
401058882,True,,文昌大道,primary,False,7.822,3,"LINESTRING (114.6379497 33.6339876, 114.6380326 33.6340012)",
429612136,True,S213,中州路,primary,False,243.438,,"LINESTRING (114.6379497 33.6339876, 114.6384323 33.6318355)",
429612114,False,,,tertiary,True,72.018,,"LINESTRING (114.6379556 33.627414, 114.6387264 33.6273271)",
429612136,True,S213,中州路,primary,False,11.644,,"LINESTRING (114.6379291 33.6340909, 114.6379497 33.6339876)",
"[429612136, 584381736, 248558176]",True,S213,中州路,primary,False,505.859,3,"LINESTRING (114.6384323 33.6318355, 114.6388755 33.6298594, 114.6389089 33.6295926, 114.6388946 33.6294688, 114.6387415 33.6276565, 114.6387264 33.6273271)",yes
