osmid,highway,oneway,reversed,length,geometry,bridge,tunnel
202465629,primary,False,True,135.112,"LINESTRING (128.1778279 41.4019338, 128.1779891 41.4018193, 128.1790383 41.4011264)",,
"[202463425, 216609950, 216609951]",primary,False,True,497.58099999999996,"LINESTRING (128.1778279 41.4019338, 128.1780224 41.4020759, 128.1795641 41.40345, 128.1812979 41.4050155, 128.1815502 41.4052361, 128.1816799 41.4053495)",yes,
475617370,primary,False,False,335.89,"LINESTRING (128.1778279 41.4019338, 128.1774876 41.4021336, 128.1756763 41.403379, 128.1755405 41.4033859, 128.1754198 41.4033437, 128.1746831 41.4029985)",,
478217129,secondary,False,True,137.078,"LINESTRING (128.1778279 41.4019338, 128.1777488 41.401872, 128.1766842 41.4010485)",,
202465629,primary,False,False,292.883,"LINESTRING (128.1823784 41.3989435, 128.1797531 41.4006927)",,
202465629,primary,False,False,76.682,"LINESTRING (128.1797531 41.4006927, 128.1790383 41.4011264)",,
202465629,primary,False,True,292.883,"LINESTRING (128.1797531 41.4006927, 128.1823784 41.3989435)",,
216681524,secondary,False,True,231.505,"LINESTRING (128.1797531 41.4006927, 128.178239 41.3993805, 128.1778903 41.3991532)",,
202463425,primary,False,False,129.306,"LINESTRING (128.1826894 41.4062321, 128.1816799 41.4053495)",,
208699806,secondary,False,True,285.117,"LINESTRING (128.1735603 41.4040018, 128.1758096 41.4059327)",,
425970077,secondary,False,False,145.656,"LINESTRING (128.1735603 41.4040018, 128.1746831 41.4029985)",,
208699806,secondary,False,False,285.117,"LINESTRING (128.1758096 41.4059327, 128.1735603 41.4040018)",,
"[199252419, 216609949, 208699806]",secondary,False,True,460.41600000000005,"LINESTRING (128.1758096 41.4059327, 128.1766284 41.4067025, 128.1767902 41.4068558, 128.1769718 41.4069598, 128.177218 41.407041, 128.1774156 41.4070836, 128.177573 41.4070973, 128.1777973 41.4070882, 128.1780388 41.4070731, 128.1782739 41.4070338, 128.1784116 41.4070098, 128.1785291 41.4070055, 128.1787674 41.4070116, 128.1794487 41.4070343, 128.1798885 41.4071117, 128.180612 41.4072495)",yes,
216681531,secondary,False,False,179.947,"LINESTRING (128.1778903 41.4007715, 128.1778903 41.3991532)",,
216681528,secondary,False,True,104.87299999999999,"LINESTRING (128.1778903 41.4007715, 128.1782807 41.4008236, 128.1786317 41.4009369, 128.1790383 41.4011264)",,
478217130,secondary,False,True,105.27000000000001,"LINESTRING (128.1778903 41.4007715, 128.1775223 41.4008482, 128.1769746 41.4009673, 128.1766842 41.4010485)",,
202465629,primary,False,True,76.682,"LINESTRING (128.1790383 41.4011264, 128.1797531 41.4006927)",,
202465629,primary,False,False,135.112,"LINESTRING (128.1790383 41.4011264, 128.1779891 41.4018193, 128.1778279 41.4019338)",,
216681528,secondary,False,False,104.873,"LINESTRING (128.1790383 41.4011264, 128.1786317 41.4009369, 128.1782807 41.4008236, 128.1778903 41.4007715)",,
"[216989617, 216989634, 216989628]",tertiary,False,False,434.61499999999995,"LINESTRING (128.1790383 41.4011264, 128.1793599 41.4012929, 128.1815512 41.4023854, 128.1816639 41.4024518, 128.1817524 41.4024458, 128.1819053 41.4023009, 128.1822164 41.4010394)",yes,
216681531,secondary,False,True,179.947,"LINESTRING (128.1778903 41.3991532, 128.1778903 41.4007715)",,
216681524,secondary,False,False,231.505,"LINESTRING (128.1778903 41.3991532, 128.178239 41.3993805, 128.1797531 41.4006927)",,
216681535,secondary,False,True,125.483,"LINESTRING (128.1778903 41.3991532, 128.1770695 41.3989681, 128.1765114 41.3987221)",,
216818281,secondary,False,True,303.479,"LINESTRING (128.1719764 41.3988182, 128.1722289 41.3989301, 128.1733297 41.3994115, 128.1748625 41.4000836, 128.1750073 41.4002768)",,
216818281,secondary,False,False,85.248,"LINESTRING (128.1749382 41.4010417, 128.1750073 41.4002768)",,
"[216818281, 425970076, 425970077]",secondary,False,True,220.97299999999998,"LINESTRING (128.1749382 41.4010417, 128.1749134 41.4025221, 128.1748703 41.4026112, 128.1748114 41.4027331, 128.1746831 41.4029985)",,building_passage
425970077,secondary,False,True,145.656,"LINESTRING (128.1746831 41.4029985, 128.1735603 41.4040018)",,
"[216818281, 425970076, 425970077]",secondary,False,False,220.973,"LINESTRING (128.1746831 41.4029985, 128.1748114 41.4027331, 128.1748703 41.4026112, 128.1749134 41.4025221, 128.1749382 41.4010417)",,building_passage
475617370,primary,False,True,335.89,"LINESTRING (128.1746831 41.4029985, 128.1754198 41.4033437, 128.1755405 41.4033859, 128.1756763 41.403379, 128.1774876 41.4021336, 128.1778279 41.4019338)",,
216818281,secondary,False,True,85.248,"LINESTRING (128.1750073 41.4002768, 128.1749382 41.4010417)",,
1017290876,residential,False,False,43.986,"LINESTRING (128.1750073 41.4002768, 128.1755232 41.4003588)",,
216818281,secondary,False,False,303.479,"LINESTRING (128.1750073 41.4002768, 128.1748625 41.4000836, 128.1733297 41.3994115, 128.1722289 41.3989301, 128.1719764 41.3988182)",,
216989617,tertiary,False,True,18.742,"LINESTRING (128.1835977 41.4006149, 128.1833859 41.4005586)",,
216989617,tertiary,False,False,138.834,"LINESTRING (128.1835977 41.4006149, 128.1836112 41.40114, 128.1834824 41.4016886, 128.1836943 41.4017376)",,
216989617,tertiary,False,True,138.834,"LINESTRING (128.1836943 41.4017376, 128.1834824 41.4016886, 128.1836112 41.40114, 128.1835977 41.4006149)",,
216989617,tertiary,False,False,113.125,"LINESTRING (128.1822164 41.4010394, 128.1828709 41.4006672, 128.1833859 41.4005586)",,
"[216989617, 216989634, 216989628]",tertiary,False,True,434.615,"LINESTRING (128.1822164 41.4010394, 128.1819053 41.4023009, 128.1817524 41.4024458, 128.1816639 41.4024518, 128.1815512 41.4023854, 128.1793599 41.4012929, 128.1790383 41.4011264)",yes,
216989617,tertiary,False,False,18.742,"LINESTRING (128.1833859 41.4005586, 128.1835977 41.4006149)",,
216989617,tertiary,False,True,113.125,"LINESTRING (128.1833859 41.4005586, 128.1828709 41.4006672, 128.1822164 41.4010394)",,
216681535,secondary,False,False,125.483,"LINESTRING (128.1765114 41.3987221, 128.1770695 41.3989681, 128.1778903 41.3991532)",,
229855467,residential,False,False,176.131,"LINESTRING (128.1765114 41.3987221, 128.1761015 41.3986394, 128.1758801 41.3986848, 128.175518 41.3988055, 128.1753517 41.3989021, 128.1753115 41.3990007, 128.1751666 41.3990993, 128.1749923 41.3991898, 128.1747418 41.3993216)",,
229855472,residential,False,False,95.13399999999999,"LINESTRING (128.1761805 41.3999785, 128.1761041 41.400229, 128.1760702 41.4004645, 128.1762703 41.4007936)",,
229855472,residential,False,True,143.686,"LINESTRING (128.1761805 41.3999785, 128.1760276 41.3998015, 128.1756816 41.3997089, 128.1751049 41.3994976, 128.1747418 41.3993216)",,
