osmid,highway,oneway,reversed,length,name,maxspeed,lanes,geometry,ref
233590872,tertiary,False,True,75.598,,,,"LINESTRING (73.9846447 31.7077705, 73.9838561 31.7078806)",
233590879,tertiary,False,True,53.134,,,,"LINESTRING (73.9846447 31.7077705, 73.9847598 31.7082382)",
454977032,unclassified,False,True,76.847,,,,"LINESTRING (73.9846447 31.7077705, 73.9854476 31.7076654)",
454977035,residential,False,False,114.78,,,,"LINESTRING (73.9846447 31.7077705, 73.984451 31.7067515)",
800535652,primary,False,False,11.354,شرقپور روڈ,60,,"LINESTRING (73.98862 31.7089684, 73.9887381 31.7089502)",
233590878,secondary,False,False,122.15299999999999,,60,2,"LINESTRING (73.98862 31.7089684, 73.9886063 31.7089377, 73.9885913 31.708913, 73.988553 31.7088662, 73.9878699 31.708076)",
953606755,primary,False,True,101.343,,60,2,"LINESTRING (73.98862 31.7089684, 73.9886241 31.7089967, 73.9886255 31.7090191, 73.9886208 31.709059, 73.9886074 31.7091092, 73.9883364 31.7098427)",
233590878,secondary,False,False,51.832,,60,2,"LINESTRING (73.9853541 31.7055799, 73.9850098 31.7052173)",
233590878,secondary,False,True,32.412,,60,2,"LINESTRING (73.9853541 31.7055799, 73.9855771 31.7058012)",
932511672,residential,False,False,110.224,,,,"LINESTRING (73.9853541 31.7055799, 73.9852515 31.7056126, 73.9852109 31.7056227, 73.9842113 31.7057639)",
186735718,primary,True,False,217.97,Sheikhupura - Sargodha Road,60,2,"LINESTRING (73.9853999 31.7114039, 73.98314 31.7117867)",N-60
233590879,tertiary,False,False,37.4,,,,"LINESTRING (73.9853999 31.7114039, 73.9853259 31.7110735)",
186735718,primary,True,False,24.189,Sheikhupura - Sargodha Road,60,2,"LINESTRING (73.9878675 31.7111118, 73.9876142 31.7111416)",N-60
953606755,primary,False,False,147.924,,60,2,"LINESTRING (73.9878675 31.7111118, 73.9883364 31.7098427)",
233590879,tertiary,False,False,30.618,,,,"LINESTRING (73.984863 31.7088717, 73.9848157 31.7085993)",
233590885,unclassified,False,False,73.97,,,,"LINESTRING (73.984863 31.7088717, 73.9840933 31.708989)",
233590885,unclassified,False,True,62.043,,,,"LINESTRING (73.984863 31.7088717, 73.9855176 31.708837)",
233590879,tertiary,False,True,197.36700000000002,,,,"LINESTRING (73.984863 31.7088717, 73.9848668 31.7088858, 73.9852238 31.7106199)",
