osmid,highway,oneway,reversed,length,lanes,name,access,geometry,junction
44491112,tertiary,False,False,12.194,,,,"LINESTRING (72.7565433 33.7707752, 72.7564813 33.7706784)",
226363526,primary,True,False,88.758,4,جناح ایونیو,yes,"LINESTRING (72.7565433 33.7707752, 72.7557145 33.7711783)",
44491369,tertiary,False,True,59.033,,,,"LINESTRING (72.7547718 33.7679455, 72.7546853 33.7674195)",
44491112,tertiary,False,False,64.859,,,,"LINESTRING (72.7547718 33.7679455, 72.7549546 33.7679214, 72.7554695 33.7678868)",
44491112,tertiary,False,True,111.559,,,,"LINESTRING (72.7547718 33.7679455, 72.7548151 33.7681154, 72.755293 33.7688437)",
44491115,tertiary,False,False,112.965,,,,"LINESTRING (72.7547718 33.7679455, 72.7546997 33.7679738, 72.7540399 33.7683038, 72.7537148 33.7684547)",
44491172,tertiary,False,False,21.84,,,,"LINESTRING (72.7536384 33.7721773, 72.7535252 33.7720049)",
226363526,primary,True,False,80.111,4,جناح ایونیو,yes,"LINESTRING (72.7536384 33.7721773, 72.7528805 33.7725268)",
44491172,tertiary,False,True,23.144,,,,"LINESTRING (72.7504757 33.7674004, 72.7505974 33.7675823)",
237686572,secondary,False,False,70.902,1,Fatima Jinnah Avenue,yes,"LINESTRING (72.7504757 33.7674004, 72.7511506 33.7670974)",
237686572,secondary,False,True,75.974,1,Fatima Jinnah Avenue,yes,"LINESTRING (72.7504757 33.7674004, 72.7497612 33.7677381)",
700183226,living_street,False,False,10.415,,,,"LINESTRING (72.7504757 33.7674004, 72.7504219 33.7673181)",
226356711,residential,False,False,121.524,,,,"LINESTRING (72.7526936 33.7663426, 72.752766 33.7664496, 72.7529176 33.7666687, 72.7530783 33.7668669, 72.7533023 33.767063, 72.7535181 33.7671681)",
237686572,secondary,False,True,105.06400000000001,1,Fatima Jinnah Avenue,yes,"LINESTRING (72.7526936 33.7663426, 72.7526313 33.7663725, 72.7518094 33.766767, 72.7517074 33.7668122)",
237686572,secondary,False,False,73.249,1,Fatima Jinnah Avenue,yes,"LINESTRING (72.7471676 33.768949, 72.7478577 33.7686252)",
682926163,secondary,False,True,21.703,1,Fatima Jinnah Avenue,yes,"LINESTRING (72.7471676 33.768949, 72.7472821 33.7691194)",
700183227,tertiary,False,False,27.531,,,,"LINESTRING (72.7471676 33.768949, 72.7470218 33.7687331)",
262781350,secondary,False,True,41.632,1,Fatima Jinnah Avenue,yes,"LINESTRING (72.7483591 33.7709628, 72.7479665 33.7711463)",
259066053,secondary,True,False,19.45,,,,"LINESTRING (72.7483591 33.7709628, 72.7484085 33.7710042, 72.7484757 33.7710207, 72.7485443 33.7710083)",roundabout
44491391,tertiary,True,False,26.259,,,,"LINESTRING (72.750126 33.7733393, 72.7500805 33.7735724)",
262781369,tertiary,False,False,5.709,,,,"LINESTRING (72.750126 33.7733393, 72.7500932 33.7732958)",
682926163,secondary,False,False,23.014,1,Fatima Jinnah Avenue,yes,"LINESTRING (72.7484122 33.7708009, 72.7482908 33.7706202)",
259066053,secondary,True,False,20.704,,,,"LINESTRING (72.7484122 33.7708009, 72.748377 33.7708239, 72.7483523 33.770855, 72.7483405 33.7708909, 72.7483428 33.7709281, 72.7483591 33.7709628)",roundabout
44491388,tertiary,True,False,34.993,,,,"LINESTRING (72.7504946 33.7734111, 72.750126 33.7733393)",
44491390,residential,False,True,42.269,,,,"LINESTRING (72.7504946 33.7734111, 72.7500805 33.7735724)",
44491390,residential,False,False,154.156,,,,"LINESTRING (72.7504946 33.7734111, 72.7505813 33.7733895, 72.7512182 33.7730927, 72.7516057 33.7729047, 72.7519345 33.7727176)",
44491172,tertiary,False,False,98.153,,,,"LINESTRING (72.7535252 33.7720049, 72.7530171 33.7712298)",
44491172,tertiary,False,True,21.84,,,,"LINESTRING (72.7535252 33.7720049, 72.7536384 33.7721773)",
44491390,residential,False,True,62.232,,,,"LINESTRING (72.7535252 33.7720049, 72.7529325 33.7722704)",
44491390,residential,False,False,206.615,,,,"LINESTRING (72.7535252 33.7720049, 72.7540463 33.771753, 72.7554633 33.7710791)",
44552326,tertiary,False,True,106.534,,,,"LINESTRING (72.7564737 33.7724082, 72.7559172 33.7715692)",
700183244,residential,False,False,212.846,,,,"LINESTRING (72.7564737 33.7724082, 72.754468 33.7733486)",
44552326,tertiary,False,False,99.049,,,,"LINESTRING (72.7564737 33.7724082, 72.7565798 33.7725547, 72.756704 33.7726529, 72.7572249 33.7730347)",
700183236,residential,False,True,228.34199999999998,,,,"LINESTRING (72.7564737 33.7724082, 72.7564377 33.7724499, 72.7563014 33.7725679, 72.7548981 33.7739891)",
44552326,tertiary,False,False,106.534,,,,"LINESTRING (72.7559172 33.7715692, 72.7564737 33.7724082)",
234782792,residential,False,True,358.598,,,,"LINESTRING (72.7559172 33.7715692, 72.7554559 33.7718079, 72.7547402 33.7721283, 72.7540445 33.7724638, 72.7525566 33.7731795)",
262781365,primary_link,True,False,58.559,,,,"LINESTRING (72.7559172 33.7715692, 72.7559092 33.7713954, 72.7559521 33.7712727, 72.7560952 33.7710818)",
700183245,tertiary,True,False,39.144999999999996,,,,"LINESTRING (72.7559172 33.7715692, 72.755861 33.7714198, 72.755754 33.7712457)",
44552326,tertiary,False,True,99.04899999999999,,,,"LINESTRING (72.7572249 33.7730347, 72.756704 33.7726529, 72.7565798 33.7725547, 72.7564737 33.7724082)",
44552327,tertiary,False,True,59.943,,,,"LINESTRING (72.7539321 33.7749675, 72.7544498 33.7752922)",
