osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,bridge
663611871,False,2,N-35,شاہراہ قراقرم,trunk,False,5.853,"LINESTRING (73.0260791 34.6773933, 73.0261431 34.6773926)",
459811000,False,,,,unclassified,False,347.162,"LINESTRING (73.0260791 34.6773933, 73.0261954 34.6775469, 73.0263371 34.6778155, 73.0264172 34.6779726, 73.0265281 34.6779726, 73.026676 34.6779219, 73.0267684 34.6779118, 73.0268547 34.678079, 73.0269779 34.6783527, 73.0270519 34.6785908, 73.0271012 34.6787327, 73.0271628 34.6789354, 73.0272429 34.6792952, 73.0272491 34.6795486, 73.0272121 34.6797614, 73.0271875 34.6798881, 73.0270983 34.6800075)",
246257418,False,,,,tertiary,True,19.326,"LINESTRING (73.0272528 34.6801261, 73.0270983 34.6800075)",
459811001,False,,,,unclassified,False,961.1,"LINESTRING (73.0272528 34.6801261, 73.0273477 34.6801719, 73.0274771 34.6803188, 73.0275232 34.6803679, 73.0275928 34.680392, 73.0276976 34.6803543, 73.0277591 34.6802725, 73.0278504 34.6801738, 73.0279639 34.6801009, 73.0281106 34.6800502, 73.0283131 34.6800251, 73.0285075 34.6800524, 73.0287033 34.6800745, 73.0290655 34.6800692, 73.0291674 34.6800701, 73.0292301 34.6800969, 73.0293375 34.6801599, 73.0294471 34.6802371, 73.0296062 34.6803457, 73.0298803 34.6805316, 73.0300343 34.6807343, 73.0301391 34.6810941, 73.0304041 34.6812867, 73.0305335 34.6812411, 73.0305951 34.6810738, 73.0307492 34.6804506, 73.0309032 34.6802732, 73.0309279 34.679954, 73.0309587 34.6799033, 73.0311682 34.6799489, 73.0312606 34.6798881, 73.0313284 34.679807, 73.0312928 34.6793985, 73.0313507 34.678729, 73.0315304 34.6782989, 73.0321366 34.6776041, 73.0325496 34.6769578, 73.0327011 34.6768817)",
663611871,False,2,N-35,شاہراہ قراقرم,trunk,True,5.853,"LINESTRING (73.0261431 34.6773926, 73.0260791 34.6773933)",
459810605,False,,,,residential,False,652.0480000000001,"LINESTRING (73.0261431 34.6773926, 73.0263001 34.6774354, 73.026411 34.6774608, 73.0266822 34.6775773, 73.0268855 34.6776381, 73.0272368 34.6777243, 73.027742 34.6777547, 73.0281549 34.6777344, 73.0285678 34.6776483, 73.0289005 34.677704, 73.0291162 34.6777395, 73.0292394 34.6778358, 73.0293688 34.6780182, 73.0294181 34.6780689, 73.0294736 34.6780182, 73.0295599 34.6778713, 73.0302439 34.6775875, 73.0312729 34.6771618, 73.0321048 34.6769794, 73.0323615 34.676829, 73.0325254 34.67678)",
"[663611863, 62117891, 663611871]",False,2,N-35,شاہراہ قراقرم,trunk,False,119.894,"LINESTRING (73.0261431 34.6773926, 73.0262096 34.6773718, 73.0267795 34.6769383, 73.0272342 34.6768637)",yes
62117891,False,2,N-35,شاہراہ قراقرم,trunk,False,245.926,"LINESTRING (73.0272342 34.6768637, 73.0277077 34.6767939, 73.0279508 34.6767051, 73.0286212 34.6761392, 73.0291218 34.6757667, 73.0293314 34.6755828)",
"[663611871, 62117891, 663611863]",False,2,N-35,شاہراہ قراقرم,trunk,True,119.894,"LINESTRING (73.0272342 34.6768637, 73.0267795 34.6769383, 73.0262096 34.6773718, 73.0261431 34.6773926)",yes
459807953,False,,,,unclassified,False,129.372,"LINESTRING (73.0272342 34.6768637, 73.0269451 34.6767618, 73.0267256 34.6766121, 73.0264921 34.6764853, 73.0263006 34.676397, 73.0261418 34.6763202, 73.0261045 34.6762165)",
