osmid,oneway,highway,reversed,length,geometry,name,maxspeed,junction,bridge
696256049,True,secondary,False,103.399,"LINESTRING (74.2090957 31.2398805, 74.209291 31.2399328, 74.2099468 31.2400337, 74.2101607 31.2400628)",,,,
232451938,False,primary,False,209.171,"LINESTRING (74.2157125 31.2424369, 74.2155987 31.2424863, 74.2147092 31.2433682, 74.2144497 31.2436678, 74.214297 31.2438628)",Kasur Raiwind Road,,,
696256048,False,secondary,True,109.55600000000001,"LINESTRING (74.2157125 31.2424369, 74.215576 31.2419377, 74.2153962 31.2414908)",Pattoki-Raiwind Road,80,,
696256048,False,secondary,True,4.086,"LINESTRING (74.2113541 31.2401802, 74.211312 31.2401728)",Pattoki-Raiwind Road,80,,
696256048,False,secondary,False,164.208,"LINESTRING (74.2113541 31.2401802, 74.2122822 31.2402957, 74.2130622 31.2403991)",Pattoki-Raiwind Road,80,,
1040993339,False,tertiary,False,22.63,"LINESTRING (74.2113541 31.2401802, 74.2112303 31.2400933, 74.2111771 31.2400447)",,60,,
"[450245313, 1040993339]",False,tertiary,"[False, True]",469.337,"LINESTRING (74.2113541 31.2401802, 74.2134771 31.2419311, 74.2153962 31.2414908)",,60,,
"[450245313, 1040993339]",False,tertiary,"[False, True]",469.337,"LINESTRING (74.2153962 31.2414908, 74.2134771 31.2419311, 74.2113541 31.2401802)",,60,,
696256048,False,secondary,False,109.55600000000001,"LINESTRING (74.2153962 31.2414908, 74.215576 31.2419377, 74.2157125 31.2424369)",Pattoki-Raiwind Road,80,,
696256048,False,secondary,True,61.724000000000004,"LINESTRING (74.2153962 31.2414908, 74.2152327 31.2410846, 74.2151446 31.2409842)",Pattoki-Raiwind Road,80,,
647838668,True,secondary,False,28.884,"LINESTRING (74.2136542 31.2449764, 74.2137796 31.2447398)",Sundar-Raiwind Road,80,,
973083039,False,secondary,False,6.51,"LINESTRING (74.2136542 31.2449764, 74.2136251 31.2450294)",سندر روڈ,80,,
594757949,False,primary,False,8.606,"LINESTRING (74.2135779 31.2447239, 74.2135093 31.2447744)",مانگہ رائے ونڈ روڈ,60,,
594757951,True,primary,False,19.831000000000003,"LINESTRING (74.2135779 31.2447239, 74.2136079 31.2447351, 74.2136425 31.2447436, 74.2136775 31.2447495, 74.2137019 31.2447513, 74.2137259 31.2447507, 74.2137447 31.2447498, 74.2137635 31.2447454, 74.2137796 31.2447398)",,,roundabout,
594757951,True,primary,False,1.062,"LINESTRING (74.2137796 31.2447398, 74.2137881 31.2447336)",,,roundabout,
594757951,True,primary,False,3.291,"LINESTRING (74.2141734 31.2441763, 74.2141774 31.2441469)",,,roundabout,
647838667,True,primary_link,False,44.936,"LINESTRING (74.2141734 31.2441763, 74.2143543 31.2441331, 74.2144625 31.2441128, 74.2146296 31.2440711)",,,,
594757951,True,primary,False,31.814,"LINESTRING (74.213784 31.2441205, 74.2137536 31.2441523, 74.213727 31.2441822, 74.213616 31.2443667)",,,roundabout,
594757952,True,secondary,False,30.610999999999997,"LINESTRING (74.213784 31.2441205, 74.2136496 31.2441455, 74.2136067 31.2441518, 74.2135625 31.2441523, 74.2134659 31.2441482)",,,,
594757953,False,secondary,False,45.115,"LINESTRING (74.2134659 31.2441482, 74.2130864 31.2439046)",,,,
647838666,True,secondary,False,28.177,"LINESTRING (74.2134659 31.2441482, 74.2135279 31.2442378, 74.2135741 31.2443054, 74.213616 31.2443667)",,,,
594757951,True,primary,False,43.281,"LINESTRING (74.213616 31.2443667, 74.2135757 31.2444411, 74.213543 31.2445084, 74.2135223 31.2445717, 74.213518 31.2445991, 74.2135182 31.2446259, 74.213522 31.2446483, 74.213529 31.2446688, 74.2135366 31.2446835, 74.2135465 31.2446961, 74.2135566 31.2447077, 74.2135682 31.2447181, 74.2135779 31.2447239)",,,roundabout,
594757955,False,secondary,True,8.823,"LINESTRING (74.2106179 31.2400424, 74.2106036 31.2401208)",,,,
