osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,name,bridge
156307706,2,residential,50,False,False,30.573999999999998,"LINESTRING (67.0126425 24.9462163, 67.012734 24.946404, 67.0127943 24.9464473)",,
239915026,,residential,,False,False,117.70599999999999,"LINESTRING (67.0126425 24.9462163, 67.01312 24.9459588, 67.0135864 24.9456917, 67.0136324 24.9456564)",,
239915026,,residential,,False,True,55.894999999999996,"LINESTRING (67.0126425 24.9462163, 67.0124296 24.9463174, 67.0121516 24.9464499)",,
156307734,,tertiary,,False,False,12.359,"LINESTRING (67.0111267 24.9469207, 67.0110638 24.9468253)",,
239915026,,residential,,False,False,13.893,"LINESTRING (67.0111267 24.9469207, 67.0112496 24.9468642)",,
156307734,,tertiary,,False,True,12.359,"LINESTRING (67.0110638 24.9468253, 67.0111267 24.9469207)",,
156307748,,secondary,,True,False,37.735,"LINESTRING (67.0110638 24.9468253, 67.0107444 24.9470022)",Shahrah e Qaddafi,
236577140,,secondary,,False,True,51.8,"LINESTRING (67.0110638 24.9468253, 67.0108257 24.9464125)",Banaras Bazar Chowk Road,
681779489,,secondary,,True,False,97.204,"LINESTRING (67.0082443 24.9485149, 67.0090666 24.9480585)",Shahrah e Qaddafi,
689021774,,residential,,False,True,34.396,"LINESTRING (67.0082443 24.9485149, 67.0084005 24.9487899)",,
236592721,2,residential,40,False,True,26.8,"LINESTRING (67.0168107 24.9437384, 67.0166077 24.943894)",,
690588513,,secondary,,False,False,26.275,"LINESTRING (67.0168107 24.9437384, 67.0170706 24.9437558)",علی گڑھ روڈ,
690588513,,secondary,,False,True,88.42200000000001,"LINESTRING (67.0168107 24.9437384, 67.016561 24.9435443, 67.016223 24.9432281, 67.0161939 24.943178)",علی گڑھ روڈ,
690588513,,secondary,,False,False,18.065,"LINESTRING (67.0170706 24.9437558, 67.0172239 24.9436717)",علی گڑھ روڈ,
690588513,,secondary,,False,True,26.275,"LINESTRING (67.0170706 24.9437558, 67.0168107 24.9437384)",علی گڑھ روڈ,
690588513,,secondary,,False,False,44.489,"LINESTRING (67.0148688 24.941856, 67.0152417 24.9420699)",علی گڑھ روڈ,
