osmid,highway,oneway,reversed,length,maxspeed,name,geometry
639168748,residential,False,False,144.502,,,"LINESTRING (72.957353 31.0613826, 72.9585996 31.0621232)"
703236871,primary,True,False,46.847,80,,"LINESTRING (72.957353 31.0613826, 72.957813 31.0612335)"
439861472,residential,False,False,48.619,,New,"LINESTRING (72.961406 31.0614091, 72.9611085 31.0617644)"
439861472,residential,False,True,79.087,,New,"LINESTRING (72.961406 31.0614091, 72.9618806 31.0608255)"
439862115,residential,False,False,29.597,,,"LINESTRING (72.961406 31.0614091, 72.9611494 31.061259)"
439862115,residential,False,True,28.924,,,"LINESTRING (72.961406 31.0614091, 72.9616466 31.0615678)"
439862113,tertiary,False,False,117.713,,,"LINESTRING (72.957813 31.0612335, 72.958828 31.0618374)"
439866847,residential,False,False,8.626,,,"LINESTRING (72.957813 31.0612335, 72.9577394 31.0611883)"
439861472,residential,False,True,157.098,,New,"LINESTRING (72.958368 31.06519, 72.9593004 31.0640246)"
439862114,residential,False,False,150.025,,,"LINESTRING (72.958368 31.06519, 72.9596489 31.0659752)"
439862972,residential,False,False,85.599,,,"LINESTRING (72.958368 31.06519, 72.957607 31.0647805)"
439861472,residential,False,False,86.495,,New,"LINESTRING (72.958368 31.06519, 72.9579903 31.0656621, 72.9578532 31.0658308)"
439862116,residential,False,True,52.714,,,"LINESTRING (72.9580555 31.062804, 72.9583681 31.0624128)"
639168571,residential,False,False,87.115,,,"LINESTRING (72.9580555 31.062804, 72.9588116 31.0632448)"
639168573,residential,False,True,44.036,,,"LINESTRING (72.9580555 31.062804, 72.957824 31.0631468)"
639168579,residential,False,True,21.412,,,"LINESTRING (72.9580555 31.062804, 72.9578676 31.0626983)"
439861472,residential,False,False,45.484,,New,"LINESTRING (72.9595697 31.0636868, 72.9593004 31.0640246)"
439861472,residential,False,True,50.757,,New,"LINESTRING (72.9595697 31.0636868, 72.959871 31.0633103)"
639168571,residential,False,False,29.302,,,"LINESTRING (72.9595697 31.0636868, 72.9598184 31.0638419)"
639168571,residential,False,True,29.623,,,"LINESTRING (72.9595697 31.0636868, 72.9593126 31.0635369)"
