osmid,name,highway,oneway,reversed,length,maxspeed,geometry,ref,junction
183253766,Jampur Road,primary,False,False,45.986,,"LINESTRING (70.6406002 30.0310301, 70.6406227 30.0314432)",,
183253766,Jampur Road,primary,False,True,40.456,,"LINESTRING (70.6406002 30.0310301, 70.6406115 30.0306664)",,
998425565,,residential,False,False,176.228,,"LINESTRING (70.6406002 30.0310301, 70.642423 30.0308839)",,
182385975,,residential,False,True,94.459,,"LINESTRING (70.6389843 30.0291221, 70.6399653 30.0291051)",,
182386175,Manka Canal Road,residential,False,False,90.212,56,"LINESTRING (70.6389843 30.0291221, 70.6387924 30.028328)",,
182386175,Manka Canal Road,residential,False,True,61.357,56,"LINESTRING (70.6389843 30.0291221, 70.6391371 30.0296578)",,
182385975,,residential,False,False,114.16,,"LINESTRING (70.64115 30.02915, 70.6399653 30.0291051)",,
183253766,Jampur Road,primary,False,False,110.59,,"LINESTRING (70.64115 30.02915, 70.6407958 30.0300961)",,
183253766,Jampur Road,primary,False,True,28.489,,"LINESTRING (70.64115 30.02915, 70.6412362 30.0289049)",,
182386175,Manka Canal Road,residential,False,False,64.977,56,"LINESTRING (70.639409 30.030617, 70.6392403 30.0300512)",,
998425567,,residential,False,False,115.893,,"LINESTRING (70.639409 30.030617, 70.6406115 30.0306664)",,
182386175,Manka Canal Road,residential,False,True,216.266,56,"LINESTRING (70.639409 30.030617, 70.6398776 30.0324081, 70.639909 30.0325131)",,
1020649890,Sakhi Sarwar Road,trunk,True,False,25.141,70,"LINESTRING (70.6393636 30.0324002, 70.6394364 30.032494, 70.6395223 30.0325792)",N-70,
680997383,,trunk_link,False,True,67.83500000000001,,"LINESTRING (70.640713 30.0322117, 70.6407874 30.0324277, 70.6408225 30.0325369, 70.640903 30.0327991)",,
680997384,Jampur Road,primary,True,False,28.843,72,"LINESTRING (70.640713 30.0322117, 70.6407081 30.0321494, 70.6406841 30.0320577, 70.640644 30.0319608)",,
680997387,Jampur Road,secondary,True,False,176.02,72,"LINESTRING (70.639675 30.0330314, 70.638938 30.0344801)",,
387622663,Manka Road,secondary,False,True,183.609,56,"LINESTRING (70.640341 30.0340691, 70.64076 30.03568)",,
182386156,,residential,False,False,58.71,56,"LINESTRING (70.640341 30.0340691, 70.64059 30.03405, 70.6406834 30.0343509)",,
387622663,Manka Road,secondary,False,False,137.231,56,"LINESTRING (70.640341 30.0340691, 70.6400683 30.0329416, 70.6400465 30.0328616)",,
182385943,Sakhi Sarwar Road,trunk,True,False,199.51,70,"LINESTRING (70.6420432 30.034222, 70.6436784 30.0353244)",N-70,
182386198,,residential,False,False,69.619,56,"LINESTRING (70.6420432 30.034222, 70.64179 30.03435, 70.64136 30.03435)",,
