osmid,highway,oneway,reversed,length,bridge,geometry,name,lanes,ref
302690184,secondary,False,False,7.737,,"LINESTRING (71.9688848 34.6187617, 71.9688132 34.6187247)",,,
"[938654584, 938654585, 289832427]",tertiary,False,False,54.415,yes,"LINESTRING (71.9688848 34.6187617, 71.9688968 34.6187476, 71.9691751 34.6183958, 71.9692066 34.6183503)",,,
302621440,secondary,False,True,217.812,,"LINESTRING (71.9688848 34.6187617, 71.9693213 34.6190066, 71.9699805 34.6193506, 71.9702487 34.6195308, 71.9706147 34.6198128, 71.9707731 34.6199429)",,,
285894229,tertiary,False,False,9.8,,"LINESTRING (71.9692066 34.6183503, 71.9692965 34.6183982)",کینال روڈ,,
285894229,tertiary,False,True,254.47799999999998,,"LINESTRING (71.9692066 34.6183503, 71.9690637 34.6182754, 71.9678043 34.6176221, 71.9672708 34.6173453, 71.9668499 34.6171355)",کینال روڈ,,
"[938654584, 938654585, 289832427]",tertiary,False,True,54.415,yes,"LINESTRING (71.9692066 34.6183503, 71.9691751 34.6183958, 71.9688968 34.6187476, 71.9688848 34.6187617)",,,
285894229,tertiary,False,True,228.39499999999998,,"LINESTRING (71.9712668 34.6196478, 71.9710924 34.6194966, 71.9706411 34.619162, 71.9701898 34.6188743, 71.9692965 34.6183982)",کینال روڈ,,
"[289832428, 938654582, 938654583]",tertiary,False,False,55.84,yes,"LINESTRING (71.9712668 34.6196478, 71.9711962 34.6196876, 71.9707911 34.6199315, 71.9707731 34.6199429)",,,
302621440,secondary,False,True,8.953,,"LINESTRING (71.9707731 34.6199429, 71.9708288 34.6200091)",,,
302621440,secondary,False,False,217.812,,"LINESTRING (71.9707731 34.6199429, 71.9706147 34.6198128, 71.9702487 34.6195308, 71.9699805 34.6193506, 71.9693213 34.6190066, 71.9688848 34.6187617)",,,
"[289832428, 938654582, 938654583]",tertiary,False,True,55.84,yes,"LINESTRING (71.9707731 34.6199429, 71.9707911 34.6199315, 71.9711962 34.6196876, 71.9712668 34.6196478)",,,
289824176,trunk,False,False,52.972,,"LINESTRING (71.9745415 34.6175945, 71.9746166 34.6178202, 71.9747856 34.6179924, 71.9747992 34.6180102)",National Highway 45,1,N-45
289824176,trunk,False,True,798.727,,"LINESTRING (71.9745415 34.6175945, 71.9743452 34.6172748, 71.9742787 34.617131, 71.9742277 34.6169853, 71.9741902 34.616833, 71.9741682 34.6167243, 71.9741714 34.6164688, 71.9741714 34.6162834, 71.9741781 34.6160415, 71.974107 34.6158529, 71.9740239 34.6157514, 71.9738817 34.6156543, 71.9737932 34.6156234, 71.9735759 34.615566, 71.9733238 34.6155373, 71.9726881 34.6154975, 71.9721624 34.6154865, 71.9713712 34.6154997, 71.9703841 34.6155196, 71.9694427 34.6154644, 71.9687158 34.6154026, 71.9677215 34.6153132)",National Highway 45,1,N-45
467607505,residential,False,False,58.956999999999994,,"LINESTRING (71.9745415 34.6175945, 71.9749239 34.6174737, 71.9749791 34.617286)",,,
467607505,residential,False,False,526.326,,"LINESTRING (71.9749791 34.617286, 71.9749887 34.6168652, 71.9750823 34.616474, 71.9755447 34.6154556, 71.9760546 34.6145674, 71.9762346 34.6139451, 71.9765875 34.6129869, 71.9766121 34.6127846)",,,
467607505,residential,False,True,58.956999999999994,,"LINESTRING (71.9749791 34.617286, 71.9749239 34.6174737, 71.9745415 34.6175945)",,,
699512313,residential,False,False,75.636,,"LINESTRING (71.9749791 34.617286, 71.975145 34.6171796, 71.9753355 34.6170228, 71.9755239 34.6167832)",,,
699512313,residential,False,True,110.275,,"LINESTRING (71.9761857 34.6159545, 71.9758531 34.6163606, 71.9755715 34.6167226, 71.9755239 34.6167832)",,,
289824176,trunk,False,True,52.972,,"LINESTRING (71.9747992 34.6180102, 71.9747856 34.6179924, 71.9746166 34.6178202, 71.9745415 34.6175945)",National Highway 45,1,N-45
289824176,trunk,False,True,73.792,,"LINESTRING (71.9677215 34.6153132, 71.9669199 34.6152412)",National Highway 45,1,N-45
289824176,trunk,False,False,798.7270000000001,,"LINESTRING (71.9677215 34.6153132, 71.9687158 34.6154026, 71.9694427 34.6154644, 71.9703841 34.6155196, 71.9713712 34.6154997, 71.9721624 34.6154865, 71.9726881 34.6154975, 71.9733238 34.6155373, 71.9735759 34.615566, 71.9737932 34.6156234, 71.9738817 34.6156543, 71.9740239 34.6157514, 71.974107 34.6158529, 71.9741781 34.6160415, 71.9741714 34.6162834, 71.9741714 34.6164688, 71.9741682 34.6167243, 71.9741902 34.616833, 71.9742277 34.6169853, 71.9742787 34.617131, 71.9743452 34.6172748, 71.9745415 34.6175945)",National Highway 45,1,N-45
699523102,residential,False,True,223.98600000000002,,"LINESTRING (71.9677215 34.6153132, 71.9676483 34.6159964, 71.9674337 34.6162216, 71.9671869 34.6164909, 71.9669992 34.6167646, 71.9668499 34.6171355)",,,
285894229,tertiary,False,False,254.47799999999998,,"LINESTRING (71.9668499 34.6171355, 71.9672708 34.6173453, 71.9678043 34.6176221, 71.9690637 34.6182754, 71.9692066 34.6183503)",کینال روڈ,,
699523102,residential,False,False,223.98600000000002,,"LINESTRING (71.9668499 34.6171355, 71.9669992 34.6167646, 71.9671869 34.6164909, 71.9674337 34.6162216, 71.9676483 34.6159964, 71.9677215 34.6153132)",,,
289824176,trunk,False,False,73.792,,"LINESTRING (71.9669199 34.6152412, 71.9677215 34.6153132)",National Highway 45,1,N-45
699523105,residential,False,True,259.111,,"LINESTRING (71.9669199 34.6152412, 71.9669992 34.6146146, 71.9669884 34.6143144, 71.9669884 34.6141245, 71.9669455 34.6139612, 71.9668972 34.6137095, 71.9668972 34.6134534, 71.9669241 34.6131753, 71.9669402 34.6130075, 71.9669067 34.6129274)",,,
699512313,residential,False,False,110.275,,"LINESTRING (71.9755239 34.6167832, 71.9755715 34.6167226, 71.9758531 34.6163606, 71.9761857 34.6159545)",,,
699512313,residential,False,True,75.636,,"LINESTRING (71.9755239 34.6167832, 71.9753355 34.6170228, 71.975145 34.6171796, 71.9749791 34.617286)",,,
302690184,secondary,False,True,7.737,,"LINESTRING (71.9688132 34.6187247, 71.9688848 34.6187617)",,,
699523105,residential,False,False,259.111,,"LINESTRING (71.9669067 34.6129274, 71.9669402 34.6130075, 71.9669241 34.6131753, 71.9668972 34.6134534, 71.9668972 34.6137095, 71.9669455 34.6139612, 71.9669884 34.6141245, 71.9669884 34.6143144, 71.9669992 34.6146146, 71.9669199 34.6152412)",,,
982158954,residential,False,False,246.82000000000002,,"LINESTRING (71.9746723 34.6122381, 71.9746622 34.6122813, 71.9745764 34.6128905, 71.9740668 34.6138464, 71.9738254 34.6143254)",,,
982158958,residential,False,True,187.684,,"LINESTRING (71.9746723 34.6122381, 71.9753301 34.6124038, 71.9766121 34.6127846)",,,
467607505,residential,False,True,526.326,,"LINESTRING (71.9766121 34.6127846, 71.9765875 34.6129869, 71.9762346 34.6139451, 71.9760546 34.6145674, 71.9755447 34.6154556, 71.9750823 34.616474, 71.9749887 34.6168652, 71.9749791 34.617286)",,,
982158958,residential,False,False,187.684,,"LINESTRING (71.9766121 34.6127846, 71.9753301 34.6124038, 71.9746723 34.6122381)",,,
982158954,residential,False,True,246.82,,"LINESTRING (71.9738254 34.6143254, 71.9740668 34.6138464, 71.9745764 34.6128905, 71.9746622 34.6122813, 71.9746723 34.6122381)",,,
285894229,tertiary,False,True,9.8,,"LINESTRING (71.9692965 34.6183982, 71.9692066 34.6183503)",کینال روڈ,,
285894229,tertiary,False,False,228.395,,"LINESTRING (71.9692965 34.6183982, 71.9701898 34.6188743, 71.9706411 34.619162, 71.9710924 34.6194966, 71.9712668 34.6196478)",کینال روڈ,,
1244156519,residential,False,True,144.042,,"LINESTRING (71.9692965 34.6183982, 71.9694546 34.6180957, 71.9695875 34.6177424, 71.9698021 34.6171729)",,,
1244156519,residential,False,False,144.042,,"LINESTRING (71.9698021 34.6171729, 71.9695875 34.6177424, 71.9694546 34.6180957, 71.9692965 34.6183982)",,,
302621440,secondary,False,False,8.953,,"LINESTRING (71.9708288 34.6200091, 71.9707731 34.6199429)",,,
