osmid,highway,oneway,reversed,length,geometry,name,maxspeed,junction
182209300,residential,False,False,97.879,"LINESTRING (71.664949 29.3972761, 71.6639387 29.3972842)",,20,
182208661,residential,False,False,47.695,"LINESTRING (71.6678149 29.3972679, 71.667809 29.396839)",,20,
182208661,residential,False,True,71.948,"LINESTRING (71.6678149 29.3972679, 71.6678238 29.3979149)",,20,
182209175,residential,False,False,93.44,"LINESTRING (71.6678149 29.3972679, 71.6668504 29.3972728)",,20,
182209175,residential,False,True,70.149,"LINESTRING (71.6678149 29.3972679, 71.668539 29.397268)",,20,
182208954,secondary,True,False,73.523,"LINESTRING (71.668539 29.397268, 71.668711 29.397912)",,56,
182209175,residential,False,False,70.149,"LINESTRING (71.668539 29.397268, 71.6678149 29.3972679)",,20,
182209300,residential,False,True,105.93,"LINESTRING (71.6613075 29.3973052, 71.6624009 29.3972965)",,20,
182209630,residential,False,False,159.018,"LINESTRING (71.6613075 29.3973052, 71.6613501 29.3987348)",,20,
182209630,residential,False,True,25.755,"LINESTRING (71.6613075 29.3973052, 71.6613044 29.3970736)",,20,
182209273,residential,False,True,40.769,"LINESTRING (71.6624009 29.3972965, 71.6624076 29.3976631)",,20,
182209300,residential,False,False,105.93,"LINESTRING (71.6624009 29.3972965, 71.6613075 29.3973052)",,20,
182209300,residential,False,True,53.459,"LINESTRING (71.6624009 29.3972965, 71.6629527 29.3972921)",,20,
182209169,residential,False,False,94.205,"LINESTRING (71.6639295 29.3976423, 71.6629572 29.3976556)",,20,
182209169,residential,False,True,98.691,"LINESTRING (71.6639295 29.3976423, 71.6649481 29.3976283)",,20,
182209537,residential,False,False,39.829,"LINESTRING (71.6639295 29.3976423, 71.6639387 29.3972842)",,20,
182209537,residential,False,True,38.699,"LINESTRING (71.6639295 29.3976423, 71.6639247 29.3979903)",,20,
182208541,secondary,True,False,39.688,"LINESTRING (71.6649481 29.3976283, 71.6649435 29.3979852)",Model Town Rd,56,
182209169,residential,False,False,98.691,"LINESTRING (71.6649481 29.3976283, 71.6639295 29.3976423)",,20,
182209169,residential,False,True,53.25,"LINESTRING (71.6624076 29.3976631, 71.6629572 29.3976556)",,20,
182209273,residential,False,False,40.769,"LINESTRING (71.6624076 29.3976631, 71.6624009 29.3972965)",,20,
182209273,residential,False,True,37.25,"LINESTRING (71.6624076 29.3976631, 71.6623983 29.397998)",,20,
182209169,residential,False,False,53.25,"LINESTRING (71.6629572 29.3976556, 71.6624076 29.3976631)",,20,
182209169,residential,False,True,94.205,"LINESTRING (71.6629572 29.3976556, 71.6639295 29.3976423)",,20,
182209478,residential,False,False,40.422,"LINESTRING (71.6629572 29.3976556, 71.6629527 29.3972921)",,20,
182209478,residential,False,True,37.764,"LINESTRING (71.6629572 29.3976556, 71.6629527 29.3979952)",,20,
182209160,residential,False,False,94.166,"LINESTRING (71.6639247 29.3979903, 71.6629527 29.3979952)",,20,
182209160,residential,False,True,98.7,"LINESTRING (71.6639247 29.3979903, 71.6649435 29.3979852)",,20,
182209537,residential,False,False,38.699,"LINESTRING (71.6639247 29.3979903, 71.6639295 29.3976423)",,20,
182209537,residential,False,True,38.209,"LINESTRING (71.6639247 29.3979903, 71.6639295 29.3983339)",,20,
182208541,secondary,True,False,37.339,"LINESTRING (71.6649435 29.3979852, 71.6649425 29.398321)",Model Town Rd,56,
182209160,residential,False,False,98.7,"LINESTRING (71.6649435 29.3979852, 71.6639247 29.3979903)",,20,
