osmid,highway,oneway,reversed,length,geometry,lanes,maxspeed,width,junction,name
180317215,tertiary,False,False,47.584,"LINESTRING (71.925126 30.3031542, 71.9250975 30.3028755, 71.9250932 30.3027274)",,,,,
540089523,secondary,True,False,76.334,"LINESTRING (71.925126 30.3031542, 71.9249608 30.3030093, 71.9246789 30.3028725, 71.9244681 30.3027804)",,,,,
450098011,tertiary,False,False,22.592,"LINESTRING (71.9229882 30.3061036, 71.9230612 30.3061351, 71.9231081 30.306159, 71.9231453 30.3061857, 71.9231848 30.3062134)",2,60,,,
540089571,secondary,True,False,55.118,"LINESTRING (71.9229882 30.3061036, 71.9230002 30.3060552, 71.9230067 30.306002, 71.9229932 30.3059075, 71.9229495 30.3057394, 71.9228973 30.3056226)",,,,,
540089524,tertiary,False,False,14.927,"LINESTRING (71.9317071 30.3045977, 71.9317165 30.3044637)",,,,,
540089524,tertiary,False,True,73.36,"LINESTRING (71.9317071 30.3045977, 71.9316798 30.3048059, 71.9316597 30.304895, 71.931641 30.3049529, 71.9316105 30.3050354, 71.931525 30.3052349)",,,,,
180317212,tertiary,False,False,155.052,"LINESTRING (71.9317646 30.2990801, 71.9301496 30.2990867)",,,6.5,,
540089524,tertiary,False,False,47.752,"LINESTRING (71.9317646 30.2990801, 71.9317718 30.2986507)",,,,,
540089524,tertiary,False,True,33.017,"LINESTRING (71.9317646 30.2990801, 71.9317597 30.299377)",,,,,
180317211,residential,False,True,69.067,"LINESTRING (71.9317064 30.3025889, 71.9324258 30.3025838)",2,60,7.5,,
540089524,tertiary,False,False,84.773,"LINESTRING (71.9317064 30.3025889, 71.9317191 30.3018266)",,,,,
540089524,tertiary,False,True,43.46,"LINESTRING (71.9317064 30.3025889, 71.9316999 30.3029797)",,,,,
884860863,tertiary,False,False,187.955,"LINESTRING (71.9317064 30.3025889, 71.9297487 30.302571)",2,60,7.5,,
180317215,tertiary,False,True,47.584,"LINESTRING (71.9250932 30.3027274, 71.9250975 30.3028755, 71.925126 30.3031542)",,,,,
884860863,tertiary,False,False,60.488,"LINESTRING (71.9250932 30.3027274, 71.9248789 30.3027621, 71.9246674 30.3027818, 71.9244681 30.3027804)",2,60,7.5,,
884860863,tertiary,False,True,191.48700000000002,"LINESTRING (71.9250932 30.3027274, 71.9252797 30.3026409, 71.9255479 30.302539, 71.9259342 30.3025205, 71.9266745 30.302539, 71.9270368 30.3025448)",2,60,7.5,,
180317212,tertiary,False,True,214.158,"LINESTRING (71.924642 30.2989978, 71.9268724 30.2990277)",,,6.5,,
180317212,tertiary,False,False,174.041,"LINESTRING (71.924642 30.2989978, 71.9241532 30.2989912, 71.923842 30.2989634, 71.9228831 30.2986866)",,,6.5,,
182512270,tertiary,False,True,130.426,"LINESTRING (71.924642 30.2989978, 71.924636 30.299158, 71.9244858 30.2993803, 71.9243892 30.2996119, 71.924397 30.300121)",,,7.5,,
182512270,tertiary,False,False,106.44200000000001,"LINESTRING (71.9244681 30.3027804, 71.9244214 30.3020666, 71.9244189 30.3018243)",,,7.5,,
"[540089523, 540089535]",secondary,True,False,157.683,"LINESTRING (71.9244681 30.3027804, 71.9242665 30.3027306, 71.9240851 30.3027117, 71.9239038 30.3027067, 71.9230126 30.3026847, 71.9229705 30.3026742, 71.9229289 30.3026511, 71.92289 30.3026245, 71.9228617 30.3026079)",,,,,
884860863,tertiary,False,True,60.488,"LINESTRING (71.9244681 30.3027804, 71.9246674 30.3027818, 71.9248789 30.3027621, 71.9250932 30.3027274)",2,60,7.5,,
182512270,tertiary,False,True,45.536,"LINESTRING (71.9244139 30.3013325, 71.9244181 30.301742)",,,7.5,,
182512270,tertiary,False,False,112.62700000000001,"LINESTRING (71.9244139 30.3013325, 71.9244107 30.3010199, 71.9244 30.3003197)",,,7.5,,
540089523,secondary,True,False,17.833,"LINESTRING (71.9313287 30.3058974, 71.9311568 30.3058366)",,,,,
805803113,tertiary,True,False,41.23,"LINESTRING (71.9313287 30.3058974, 71.9313953 30.3055311)",,,,,
805803112,tertiary,True,False,40.966,"LINESTRING (71.9313953 30.3055311, 71.9311568 30.3058366)",2,60,,,
540089524,tertiary,False,False,35.215,"LINESTRING (71.9313953 30.3055311, 71.9314532 30.3054056, 71.931525 30.3052349)",,,,,
805803113,tertiary,True,False,47.561,"LINESTRING (71.9310186 30.3063533, 71.9311125 30.3062462, 71.9311756 30.3061617, 71.9312306 30.3060807, 71.9312844 30.3059933)",,,,,
540089525,secondary,True,False,196.574,"LINESTRING (71.9253511 30.3040198, 71.9253833 30.3040824, 71.9254235 30.3041217, 71.9254879 30.3041634, 71.925563 30.3041958, 71.9268424 30.3045872, 71.927203 30.3047055)",,,,,
790841692,residential,False,True,108.716,"LINESTRING (71.9253511 30.3040198, 71.9246525 30.3037985, 71.9244915 30.3038773, 71.9242917 30.3038452)",,,,,
540089530,secondary,True,False,13.805,"LINESTRING (71.9228353 30.302717, 71.9228616 30.3026959, 71.922876 30.3026674, 71.922876 30.3026364, 71.9228617 30.3026079)",,,,roundabout,
"[540089525, 540089534]",secondary,True,False,112.30799999999999,"LINESTRING (71.9228353 30.302717, 71.9229162 30.3027548, 71.9229772 30.3027727, 71.9230146 30.3027774, 71.9238013 30.3027897, 71.9239897 30.3028004)",,,,,
540089530,secondary,True,False,6.889,"LINESTRING (71.9227919 30.3025757, 71.9227681 30.302578, 71.9227459 30.3025857, 71.9227269 30.3025982)",,,,roundabout,
540089530,secondary,True,False,7.849,"LINESTRING (71.9228617 30.3026079, 71.9228428 30.302591, 71.9228187 30.3025799, 71.9227919 30.3025757)",,,,roundabout,
540089530,secondary,True,False,11.282,"LINESTRING (71.9227268 30.3027054, 71.9227454 30.3027178, 71.9227672 30.3027255, 71.9227905 30.302728, 71.9228137 30.3027251, 71.9228353 30.302717)",,,,roundabout,
"[540089536, 540089569]",secondary,False,True,64.77,"LINESTRING (71.9227268 30.3027054, 71.9227222 30.3027437, 71.9227202 30.3027876, 71.9227202 30.3028455, 71.9227242 30.3029159, 71.9227479 30.303287)",,60,,,Railway Colony Road
540089530,secondary,True,False,13.161,"LINESTRING (71.9227269 30.3025982, 71.9227109 30.3026174, 71.9227025 30.30264, 71.9227024 30.3026636, 71.9227108 30.3026861, 71.9227268 30.3027054)",,,,roundabout,
180317212,tertiary,False,True,10.379,"LINESTRING (71.9227791 30.2986611, 71.9228831 30.2986866)",,,6.5,,
540089572,secondary,False,True,7.472,"LINESTRING (71.9228297 30.3056559, 71.9228973 30.3056226)",,,,,
540089570,secondary,True,False,63.19500000000001,"LINESTRING (71.9228297 30.3056559, 71.9229009 30.305813, 71.9229105 30.3058723, 71.9229077 30.3059421, 71.9228943 30.3060112, 71.9228805 30.3060567, 71.9228154 30.3061988)",,,,,Railway Colony Road
540089571,secondary,True,False,13.074,"LINESTRING (71.9228973 30.3056226, 71.9228424 30.305515)",,,,,
540089572,secondary,False,False,7.472,"LINESTRING (71.9228973 30.3056226, 71.9228297 30.3056559)",,,,,
"[540089569, 540089572]",secondary,False,"[False, True]",83.213,"LINESTRING (71.9228973 30.3056226, 71.9229091 30.3054979, 71.9229157 30.3053851, 71.9228993 30.3051604, 71.9228771 30.3048759)",,60,,,Railway Colony Road
180317212,tertiary,False,False,10.379,"LINESTRING (71.9228831 30.2986866, 71.9227791 30.2986611)",,,6.5,,
180317212,tertiary,False,True,174.041,"LINESTRING (71.9228831 30.2986866, 71.923842 30.2989634, 71.9241532 30.2989912, 71.924642 30.2989978)",,,6.5,,
540089524,tertiary,False,True,43.17,"LINESTRING (71.9317821 30.2980262, 71.9317757 30.2984144)",,,,,
540536144,residential,False,False,155.986,"LINESTRING (71.9317821 30.2980262, 71.9301574 30.2980177)",,,,,
540536144,residential,False,False,105.184,"LINESTRING (71.9301574 30.2980177, 71.9290631 30.2979719)",,,,,
540536144,residential,False,True,155.986,"LINESTRING (71.9301574 30.2980177, 71.9317821 30.2980262)",,,,,
540536145,residential,False,False,118.87,"LINESTRING (71.9301574 30.2980177, 71.9301496 30.2990867)",,,,,
540536144,residential,False,False,46.689,"LINESTRING (71.9268972 30.2979596, 71.9268875 30.2983794)",,,,,
790841821,residential,False,False,212.966,"LINESTRING (71.9268972 30.2979596, 71.9260096 30.297935, 71.9260204 30.2983333, 71.9268875 30.2983794)",,,,,
540536144,residential,False,True,101.193,"LINESTRING (71.9268972 30.2979596, 71.9279512 30.2979649)",,,,,
180317212,tertiary,False,False,214.158,"LINESTRING (71.9268724 30.2990277, 71.924642 30.2989978)",,,6.5,,
180317212,tertiary,False,True,103.085,"LINESTRING (71.9268724 30.2990277, 71.927946 30.2990421)",,,6.5,,
540536144,residential,False,False,77.85,"LINESTRING (71.9268724 30.2990277, 71.9268656 30.2997278)",,,,,
540536144,residential,False,True,72.102,"LINESTRING (71.9268724 30.2990277, 71.9268875 30.2983794)",,,,,
540536144,residential,False,True,130.926,"LINESTRING (71.9268541 30.3009052, 71.9268656 30.2997278)",,,,,
576480119,residential,False,True,101.746,"LINESTRING (71.9268541 30.3009052, 71.9279131 30.3009408)",,,,,
540536144,residential,False,False,335.854,"LINESTRING (71.9268541 30.3009052, 71.9268369 30.3018143, 71.9246031 30.3017472, 71.9245045 30.3017658, 71.9244189 30.3018243)",,,,,
827658950,residential,False,False,131.133,"LINESTRING (71.9268541 30.3009052, 71.9259393 30.3008962, 71.9259438 30.3005068)",,,,,
182512270,tertiary,False,False,9.152,"LINESTRING (71.9244189 30.3018243, 71.9244181 30.301742)",,,7.5,,
182512270,tertiary,False,True,106.44200000000001,"LINESTRING (71.9244189 30.3018243, 71.9244214 30.3020666, 71.9244681 30.3027804)",,,7.5,,
540536144,residential,False,True,335.854,"LINESTRING (71.9244189 30.3018243, 71.9245045 30.3017658, 71.9246031 30.3017472, 71.9268369 30.3018143, 71.9268541 30.3009052)",,,,,
180317212,tertiary,False,True,155.052,"LINESTRING (71.9301496 30.2990867, 71.9317646 30.2990801)",,,6.5,,
540536145,residential,False,True,118.87,"LINESTRING (71.9301496 30.2990867, 71.9301574 30.2980177)",,,,,
180317212,tertiary,False,False,107.453,"LINESTRING (71.9301496 30.2990867, 71.9296172 30.2990745, 71.9290309 30.2990572)",,,6.5,,
540536145,residential,False,False,214.401,"LINESTRING (71.9301496 30.2990867, 71.9301452 30.2991989, 71.9301076 30.3010145)",,,,,
576480118,residential,False,False,156.118,"LINESTRING (71.9301076 30.3010145, 71.9317312 30.3010932)",,,,,
576480119,residential,False,False,33.185,"LINESTRING (71.9301076 30.3010145, 71.9297622 30.3010029)",,,,,
540536145,residential,False,True,214.401,"LINESTRING (71.9301076 30.3010145, 71.9301452 30.2991989, 71.9301496 30.2990867)",,,,,
540536144,residential,False,False,101.193,"LINESTRING (71.9279512 30.2979649, 71.9268972 30.2979596)",,,,,
540536146,residential,False,False,119.78,"LINESTRING (71.9279512 30.2979649, 71.927946 30.2990421)",,,,,
540536144,residential,False,True,106.757,"LINESTRING (71.9279512 30.2979649, 71.9290231 30.2979702, 71.9290631 30.2979719)",,,,,
180317212,tertiary,False,False,103.085,"LINESTRING (71.927946 30.2990421, 71.9268724 30.2990277)",,,6.5,,
540536146,residential,False,False,211.15,"LINESTRING (71.927946 30.2990421, 71.9279131 30.3009408)",,,,,
540536146,residential,False,True,119.78,"LINESTRING (71.927946 30.2990421, 71.9279512 30.2979649)",,,,,
180317212,tertiary,False,True,104.17099999999999,"LINESTRING (71.927946 30.2990421, 71.9289919 30.2990561, 71.9290309 30.2990572)",,,6.5,,
540536146,residential,False,True,211.15,"LINESTRING (71.9279131 30.3009408, 71.927946 30.2990421)",,,,,
576480119,residential,False,False,101.746,"LINESTRING (71.9279131 30.3009408, 71.9268541 30.3009052)",,,,,
576480119,residential,False,True,102.639,"LINESTRING (71.9279131 30.3009408, 71.9289814 30.3009767)",,,,,
993123574,residential,False,False,87.357,"LINESTRING (71.9279131 30.3009408, 71.9278918 30.3017262)",,,,,
576480122,residential,False,False,27.234,"LINESTRING (71.9323513 30.2984233, 71.9323478 30.2986682)",,,,,
576480162,residential,False,False,15.873,"LINESTRING (71.9323513 30.2984233, 71.9325166 30.2984262)",,,,,
576480162,residential,False,True,55.27,"LINESTRING (71.9323513 30.2984233, 71.9317757 30.2984144)",,,,,
576480140,residential,False,False,83.165,"LINESTRING (71.9326144 30.3018369, 71.9326211 30.301089)",,,,,
576480140,residential,False,True,82.908,"LINESTRING (71.9326144 30.3018369, 71.9326112 30.3025825)",,,,,
576480142,residential,False,True,85.96,"LINESTRING (71.9326144 30.3018369, 71.9317191 30.3018266)",,,,,
576480140,residential,False,True,83.165,"LINESTRING (71.9326211 30.301089, 71.9326144 30.3018369)",,,,,
576480152,residential,False,True,85.435,"LINESTRING (71.9326211 30.301089, 71.9317312 30.3010932)",,,,,
180317211,residential,False,False,17.8,"LINESTRING (71.9326112 30.3025825, 71.9324258 30.3025838)",2,60,7.5,,
576480140,residential,False,False,82.908,"LINESTRING (71.9326112 30.3025825, 71.9326144 30.3018369)",,,,,
540089524,tertiary,False,False,81.559,"LINESTRING (71.9317191 30.3018266, 71.9317312 30.3010932)",,,,,
540089524,tertiary,False,True,84.773,"LINESTRING (71.9317191 30.3018266, 71.9317064 30.3025889)",,,,,
576480142,residential,False,False,85.96,"LINESTRING (71.9317191 30.3018266, 71.9326144 30.3018369)",,,,,
540089524,tertiary,False,True,81.559,"LINESTRING (71.9317312 30.3010932, 71.9317191 30.3018266)",,,,,
576480118,residential,False,True,156.118,"LINESTRING (71.9317312 30.3010932, 71.9301076 30.3010145)",,,,,
576480152,residential,False,False,85.435,"LINESTRING (71.9317312 30.3010932, 71.9326211 30.301089)",,,,,
540089524,tertiary,False,False,122.994,"LINESTRING (71.9317312 30.3010932, 71.9317367 30.3007608, 71.9317496 30.2999872)",,,,,
"[576480156, 576480157]",residential,False,True,78.619,"LINESTRING (71.9327496 30.2996137, 71.932374 30.299624, 71.9323563 30.2996256, 71.9323463 30.2996396, 71.9323306 30.2999901)",,,,,
