osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref,junction,bridge,tunnel
27458611,Xandru,residential,False,False,70.545,"LINESTRING (14.5225211 35.8849696, 14.5224671 35.8847371, 14.5223931 35.8843438)",,,,,,
380527796,Triq it-8 ta' Diċembru,secondary,False,False,76.547,"LINESTRING (14.5225211 35.8849696, 14.522189 35.8849677, 14.5219561 35.8849687, 14.521882 35.8849568, 14.5218001 35.8849348, 14.5217384 35.8849114, 14.5216917 35.8848883)",,,,,,
380527796,Triq it-8 ta' Diċembru,secondary,False,True,46.787,"LINESTRING (14.5225211 35.8849696, 14.5226684 35.8849737, 14.5227499 35.8849785, 14.52304 35.8849857)",,,,,,
27458611,Xandru,residential,False,True,70.545,"LINESTRING (14.5223931 35.8843438, 14.5224671 35.8847371, 14.5225211 35.8849696)",,,,,,
"[22904912, 403020953]","['Misraħ Santa Margerita', 'Konservatorju']","['residential', 'living_street']",False,"[False, True]",68.684,"LINESTRING (14.5223931 35.8843438, 14.5224615 35.8843335, 14.5226173 35.8843105, 14.5226055 35.8841248, 14.5225813 35.8839135, 14.5225771 35.8838788)",,,,,,
27458563,Triq Emanuel Attard Bezzina,residential,False,True,48.549,"LINESTRING (14.5206388 35.8895523, 14.5207031 35.889577, 14.5209134 35.8896582, 14.5211215 35.8897463)",1,30,,,,
345212967,Triq il-Ħabs l-Antik,residential,False,False,67.30099999999999,"LINESTRING (14.5206388 35.8895523, 14.5206053 35.8896444, 14.520555 35.8897535, 14.5204608 35.8899736, 14.5203976 35.890125)",1,30,,,,
"[22904701, 345212967]","['Triq il-Ħabs l-Antik', 'Centenarju tal-Parrocca']",residential,False,True,177.687,"LINESTRING (14.5206388 35.8895523, 14.5206368 35.8895067, 14.5206216 35.8894587, 14.5205692 35.8893422, 14.5205998 35.8892461, 14.5206536 35.8891392, 14.5206791 35.8891184, 14.5208034 35.8888372, 14.5209213 35.8885863, 14.5210111 35.88834, 14.5210008 35.8880293)",1,30,,,,
884730758,Triq San Lawrenz,residential,True,False,40.642,"LINESTRING (14.5211188 35.8873893, 14.5211725 35.8870264)",1,30,,,,
884730757,Triq San Lawrenz,residential,False,False,39.226,"LINESTRING (14.5211188 35.8873893, 14.5211715 35.887494, 14.5211921 35.887567, 14.5211338 35.8877249)",2,30,,,,
