osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,width,junction
203112462,A109,Lugard Road,trunk,False,True,130.544,"LINESTRING (30.2786046 0.6582197, 30.2785778 0.6579944, 30.2785563 0.6578523, 30.2785242 0.6577303, 30.2784891 0.6576153, 30.278378 0.6573896, 30.2783022 0.6572146, 30.2782533 0.6571108)",,,,,
374898494,A109,Fort Portal - Kampala Road,trunk,False,False,191.149,"LINESTRING (30.2786046 0.6582197, 30.2788833 0.6581039, 30.2801792 0.6575299)",2,90,,,
375158278,,Toro Road,secondary,False,True,273.774,"LINESTRING (30.2786046 0.6582197, 30.2785796 0.6583678, 30.2785584 0.6585536, 30.2785476 0.6587273, 30.2785677 0.658905, 30.2785932 0.6590545, 30.2785932 0.6590826, 30.2786301 0.659251, 30.2786516 0.6593495, 30.278671 0.659422, 30.2788554 0.6597961, 30.2789982 0.6600281, 30.2791257 0.6602393, 30.2793122 0.6604842)",2,,,,
203112462,A109,Lugard Road,trunk,False,False,130.54399999999998,"LINESTRING (30.2782533 0.6571108, 30.2783022 0.6572146, 30.278378 0.6573896, 30.2784891 0.6576153, 30.2785242 0.6577303, 30.2785563 0.6578523, 30.2785778 0.6579944, 30.2786046 0.6582197)",,,,,
"[203112464, 203116292, 203112462]",A109,Lugard Road,trunk,False,True,59.601,"LINESTRING (30.2782533 0.6571108, 30.2781617 0.6569202, 30.2780865 0.656775, 30.2780052 0.656636)",2,50,yes,,
374900214,,Kabundaire Road,residential,False,True,84.425,"LINESTRING (30.2782533 0.6571108, 30.2781081 0.6571314, 30.2775015 0.6572173)",,40,,,
170048254,,,tertiary,False,False,52.601,"LINESTRING (30.2753014 0.6529408, 30.2748306 0.6529872)",,,,,
170048254,,,tertiary,False,True,4.836,"LINESTRING (30.2753014 0.6529408, 30.2753448 0.6529379)",,,,,
203161745,,,residential,False,True,137.949,"LINESTRING (30.2753014 0.6529408, 30.2754295 0.6530979, 30.2755192 0.6532078, 30.27556 0.6532566, 30.2756221 0.6533275, 30.2757243 0.6534407, 30.2758258 0.653557, 30.2758542 0.6535877, 30.2759289 0.653671, 30.2760238 0.6537866, 30.276106 0.6538848)",,,,,
374900214,,Kabundaire Road,residential,False,False,101.525,"LINESTRING (30.2741338 0.6585095, 30.2748052 0.6578907)",,40,,,
374900214,,Kabundaire Road,residential,False,True,132.923,"LINESTRING (30.2741338 0.6585095, 30.2740642 0.6586317, 30.2740522 0.6586696, 30.2740507 0.6587069, 30.2740553 0.6587952, 30.274097 0.6590791, 30.2741251 0.6592187, 30.2741902 0.659674)",,40,,,
170048264,,,residential,False,False,137.156,"LINESTRING (30.2749824 0.6518056, 30.275287 0.6522531, 30.2752981 0.652277, 30.2753025 0.6522924, 30.2753075 0.6523199, 30.2753477 0.6525364, 30.2753495 0.6525553, 30.2753501 0.6525855, 30.2753448 0.6529379)",,,,,
374900214,,Kabundaire Road,residential,False,False,59.449,"LINESTRING (30.2748052 0.6578907, 30.2753147 0.6577286)",,40,,,
374900214,,Kabundaire Road,residential,False,True,101.525,"LINESTRING (30.2748052 0.6578907, 30.2741338 0.6585095)",,40,,,
"[170048242, 203132187, 203132188]",,Kaboyo Road,residential,False,False,177.904,"LINESTRING (30.2748052 0.6578907, 30.2745582 0.6570319, 30.274521 0.6569352, 30.2745094 0.6569052, 30.2742773 0.6564163, 30.2742613 0.6563917)",,,yes,,
203132188,,Kaboyo Road,residential,False,False,27.015,"LINESTRING (30.2739522 0.6557008, 30.2741353 0.6555411)",,,,,
