osmid,name,highway,width,oneway,reversed,length,geometry,lanes,maxspeed,access,junction,tunnel
182998066,Hill Lane,tertiary,4,False,True,14.269,"LINESTRING (32.4728537 0.0624255, 32.4727255 0.0624312)",,,,,
182998066,Hill Lane,tertiary,4,False,False,144.6,"LINESTRING (32.4728537 0.0624255, 32.4736584 0.0623315, 32.474146 0.0622806)",,,,,
222987372,,trunk,,True,False,222.85300000000004,"LINESTRING (32.4728537 0.0624255, 32.4728076 0.0622204, 32.4727696 0.0616854, 32.4727817 0.061208, 32.4728144 0.0607442, 32.4728194 0.0605771, 32.4728227 0.0604937, 32.4728272 0.0604294)",2,50,,,
1059707404,,trunk,,True,False,6.135,"LINESTRING (32.4720796 0.0569851, 32.4720283 0.0569648)",2,50,,,
1059707405,Kampala Road,secondary,,False,False,10.795,"LINESTRING (32.4720796 0.0569851, 32.4720437 0.0570753)",2,,,,
52434689,Kampala Road,secondary,,False,False,32.881,"LINESTRING (32.4718173 0.0591423, 32.4718078 0.0593512, 32.4718021 0.0594376)",2,,,,
52434689,Kampala Road,secondary,,False,True,111.49100000000001,"LINESTRING (32.4718173 0.0591423, 32.471825 0.0589636, 32.4718227 0.0587498, 32.4718208 0.0585285, 32.4718579 0.0581416)",2,,,,
883412371,Lugard Avenue,tertiary,,False,True,118.609,"LINESTRING (32.4718173 0.0591423, 32.4720212 0.0591092, 32.4723649 0.0589824, 32.4725501 0.0589243, 32.472731 0.0588675, 32.4727985 0.0588463, 32.472836 0.0588345)",2,,,,
52434689,Kampala Road,secondary,,False,True,18.634,"LINESTRING (32.4717943 0.059605, 32.4718021 0.0594376)",2,,,,
52434689,Kampala Road,secondary,,False,False,92.673,"LINESTRING (32.4717943 0.059605, 32.4717677 0.0603874, 32.4717771 0.0604371)",2,,,,
883412369,Apollo Square,residential,,False,False,112.15800000000002,"LINESTRING (32.4717943 0.059605, 32.4723391 0.059647, 32.4726684 0.0596578, 32.4728011 0.0596621)",2,,,,
222987372,,trunk,,True,False,24.418,"LINESTRING (32.4728689 0.0597596, 32.4728851 0.0595406)",2,50,,,
52808937,Apollo Square,residential,,False,False,18.403,"LINESTRING (32.4728689 0.0597596, 32.4729051 0.059714, 32.472948 0.0596885, 32.4730017 0.0596683)",2,,,,
52434689,Kampala Road,secondary,,False,True,92.673,"LINESTRING (32.4717771 0.0604371, 32.4717677 0.0603874, 32.4717943 0.059605)",2,,,,
53276360,Kampala Road,secondary,,True,False,63.881,"LINESTRING (32.4717771 0.0604371, 32.4717208 0.060514, 32.4717044 0.0609929)",2,,,,
665371157,Hill Lane,tertiary,4,False,True,7.451,"LINESTRING (32.4717301 0.0625654, 32.4716631 0.0625645)",,,,,
53276361,Kampala Road,secondary,,True,False,237.624,"LINESTRING (32.4717301 0.0625654, 32.4718121 0.0605204, 32.4717771 0.0604371)",2,,,,
182998066,Hill Lane,tertiary,4,False,False,111.69999999999999,"LINESTRING (32.4717301 0.0625654, 32.4726683 0.062435, 32.4727255 0.0624312)",,,,,
53276363,Movement Road,residential,,False,False,10.328,"LINESTRING (32.4724459 0.0642214, 32.4725253 0.0641732)",1,,,,
53276360,Kampala Road,secondary,,True,False,184.209,"LINESTRING (32.4724459 0.0642214, 32.4730436 0.0652596, 32.4732752 0.0656555)",2,,,,
53276363,Movement Road,residential,,False,True,10.328,"LINESTRING (32.4725253 0.0641732, 32.4724459 0.0642214)",1,,,,
53276361,Kampala Road,secondary,,True,False,102.84299999999999,"LINESTRING (32.4725253 0.0641732, 32.4722686 0.0637463, 32.4722018 0.0636326, 32.4720599 0.0633741)",2,,,,
