osmid,highway,oneway,reversed,length,geometry,name,ref,bridge,junction,lanes,maxspeed
29639527,residential,False,True,33.105000000000004,"LINESTRING (29.3643446 -3.3677741, 29.36419 -3.3677973, 29.3641108 -3.3678134, 29.3640512 -3.3678267)",,,,,,
224461000,residential,False,False,113.636,"LINESTRING (29.3643446 -3.3677741, 29.3644375 -3.3672666, 29.3645137 -3.3667663)",,,,,,
29639538,residential,False,False,55.18,"LINESTRING (29.3634832 -3.3668656, 29.3639773 -3.3668111)",,,,,,
29639808,residential,False,False,112.888,"LINESTRING (29.3634832 -3.3668656, 29.3635983 -3.3678743)",3e Avenue,,,,,
29639808,residential,False,True,105.431,"LINESTRING (29.3634832 -3.3668656, 29.3634121 -3.3659201)",3e Avenue,,,,,
224460999,residential,False,True,9.634,"LINESTRING (29.3660013 -3.3650587, 29.3659173 -3.3650369)",,,,,,
"[8598248, 29639765, 29639774]",trunk,True,False,368.23900000000003,"LINESTRING (29.3660013 -3.3650587, 29.3661434 -3.3647328, 29.3669008 -3.3631185, 29.367069 -3.3627508, 29.3673943 -3.3620533)",Chaussée du Peuple Murundi,RN3,yes,,,
29639527,residential,False,False,55.585,"LINESTRING (29.3630997 -3.3679206, 29.3635983 -3.3678743)",,,,,,
29639527,residential,False,False,50.551,"LINESTRING (29.3635983 -3.3678743, 29.3640512 -3.3678267)",,,,,,
29639527,residential,False,True,55.585,"LINESTRING (29.3635983 -3.3678743, 29.3630997 -3.3679206)",,,,,,
29639808,residential,False,True,112.888,"LINESTRING (29.3635983 -3.3678743, 29.3634832 -3.3668656)",3e Avenue,,,,,
8598267,trunk,False,True,105.511,"LINESTRING (29.3708968 -3.3595383, 29.3704368 -3.3596521, 29.3699768 -3.3597766)",Boulevard Mwambutsa,RN 1,,,,
29872854,residential,False,False,183.56799999999998,"LINESTRING (29.3708968 -3.3595383, 29.3710953 -3.3603898, 29.3713126 -3.3611355)",,,,,,
29872863,residential,False,True,10.708,"LINESTRING (29.3673943 -3.3620533, 29.3673039 -3.3620197)",,,,,,
8598248,trunk,True,False,145.588,"LINESTRING (29.3673943 -3.3620533, 29.3679351 -3.3609554, 29.367981 -3.3608828)",Chaussée du Peuple Murundi,RN3,,,,
126064156,residential,False,False,164.57600000000002,"LINESTRING (29.3673943 -3.3620533, 29.3675066 -3.3621147, 29.3678714 -3.3623144, 29.368057 -3.3623594, 29.3681943 -3.3623337, 29.3683574 -3.362248, 29.3685726 -3.3621034, 29.3687048 -3.3620063)",,,,,,
126064156,residential,False,False,52.25,"LINESTRING (29.3687048 -3.3620063, 29.3691486 -3.3618497)",,,,,,
128976288,residential,False,False,64.575,"LINESTRING (29.3687048 -3.3620063, 29.368967 -3.3614879)",,,,,,
126064156,residential,False,True,164.576,"LINESTRING (29.3687048 -3.3620063, 29.3685726 -3.3621034, 29.3683574 -3.362248, 29.3681943 -3.3623337, 29.368057 -3.3623594, 29.3678714 -3.3623144, 29.3675066 -3.3621147, 29.3673943 -3.3620533)",,,,,,
29872869,residential,False,False,211.309,"LINESTRING (29.3704663 -3.3624582, 29.37052 -3.3626055, 29.3705917 -3.3627435, 29.3707587 -3.3629215, 29.3709436 -3.3630606, 29.3712629 -3.363224, 29.371672 -3.3634034, 29.3719617 -3.3635119)",,,,,,
29872869,residential,False,True,110.946,"LINESTRING (29.3704663 -3.3624582, 29.3703014 -3.3618866, 29.3702035 -3.3614957)",,,,,,
29872885,residential,False,True,189.84799999999998,"LINESTRING (29.3704663 -3.3624582, 29.3701837 -3.3624626, 29.36939 -3.3624265, 29.3693626 -3.3624067, 29.3693385 -3.3623751, 29.3691486 -3.3618497)",,,,,,
29886591,residential,False,False,57.511,"LINESTRING (29.3691532 -3.3656717, 29.3689459 -3.3661457)",Avenue de Jabe,,,,,
29552436,tertiary,False,False,105.04299999999999,"LINESTRING (29.3691532 -3.3656717, 29.3698712 -3.365965, 29.3700318 -3.3660222)",Avenue de l'Imprimerie,,,,,
29552436,tertiary,False,True,211.18900000000002,"LINESTRING (29.3691532 -3.3656717, 29.3682026 -3.3652671, 29.3680054 -3.365213, 29.3679162 -3.3651963, 29.3678354 -3.3652014, 29.3677433 -3.3652205, 29.3676557 -3.3652597, 29.3674972 -3.3653398, 29.3673908 -3.3654057)",Avenue de l'Imprimerie,,,,,
29886591,residential,False,True,20.486,"LINESTRING (29.3685506 -3.3670549, 29.3686325 -3.3668898)",Avenue de Jabe,,,,,
29886591,residential,False,False,165.0,"LINESTRING (29.3685506 -3.3670549, 29.3685216 -3.3672462, 29.3685378 -3.3672953, 29.3685653 -3.3673348, 29.3686311 -3.3673924, 29.3696502 -3.3678192)",Avenue de Jabe,,,,,
