osmid,highway,oneway,reversed,length,name,lanes,ref,maxspeed,width,geometry,bridge
4705396,unclassified,False,True,153.35,,,,,,"LINESTRING (122.2604406 13.8797664, 122.2599067 13.8810444)",
893610280,residential,False,False,101.789,,,,,,"LINESTRING (122.2604406 13.8797664, 122.2595217 13.879561)",
4705394,residential,False,False,26.493,Escobar Street,,,,,"LINESTRING (122.2590433 13.8842003, 122.25913 13.8839774)",
4705394,residential,False,True,59.083,Escobar Street,,,,,"LINESTRING (122.2590433 13.8842003, 122.2588331 13.8846909)",
328124964,primary,False,False,33.688,General Vera Avenue,2,1,40,6.7,"LINESTRING (122.2590433 13.8842003, 122.2593239 13.8843329)",
328124964,primary,False,True,36.15,General Vera Avenue,2,1,40,6.7,"LINESTRING (122.2590433 13.8842003, 122.2587424 13.8840576)",
4705394,residential,False,False,73.658,Escobar Street,,,,,"LINESTRING (122.2601849 13.8811451, 122.2604165 13.880522)",
4705394,residential,False,True,185.533,Escobar Street,,,,,"LINESTRING (122.2601849 13.8811451, 122.2596196 13.8827208)",
4705395,residential,False,False,48.681,San Jose,,,,,"LINESTRING (122.2601849 13.8811451, 122.2606041 13.8813065)",
4705395,residential,False,True,32.051,San Jose,,,,,"LINESTRING (122.2601849 13.8811451, 122.2599067 13.8810444)",
4705393,unclassified,False,True,184.059,Yumul,,,,,"LINESTRING (122.2599067 13.8810444, 122.2593421 13.8826063)",
4705395,residential,False,False,32.051,San Jose,,,,,"LINESTRING (122.2599067 13.8810444, 122.2601849 13.8811451)",
4705396,unclassified,False,False,153.35,,,,,,"LINESTRING (122.2599067 13.8810444, 122.2604406 13.8797664)",
4705392,residential,False,True,59.77,Yumul,,,,,"LINESTRING (122.2587424 13.8840576, 122.2585295 13.8845538)",
4705393,unclassified,False,False,25.474,Yumul,,,,,"LINESTRING (122.2587424 13.8840576, 122.2588277 13.883844)",
328124964,primary,False,False,36.15,General Vera Avenue,2,1,40,6.7,"LINESTRING (122.2587424 13.8840576, 122.2590433 13.8842003)",
328124964,primary,False,True,36.915,General Vera Avenue,2,1,40,6.7,"LINESTRING (122.2587424 13.8840576, 122.2584368 13.8839086)",
313335466,residential,False,False,59.019,J.P. Rizal Street,2,,,,"LINESTRING (122.2629564 13.8858329, 122.2634795 13.8859873)",
845251025,primary,False,True,63.202,Maharlika Highway,2,1,40,6.7,"LINESTRING (122.2629564 13.8858329, 122.2623841 13.8857129)",
751228588,primary,False,False,174.966,Maharlika Highway,2,1,40,6.7,"LINESTRING (122.2629564 13.8858329, 122.2630497 13.8858331, 122.2631543 13.8858039, 122.2634051 13.8856844, 122.2635332 13.8856737, 122.2636728 13.8856941, 122.2637276 13.8857043, 122.2638944 13.8857354, 122.2645197 13.8858848)",
349497227,secondary,False,True,60.903,Lopez - Catanauan,,,40,,"LINESTRING (122.2637193 13.8787097, 122.2639546 13.8782119)",
"[313334883, 893607453]",residential,False,"[False, True]",188.538,,,,,,"LINESTRING (122.2637193 13.8787097, 122.2639543 13.8788341, 122.2642489 13.8789829, 122.264702 13.8791941, 122.264718 13.8792011, 122.2647418 13.8791988, 122.2651707 13.8787877)",
349497227,secondary,False,False,146.727,Lopez - Catanauan,,,40,,"LINESTRING (122.2637193 13.8787097, 122.2634297 13.8794021, 122.263344 13.8795984, 122.2631777 13.8799191)",
313334893,residential,False,False,81.524,,,,,,"LINESTRING (122.2618848 13.8795914, 122.262338 13.8795818, 122.2626025 13.8796433, 122.262628 13.8796585)",
313334893,residential,False,False,64.081,,,,,,"LINESTRING (122.262638 13.8796791, 122.2631777 13.8799191)",
313334893,residential,False,True,2.532,,,,,,"LINESTRING (122.262638 13.8796791, 122.262628 13.8796585)",
313334873,residential,False,True,78.0,,,,,,"LINESTRING (122.262638 13.8796791, 122.2626525 13.879944, 122.2624677 13.8803416)",
313334893,residential,False,True,64.081,,,,,,"LINESTRING (122.2631777 13.8799191, 122.262638 13.8796791)",
349497227,secondary,False,False,69.538,Lopez - Catanauan,,,40,,"LINESTRING (122.2631777 13.8799191, 122.2628679 13.8804674)",
349497227,secondary,False,True,146.727,Lopez - Catanauan,,,40,,"LINESTRING (122.2631777 13.8799191, 122.263344 13.8795984, 122.2634297 13.8794021, 122.2637193 13.8787097)",
313334871,residential,False,False,78.442,,,,,,"LINESTRING (122.261772 13.8801379, 122.2624328 13.880332, 122.2624677 13.8803416)",
313334871,residential,False,False,45.409,,,,,,"LINESTRING (122.2624677 13.8803416, 122.2628679 13.8804674)",
680849289,residential,False,True,46.09,,,,,,"LINESTRING (122.2624677 13.8803416, 122.2622869 13.8807171)",
313334871,residential,False,True,78.442,,,,,,"LINESTRING (122.2624677 13.8803416, 122.2624328 13.880332, 122.261772 13.8801379)",
313334873,residential,False,False,78.0,,,,,,"LINESTRING (122.2624677 13.8803416, 122.2626525 13.879944, 122.262638 13.8796791)",
