osmid,ref,highway,oneway,reversed,length,geometry,name
659007829,,tertiary,False,True,20.879,"LINESTRING (122.7977192 10.5223309, 122.7978739 10.5222208)",
659007829,,tertiary,False,False,116.623,"LINESTRING (122.7977192 10.5223309, 122.7976699 10.5223681, 122.7973089 10.5226407, 122.7969199 10.5229295, 122.7968998 10.5229572, 122.7968945 10.5229836)",
791201622,,residential,False,False,161.62600000000003,"LINESTRING (122.7977192 10.5223309, 122.7978989 10.5226315, 122.7979982 10.5228082, 122.7980344 10.5228543, 122.7980719 10.5228741, 122.7981162 10.5228781, 122.7981591 10.5228807, 122.7982838 10.5228847, 122.7983053 10.5228886, 122.7983268 10.5229031, 122.7983455 10.5229203, 122.7985051 10.5231128, 122.7986647 10.5233369)",
659007829,,tertiary,False,False,384.382,"LINESTRING (122.7968945 10.5229836, 122.7968985 10.5230152, 122.7969186 10.5230455, 122.7969817 10.5231102, 122.7978426 10.5240318, 122.7987036 10.5249917, 122.7991891 10.5255086, 122.7992367 10.5255529)",
659007829,,tertiary,False,True,116.623,"LINESTRING (122.7968945 10.5229836, 122.7968998 10.5229572, 122.7969199 10.5229295, 122.7973089 10.5226407, 122.7976699 10.5223681, 122.7977192 10.5223309)",
791201622,,residential,False,True,161.62599999999998,"LINESTRING (122.7986647 10.5233369, 122.7985051 10.5231128, 122.7983455 10.5229203, 122.7983268 10.5229031, 122.7983053 10.5228886, 122.7982838 10.5228847, 122.7981591 10.5228807, 122.7981162 10.5228781, 122.7980719 10.5228741, 122.7980344 10.5228543, 122.7979982 10.5228082, 122.7978989 10.5226315, 122.7977192 10.5223309)",
791341007,,residential,False,True,47.153999999999996,"LINESTRING (122.7994962 10.5252646, 122.799464 10.5252791, 122.7994023 10.5252989, 122.7993567 10.5253174, 122.7993299 10.5253332, 122.7993232 10.5253648, 122.7993232 10.5253859, 122.7993219 10.5254242, 122.7993058 10.5254624, 122.7992367 10.5255529)",
"[659007829, 791197998]",,tertiary,False,False,433.46400000000006,"LINESTRING (122.7992367 10.5255529, 122.7998323 10.5261068, 122.8002472 10.5254189, 122.8006509 10.5247596, 122.8014328 10.523445)",
659007829,,tertiary,False,True,384.382,"LINESTRING (122.7992367 10.5255529, 122.7991891 10.5255086, 122.7987036 10.5249917, 122.7978426 10.5240318, 122.7969817 10.5231102, 122.7969186 10.5230455, 122.7968985 10.5230152, 122.7968945 10.5229836)",
791341007,,residential,False,False,47.153999999999996,"LINESTRING (122.7992367 10.5255529, 122.7993058 10.5254624, 122.7993219 10.5254242, 122.7993232 10.5253859, 122.7993232 10.5253648, 122.7993299 10.5253332, 122.7993567 10.5253174, 122.7994023 10.5252989, 122.799464 10.5252791, 122.7994962 10.5252646)",
787329896,,residential,False,True,79.247,"LINESTRING (122.8037247 10.5220962, 122.8033814 10.521752, 122.8031655 10.5216619)",
318696219,,residential,False,False,89.676,"LINESTRING (122.79957 10.5236652, 122.7996719 10.5236732, 122.7997416 10.52366, 122.7997765 10.5236125, 122.799814 10.5234965, 122.7999039 10.5231101, 122.7998905 10.5230521)",
318696219,,residential,False,False,215.26299999999998,"LINESTRING (122.7998905 10.5230521, 122.7998422 10.5230165, 122.7997581 10.5229939, 122.7996156 10.5229796, 122.7995689 10.5229616, 122.799228 10.5224179, 122.7990392 10.5221441, 122.7988122 10.5218905, 122.7986176 10.5216681)",
318696219,,residential,False,True,89.67600000000002,"LINESTRING (122.7998905 10.5230521, 122.7999039 10.5231101, 122.799814 10.5234965, 122.7997765 10.5236125, 122.7997416 10.52366, 122.7996719 10.5236732, 122.79957 10.5236652)",
318696257,,residential,False,False,268.93299999999994,"LINESTRING (122.7998905 10.5230521, 122.7999307 10.5228873, 122.7999562 10.5228161, 122.8000246 10.5227897, 122.8001665 10.5228015, 122.8002674 10.5228267, 122.8003129 10.5228293, 122.8003451 10.5227726, 122.8004551 10.5224549, 122.8005101 10.5223242, 122.8005744 10.5221595, 122.8007019 10.5218179, 122.8007501 10.5217665, 122.8008064 10.5217546, 122.800852 10.5217573, 122.8009124 10.5217731, 122.8010318 10.5218087, 122.8013898 10.5219419)",
