osmid,highway,oneway,reversed,length,name,maxspeed,geometry,lanes,ref,bridge
236039212,residential,False,True,45.028,,,"LINESTRING (121.4779422 14.3839388, 121.4775279 14.3838847)",,,
23434204,secondary,False,False,127.896,Tavera,40,"LINESTRING (121.4779422 14.3839388, 121.4779533 14.3837806, 121.4780553 14.3833921, 121.478229 14.3828258)",,,
23434204,secondary,False,True,55.316,Tavera,40,"LINESTRING (121.4779422 14.3839388, 121.4779838 14.3841413, 121.4779603 14.3843646, 121.4779534 14.3844308)",,,
"[236042518, 23435303]",residential,False,False,156.91899999999998,"['Rizal Street', 'Hoben Street']",,"LINESTRING (121.4779422 14.3839388, 121.4782462 14.3839064, 121.478497 14.3838147, 121.4785222 14.3837782, 121.478718 14.3829893)",,,
236038898,residential,False,False,34.573,Iglesia Street,,"LINESTRING (121.4788038 14.3810005, 121.4784915 14.3809287)",,,
236038898,residential,False,True,55.383,Iglesia Street,,"LINESTRING (121.4788038 14.3810005, 121.4793073 14.3811015)",,,
23434204,secondary,False,True,212.49099999999999,Tavera,40,"LINESTRING (121.4788038 14.3810005, 121.4787901 14.3810755, 121.4787226 14.3813963, 121.4785874 14.3818084, 121.478229 14.3828258)",,,
110353304,secondary,False,False,89.916,J. P. Rizal Street,40,"LINESTRING (121.4788038 14.3810005, 121.4788013 14.3809365, 121.4788026 14.380879, 121.4789757 14.3802127)",,,
71882017,tertiary,False,True,34.886,V. Rarela Street,,"LINESTRING (121.4789757 14.3802127, 121.4786941 14.3803677)",,,
110353304,secondary,False,False,15.844,J. P. Rizal Street,40,"LINESTRING (121.4789757 14.3802127, 121.4790384 14.3800838)",,,
110353304,secondary,False,True,89.916,J. P. Rizal Street,40,"LINESTRING (121.4789757 14.3802127, 121.4788026 14.380879, 121.4788013 14.3809365, 121.4788038 14.3810005)",,,
236038898,residential,False,False,55.383,Iglesia Street,,"LINESTRING (121.4793073 14.3811015, 121.4788038 14.3810005)",,,
77733206,residential,False,True,136.978,Barangay Bano,,"LINESTRING (121.4793073 14.3811015, 121.4794908 14.3809292, 121.4795675 14.3807383, 121.4796115 14.37996)",,,
236042518,residential,False,True,99.322,Rizal Street,,"LINESTRING (121.4793073 14.3811015, 121.4792475 14.3811794, 121.479008 14.381941)",,,
71882017,tertiary,False,False,221.741,V. Rarela Street,,"LINESTRING (121.4765077 14.380029, 121.4775568 14.3802996, 121.4779331 14.3803972, 121.4781701 14.3804587, 121.4784967 14.3805434)",,,
147634526,primary,False,False,125.90299999999999,National Highway,80,"LINESTRING (121.4765077 14.380029, 121.4765518 14.3794375, 121.4766057 14.3789008)",2,602,
902547766,primary,False,True,329.931,National Highway,80,"LINESTRING (121.4765077 14.380029, 121.4762881 14.382854, 121.4762811 14.3829378, 121.4762769 14.3829877)",2,602,
71882017,tertiary,False,False,28.875,V. Rarela Street,,"LINESTRING (121.4784967 14.3805434, 121.4786941 14.3803677)",,,
71882017,tertiary,False,True,221.74099999999999,V. Rarela Street,,"LINESTRING (121.4784967 14.3805434, 121.4781701 14.3804587, 121.4779331 14.3803972, 121.4775568 14.3802996, 121.4765077 14.380029)",,,
