osmid,lanes,name,highway,oneway,reversed,length,maxspeed,ref,geometry,bridge
58493801,2,General Tirona Street,residential,False,True,96.713,,,"LINESTRING (120.9017287 14.4432693, 120.9025141 14.4436912)",
24238992,,Orcullo Street,residential,False,False,85.561,,,"LINESTRING (120.9009585 14.4428398, 120.9005882 14.4435206)",
58493801,2,General Tirona Street,residential,False,False,54.126,,,"LINESTRING (120.9009585 14.4428398, 120.9005393 14.4425712)",
58493801,2,General Tirona Street,residential,False,True,95.704,,,"LINESTRING (120.9009585 14.4428398, 120.9017287 14.4432693)",
24238991,,Ravelo Street,residential,False,False,102.718,,,"LINESTRING (120.9002666 14.4423665, 120.8997927 14.4431682)",
58493801,2,General Tirona Street,residential,False,True,37.153,,,"LINESTRING (120.9002666 14.4423665, 120.9005393 14.4425712)",
58493801,2,General Tirona Street,residential,False,False,159.348,,,"LINESTRING (120.9002666 14.4423665, 120.8995575 14.441835, 120.8990627 14.4415362)",
24238991,,Ravelo Street,residential,False,True,102.718,,,"LINESTRING (120.8997927 14.4431682, 120.9002666 14.4423665)",
24238989,,Mascardo Street,residential,False,False,94.197,,,"LINESTRING (120.8997927 14.4431682, 120.9003086 14.4433956, 120.9005882 14.4435206)",
24238991,,Ravelo Street,residential,False,False,54.292,,,"LINESTRING (120.8997927 14.4431682, 120.8997769 14.443202, 120.8997164 14.4433315, 120.8995866 14.4436138)",
24238989,,Mascardo Street,residential,False,True,142.284,,,"LINESTRING (120.9033033 14.4447484, 120.9021092 14.4442005)",
158322258,2,Kaligtasan Street,unclassified,False,False,60.25,,,"LINESTRING (120.9033033 14.4447484, 120.903543 14.4442588)",
158322258,2,Kaligtasan Street,unclassified,False,True,56.006,,,"LINESTRING (120.9033033 14.4447484, 120.9031671 14.4452345)",
24238990,2,Tanggulan Street,residential,False,True,160.794,,,"LINESTRING (120.9031671 14.4452345, 120.9018464 14.4445597)",
158322258,2,Kaligtasan Street,unclassified,False,False,56.006,,,"LINESTRING (120.9031671 14.4452345, 120.9033033 14.4447484)",
24238990,2,Tanggulan Street,residential,False,False,49.491,,,"LINESTRING (120.9031671 14.4452345, 120.9033889 14.4453078, 120.9036021 14.4453782)",
609997384,,Kaligtasan,unclassified,False,True,255.986,,,"LINESTRING (120.9031671 14.4452345, 120.9031635 14.4455388, 120.9031587 14.4458515, 120.9031308 14.446, 120.9030933 14.4461065, 120.9030486 14.4462039, 120.9028056 14.4465987, 120.9026688 14.4468234, 120.9025575 14.447026, 120.9023907 14.4473534)",
24238990,2,Tanggulan Street,residential,False,False,160.794,,,"LINESTRING (120.9018464 14.4445597, 120.9031671 14.4452345)",
24238990,2,Tanggulan Street,residential,False,True,66.833,,,"LINESTRING (120.9018464 14.4445597, 120.901272 14.444332)",
24238994,2,Gregoria Street,residential,False,False,48.951,,,"LINESTRING (120.9018464 14.4445597, 120.901984 14.4443692, 120.9021092 14.4442005)",
24238990,2,Tanggulan Street,residential,False,True,103.024,,,"LINESTRING (120.8995866 14.4436138, 120.8986913 14.4432871)",
24238990,2,Tanggulan Street,residential,False,False,96.138,,,"LINESTRING (120.8995866 14.4436138, 120.899941 14.4437545, 120.9002106 14.4438792, 120.9003923 14.4439831)",
24238991,,Ravelo Street,residential,False,True,54.291999999999994,,,"LINESTRING (120.8995866 14.4436138, 120.8997164 14.4433315, 120.8997769 14.443202, 120.8997927 14.4431682)",
24238990,2,Tanggulan Street,residential,False,False,102.363,,,"LINESTRING (120.9003923 14.4439831, 120.901272 14.444332)",
24238992,,Orcullo Street,residential,False,True,55.586,,,"LINESTRING (120.9003923 14.4439831, 120.9005882 14.4435206)",
24238990,2,Tanggulan Street,residential,False,True,96.138,,,"LINESTRING (120.9003923 14.4439831, 120.9002106 14.4438792, 120.899941 14.4437545, 120.8995866 14.4436138)",
24238989,,Mascardo Street,residential,False,False,100.472,,,"LINESTRING (120.9005882 14.4435206, 120.9014353 14.4438994)",
24238992,,Orcullo Street,residential,False,False,55.586,,,"LINESTRING (120.9005882 14.4435206, 120.9003923 14.4439831)",
24238992,,Orcullo Street,residential,False,True,85.561,,,"LINESTRING (120.9005882 14.4435206, 120.9009585 14.4428398)",
24238989,,Mascardo Street,residential,False,True,94.197,,,"LINESTRING (120.9005882 14.4435206, 120.9003086 14.4433956, 120.8997927 14.4431682)",
24238990,2,Tanggulan Street,residential,False,False,66.833,,,"LINESTRING (120.901272 14.444332, 120.9018464 14.4445597)",
24238990,2,Tanggulan Street,residential,False,True,102.363,,,"LINESTRING (120.901272 14.444332, 120.9003923 14.4439831)",
24238993,,Rieta Street,residential,False,True,51.216,,,"LINESTRING (120.901272 14.444332, 120.9014353 14.4438994)",
24238989,,Mascardo Street,residential,False,False,79.917,,,"LINESTRING (120.9014353 14.4438994, 120.9021092 14.4442005)",
24238989,,Mascardo Street,residential,False,True,100.472,,,"LINESTRING (120.9014353 14.4438994, 120.9005882 14.4435206)",
24238993,,Rieta Street,residential,False,False,51.216,,,"LINESTRING (120.9014353 14.4438994, 120.901272 14.444332)",
24238993,,Rieta Street,residential,False,True,76.858,,,"LINESTRING (120.9014353 14.4438994, 120.9017287 14.4432693)",
24238989,,Mascardo Street,residential,False,False,142.284,,,"LINESTRING (120.9021092 14.4442005, 120.9033033 14.4447484)",
24238989,,Mascardo Street,residential,False,True,79.917,,,"LINESTRING (120.9021092 14.4442005, 120.9014353 14.4438994)",
24238994,2,Gregoria Street,residential,False,False,71.471,,,"LINESTRING (120.9021092 14.4442005, 120.9025141 14.4436912)",
