osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,bridge,width,junction
26955065,2,J. Gonzales Street,tertiary,False,False,23.257,,"LINESTRING (121.0854319 14.3343446, 121.0853876 14.3345493)",,,
361260925,2,General Malvar Street,secondary,False,False,21.627,30,"LINESTRING (121.0854319 14.3343446, 121.0855928 14.3344609)",,,
361260925,2,General Malvar Street,secondary,False,True,21.627,30,"LINESTRING (121.0855928 14.3344609, 121.0854319 14.3343446)",,,
145894805,1,,tertiary,False,False,24.224,,"LINESTRING (121.0855928 14.3344609, 121.085523 14.3344869, 121.0854875 14.3345006, 121.0854386 14.3345259, 121.0853876 14.3345493)",,,
"[133267666, 133267660, 361260925]",2,General Malvar Street,secondary,False,False,112.452,30,"LINESTRING (121.0855928 14.3344609, 121.0858793 14.3346309, 121.0861892 14.3348445, 121.0864707 14.3350067)",yes,,
26955065,2,J. Gonzales Street,tertiary,False,True,23.257,,"LINESTRING (121.0853876 14.3345493, 121.0854319 14.3343446)",,,
26955065,2,J. Gonzales Street,tertiary,False,False,140.87,,"LINESTRING (121.0853876 14.3345493, 121.0852528 14.3347936, 121.0851745 14.3348999, 121.0851465 14.334938, 121.0849943 14.335068, 121.0846808 14.3352571, 121.0844703 14.3354153)",,,
145894805,1,,tertiary,False,True,24.223999999999997,,"LINESTRING (121.0853876 14.3345493, 121.0854386 14.3345259, 121.0854875 14.3345006, 121.085523 14.3344869, 121.0855928 14.3344609)",,,
133267666,2,General Malvar Street,secondary,False,False,40.991,30,"LINESTRING (121.0864707 14.3350067, 121.0867794 14.3352222)",,,
92227629,1,,secondary_link,True,False,46.462,,"LINESTRING (121.0864707 14.3350067, 121.086653 14.3350489, 121.0867334 14.33503, 121.0867904 14.3349969, 121.0868706 14.3349482)",,,
"[133267666, 133267660, 361260925]",2,General Malvar Street,secondary,False,True,112.452,30,"LINESTRING (121.0864707 14.3350067, 121.0861892 14.3348445, 121.0858793 14.3346309, 121.0855928 14.3344609)",yes,,
446473639,2,A. Bonifacio Street,secondary,False,False,62.033,30,"LINESTRING (121.0819317 14.3389304, 121.0825075 14.3389338)",,,
93596985,2,A. Bonifacio Street,secondary,False,True,240.97899999999998,30,"LINESTRING (121.0819317 14.3389304, 121.0810288 14.3389016, 121.0801756 14.3388743, 121.079696 14.3388608)",,7,
"[446473650, 145894807]",2,Primo Burgos Street,tertiary,False,False,152.574,30,"LINESTRING (121.0819317 14.3389304, 121.0820504 14.3379242, 121.0821068 14.337569)",,,
"[446473651, 798170318]",2,Santo Domingo Street,residential,False,True,109.709,30,"LINESTRING (121.0819317 14.3389304, 121.0819132 14.3391711, 121.0819168 14.3393023, 121.0819041 14.3399162)",,,
32083693,2,M. Manabat Street,secondary,False,False,32.013,30,"LINESTRING (121.0868706 14.3349482, 121.0867794 14.3352222)",,,
32083693,2,M. Manabat Street,secondary,False,True,21.502,30,"LINESTRING (121.0868706 14.3349482, 121.0869259 14.3347624)",,,
92227622,2,Don Menong Gana Street,tertiary,False,False,41.061,,"LINESTRING (121.0844703 14.3354153, 121.0841037 14.3353143)",,,
26955065,2,J. Gonzales Street,tertiary,False,False,401.69399999999996,,"LINESTRING (121.0844703 14.3354153, 121.0843952 14.3355985, 121.084249 14.3362001, 121.0841404 14.3366484, 121.084124 14.3367319, 121.0840867 14.3369225, 121.0840928 14.3373234, 121.0840908 14.3373766, 121.0840854 14.3376066, 121.0840398 14.3378418, 121.0839365 14.338053, 121.0838279 14.3384064, 121.0837793 14.3386338, 121.0837422 14.3389313)",,,
26955065,2,J. Gonzales Street,tertiary,False,True,140.87,,"LINESTRING (121.0844703 14.3354153, 121.0846808 14.3352571, 121.0849943 14.335068, 121.0851465 14.334938, 121.0851745 14.3348999, 121.0852528 14.3347936, 121.0853876 14.3345493)",,,
446473639,2,A. Bonifacio Street,secondary,False,True,62.033,30,"LINESTRING (121.0825075 14.3389338, 121.0819317 14.3389304)",,,
