osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,junction,bridge
"[892168928, 777939634, 892168923, 228801959]",True,2,1,Davao-Agusan National Highway,trunk,False,115.40099999999998,"LINESTRING (125.9748889 8.507823, 125.9752978 8.5074201, 125.9753295 8.5073917, 125.9754529 8.5072756, 125.9755593 8.5071659, 125.9756302 8.5070888)",,yes
"[303576745, 246447471]",False,,,,residential,"[False, True]",212.07999999999998,"LINESTRING (125.9748889 8.507823, 125.9744462 8.5073582, 125.9741135 8.5070382, 125.9739456 8.5072303, 125.9738241 8.5073647, 125.9735583 8.5076329)",,
392889067,False,,,,tertiary,False,172.867,"LINESTRING (125.9760166 8.5090595, 125.9749604 8.5079081)",,
"[231335469, 858102740, 858102741]",False,2,,,residential,True,138.93,"LINESTRING (125.9760166 8.5090595, 125.976345 8.5087873, 125.9763625 8.5087659, 125.9763958 8.5087278, 125.9764169 8.508703, 125.9768973 8.5081682)",,yes
230622692,False,,,Laurel Street,residential,False,100.437,"LINESTRING (125.9780501 8.5028582, 125.9771931 8.502546)",,
230622694,False,,,Yakal Avenue,residential,False,16.927,"LINESTRING (125.9780501 8.5028582, 125.9781952 8.502909)",,
858089374,True,3,1,Davao-Agusan National Highway,trunk,False,139.457,"LINESTRING (125.9780501 8.5028582, 125.9781647 8.5025375, 125.9782344 8.5022777, 125.9783842 8.5016497)",,
128982707,False,2,,Obedoza Street,secondary,False,58.964,"LINESTRING (125.9791237 8.5060182, 125.979101 8.506548)",,
128982707,False,2,,Obedoza Street,secondary,True,101.122,"LINESTRING (125.9791237 8.5060182, 125.9791626 8.5051096)",,
230622696,False,,,,residential,False,57.575,"LINESTRING (125.9791237 8.5060182, 125.9796472 8.5060114)",,
128982706,False,,,,tertiary,True,166.23299999999998,"LINESTRING (125.9791237 8.5060182, 125.9777838 8.505957, 125.9777233 8.5059665, 125.9776233 8.5060094)",,
334471890,False,,,,residential,True,79.864,"LINESTRING (125.9816307 8.50791, 125.9815521 8.5078541, 125.9813956 8.5077575, 125.9812864 8.5076917, 125.9811936 8.5076446, 125.9811242 8.5076238, 125.9810618 8.5076288, 125.9809883 8.5076535)",,
895402266,False,,,,tertiary,True,96.469,"LINESTRING (125.9816307 8.50791, 125.9814477 8.5081637, 125.9812867 8.5083494, 125.9810681 8.5085734)",,
128982707,False,2,,Obedoza Street,secondary,True,13.633,"LINESTRING (125.979055 8.5076234, 125.9790602 8.5075009)",,
1057082028,False,2,,Obedoza Street,secondary,False,47.545,"LINESTRING (125.979055 8.5076234, 125.9790367 8.5080506)",,
334471890,False,,,,residential,False,58.313,"LINESTRING (125.979055 8.5076234, 125.9790875 8.5076264, 125.9791209 8.5076238, 125.9792584 8.5076208, 125.9793328 8.5076229, 125.9795842 8.5076421)",,
128955396,False,2,,Quezon Street,secondary,True,103.71199999999999,"LINESTRING (125.978303 8.5092884, 125.9782091 8.5092101, 125.9780039 8.5090576, 125.9777652 8.5088786, 125.9775575 8.5087174)",,
656679237,False,,,Obedoza Street,secondary,True,97.47500000000001,"LINESTRING (125.978303 8.5092884, 125.9786816 8.5088174, 125.9788593 8.508606)",,
231322773,False,,,,unclassified,True,89.44399999999999,"LINESTRING (125.9810681 8.5085734, 125.9810027 8.5085558, 125.9808505 8.5085385, 125.9802602 8.5084898)",,
858127369,False,,,,tertiary,False,86.154,"LINESTRING (125.9810681 8.5085734, 125.9809204 8.5087513, 125.9807193 8.5089789, 125.9805481 8.5091523)",,
895402266,False,,,,tertiary,False,96.469,"LINESTRING (125.9810681 8.5085734, 125.9812867 8.5083494, 125.9814477 8.5081637, 125.9816307 8.50791)",,
128955396,False,2,,Quezon Street,secondary,False,10.41,"LINESTRING (125.9768254 8.5081073, 125.9768973 8.5081682)",,
128955396,False,2,,Quezon Street,secondary,True,14.52,"LINESTRING (125.9768254 8.5081073, 125.9767273 8.5080199)",,
231655408,False,,,,tertiary,True,54.082,"LINESTRING (125.9779667 8.5065118, 125.9784572 8.5065469)",,
315645362,False,,,,tertiary,True,12.156,"LINESTRING (125.9779667 8.5065118, 125.9778741 8.5064521)",,
315645365,True,2,,Roxas Street,tertiary,False,83.32,"LINESTRING (125.9779667 8.5065118, 125.9775365 8.5071286)",,
235463747,False,,,,unclassified,False,34.757,"LINESTRING (125.9782827 8.5072824, 125.9783452 8.506976)",,
235463747,False,,,,unclassified,True,23.932,"LINESTRING (125.9782827 8.5072824, 125.978473 8.5073868)",,
231334197,False,,,,unclassified,False,61.44600000000001,"LINESTRING (125.9782827 8.5072824, 125.9782596 8.5073394, 125.9780665 8.5076318, 125.9780332 8.5076879, 125.9779882 8.5077506)",,
775872872,True,2,,Roxas Street,tertiary,False,84.224,"LINESTRING (125.977279 8.507497, 125.9768254 8.5081073)",,
775872874,False,,,,residential,False,38.775,"LINESTRING (125.977279 8.507497, 125.9775646 8.5077015)",,
235550029,False,,,,residential,False,13.573,"LINESTRING (125.977279 8.507497, 125.9772305 8.5074648, 125.9771765 8.507429)",,
231334196,False,,,,unclassified,False,28.657,"LINESTRING (125.9780174 8.5080291, 125.9782262 8.5081833)",,
231334196,False,,,,unclassified,True,19.762,"LINESTRING (125.9780174 8.5080291, 125.9778706 8.5079266)",,
231334199,False,,,,unclassified,False,51.263,"LINESTRING (125.9780174 8.5080291, 125.9777539 8.5084094)",,
892168941,False,,,,unclassified,False,24.04,"LINESTRING (125.9780174 8.5080291, 125.9781422 8.5078516)",,
231334198,False,,,,unclassified,False,29.749,"LINESTRING (125.9777539 8.5084094, 125.9779768 8.508561)",,
231334199,False,,,,unclassified,False,40.49,"LINESTRING (125.9777539 8.5084094, 125.9775575 8.5087174)",,
231334199,False,,,,unclassified,True,51.263,"LINESTRING (125.9777539 8.5084094, 125.9780174 8.5080291)",,
231334202,False,,,,unclassified,False,106.156,"LINESTRING (125.9777539 8.5084094, 125.9775196 8.508237, 125.9773694 8.508103, 125.9773533 8.5080686, 125.9773533 8.5080367, 125.9773694 8.5079943, 125.9775646 8.5077015)",,
235463747,False,,,,unclassified,False,19.231,"LINESTRING (125.9783452 8.506976, 125.9783745 8.5068055)",,
235463747,False,,,,unclassified,True,34.757,"LINESTRING (125.9783452 8.506976, 125.9782827 8.5072824)",,
231334200,False,,,,unclassified,False,112.50600000000003,"LINESTRING (125.9783452 8.506976, 125.9781338 8.5069637, 125.9780869 8.506969, 125.9780359 8.5069823, 125.9779959 8.5070168, 125.9777945 8.507286, 125.977765 8.507294, 125.9777382 8.507294, 125.977706 8.5072728, 125.9775365 8.5071286)",,
231334196,False,,,,unclassified,True,28.657,"LINESTRING (125.9782262 8.5081833, 125.9780174 8.5080291)",,
231334198,False,,,,unclassified,False,39.592,"LINESTRING (125.9782262 8.5081833, 125.9785121 8.5083997)",,
231334198,False,,,,unclassified,True,50.161,"LINESTRING (125.9782262 8.5081833, 125.9779768 8.508561)",,
231334201,False,,,,unclassified,True,63.969,"LINESTRING (125.978626 8.508171, 125.9781422 8.5078516)",,
231334201,False,,,,unclassified,False,31.006999999999998,"LINESTRING (125.978626 8.508171, 125.9786206 8.50837, 125.9786152 8.5084496)",,
"[399345460, 858089375]",False,,,,residential,"[False, True]",53.918,"LINESTRING (125.978626 8.508171, 125.9786337 8.5081239, 125.9786502 8.5080924, 125.9786743 8.5080633, 125.9787105 8.508046, 125.9788171 8.508032, 125.9790367 8.5080506)",,
231334197,False,,,,unclassified,False,23.457,"LINESTRING (125.9779882 8.5077506, 125.9778706 8.5079266)",,
231334201,False,,,,unclassified,False,20.321,"LINESTRING (125.9779882 8.5077506, 125.9781422 8.5078516)",,
231334197,False,,,,unclassified,True,61.446000000000005,"LINESTRING (125.9779882 8.5077506, 125.9780332 8.5076879, 125.9780665 8.5076318, 125.9782596 8.5073394, 125.9782827 8.5072824)",,
128955396,False,2,,Quezon Street,secondary,True,94.871,"LINESTRING (125.9775575 8.5087174, 125.9768973 8.5081682)",,
231334199,False,,,,unclassified,True,40.49,"LINESTRING (125.9775575 8.5087174, 125.9777539 8.5084094)",,
128955396,False,2,,Quezon Street,secondary,False,103.712,"LINESTRING (125.9775575 8.5087174, 125.9777652 8.5088786, 125.9780039 8.5090576, 125.9782091 8.5092101, 125.978303 8.5092884)",,
235463747,False,,,,unclassified,False,23.932,"LINESTRING (125.978473 8.5073868, 125.9782827 8.5072824)",,
892168941,False,,,,unclassified,True,63.203,"LINESTRING (125.978473 8.5073868, 125.9781422 8.5078516)",,
238567594,False,,,,residential,True,22.777,"LINESTRING (125.978473 8.5073868, 125.9785335 8.5074226, 125.9785925 8.5074452, 125.9786381 8.5074545, 125.9786633 8.5074635)",,
231334196,False,,,,unclassified,False,19.762,"LINESTRING (125.9778706 8.5079266, 125.9780174 8.5080291)",,
231334196,False,,,,unclassified,True,41.939,"LINESTRING (125.9778706 8.5079266, 125.9775646 8.5077015)",,
231334197,False,,,,unclassified,True,23.457,"LINESTRING (125.9778706 8.5079266, 125.9779882 8.5077506)",,
231334198,False,,,,unclassified,False,31.985,"LINESTRING (125.9786152 8.5084496, 125.9788593 8.508606)",,
231334198,False,,,,unclassified,True,12.623,"LINESTRING (125.9786152 8.5084496, 125.9785121 8.5083997)",,
