osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,maxspeed,access,width,est_width
53728493,True,2,J. A. Clarin Street,secondary,False,42.807,"LINESTRING (123.8554093 9.6384591, 123.8557992 9.638438)",,,,,
54365237,False,2,A. Torralba Street,secondary,False,32.763,"LINESTRING (123.8554093 9.6384591, 123.8552113 9.6382384)",,,,,
43055142,True,,M. H. del Pilar Street,tertiary,False,67.135,"LINESTRING (123.8540007 9.6433094, 123.8545776 9.643512)",,,,,
49040031,False,,Celestino Gallares Street,secondary,True,91.112,"LINESTRING (123.8540007 9.6433094, 123.8542544 9.6425965, 123.8542758 9.6425362)",,,,,
47108001,False,2,Miguel Parras Street,tertiary,True,68.219,"LINESTRING (123.8566452 9.6439741, 123.8567038 9.6439008, 123.8570302 9.6434921)",,,,,
26137547,True,2,J. S. Torralba Street,residential,False,28.323,"LINESTRING (123.8569491 9.6417788, 123.8571125 9.6419761)",,,,,
53792240,True,2,E. Jacinto Street,residential,False,54.87,"LINESTRING (123.8569491 9.6417788, 123.8565668 9.6420973)",,,,,
26137547,True,2,J. S. Torralba Street,residential,False,77.912,"LINESTRING (123.8565018 9.6412343, 123.8569491 9.6417788)",,,,,
50715539,True,2,C. Marapao Street,unclassified,False,88.385,"LINESTRING (123.8565018 9.6412343, 123.8570148 9.6406211)",,,,,
26137543,True,2,Venancio P. Inting Avenue,primary,False,108.978,"LINESTRING (123.8585819 9.6375871, 123.8594755 9.6371577)",850,30,,,
1121098438,False,2,J.A. Clarin Street,secondary,False,150.931,"LINESTRING (123.8591477 9.6419259, 123.8585961 9.6412579, 123.8582686 9.6408814)",,30,,,
1121098438,False,2,J.A. Clarin Street,secondary,True,108.279,"LINESTRING (123.8591477 9.6419259, 123.8592302 9.6420128, 123.8598225 9.642637)",,30,,,
1132401149,False,,Miguel Parras Street,tertiary,False,65.201,"LINESTRING (123.8591477 9.6419259, 123.8594956 9.6416949, 123.8596354 9.6415906)",,,,,
1121098438,False,2,J.A. Clarin Street,secondary,True,77.337,"LINESTRING (123.8569208 9.6396753, 123.8574526 9.6401323)",,30,,,
"[320474573, 49040125]",True,2,Carlos P. Garcia East Avenue,primary,False,148.125,"LINESTRING (123.8569208 9.6396753, 123.8564433 9.640121, 123.8562442 9.6403097, 123.8559723 9.640622)",850,30,,,
47108001,False,2,Miguel Parras Street,tertiary,False,46.492,"LINESTRING (123.857819 9.6427911, 123.857484 9.6430475)",,,,,
48531869,False,,J. S. Torralba Street,residential,False,119.49,"LINESTRING (123.857819 9.6427911, 123.8585601 9.6435791)",,,,,
1168864308,False,2,Miguel Parras Street,tertiary,True,91.18599999999999,"LINESTRING (123.857819 9.6427911, 123.8579257 9.6427225, 123.8585115 9.6423368)",,,,,
26137543,True,2,Venancio P. Inting Avenue,primary,False,49.378,"LINESTRING (123.8562632 9.6389294, 123.8566382 9.6386834)",850,30,,,
49040131,False,2,J. A. Clarin Street,primary,True,56.568,"LINESTRING (123.8562632 9.6389294, 123.8564275 9.6391312, 123.8565926 9.6393209)",850,30,,,
26137544,True,,Del Rosario Street,primary,False,155.482,"LINESTRING (123.8594755 9.6371577, 123.8600159 9.6384505)",,30,,,
26137545,True,,Carlos P. Garcia East Avenue,primary,False,99.724,"LINESTRING (123.8600159 9.6384505, 123.8599971 9.6384558, 123.859141 9.6386961)",,30,,,
49040127,True,2,J. S. Torralba Street,primary,False,69.818,"LINESTRING (123.8559723 9.640622, 123.8557907 9.6403231, 123.8556262 9.6400955)",,30,,,
"[26137547, 813776127]",True,2,"['J.S. Torralba Street', 'J. S. Torralba Street']","['residential', 'tertiary']",False,89.47,"LINESTRING (123.8559723 9.640622, 123.856063 9.6407269, 123.8565018 9.6412343)",,,,,
"[813776128, 813776138]",False,4,Carlos P. Garcia North Avenue,primary,False,51.879999999999995,"LINESTRING (123.8559723 9.640622, 123.8559556 9.640719, 123.8558562 9.6410739)",850,"['40', '30']",yes,7,7
49040068,False,,Celestino Gallares Street,secondary,True,116.337,"LINESTRING (123.8553317 9.6397122, 123.8548515 9.6406452)",,,,,
49040126,False,2,J. S. Torralba Street,secondary,True,53.468,"LINESTRING (123.8553317 9.6397122, 123.8556262 9.6400955)",,,,,
1137152611,False,2,J. S. Torralba Street,secondary,True,70.609,"LINESTRING (123.8553317 9.6397122, 123.8549308 9.6392152)",,,,,
49040131,False,2,J. A. Clarin Street,primary,False,56.568,"LINESTRING (123.8565926 9.6393209, 123.8564275 9.6391312, 123.8562632 9.6389294)",850,30,,,
49040132,True,2,J. A. Clarin Street,primary,False,53.361999999999995,"LINESTRING (123.8565926 9.6393209, 123.8567441 9.6394845, 123.8569208 9.6396753)",850,30,,,
49040126,False,2,J. S. Torralba Street,secondary,False,53.468,"LINESTRING (123.8556262 9.6400955, 123.8553317 9.6397122)",,,,,
26137548,True,2,Sarmiento Street,primary,False,136.539,"LINESTRING (123.8556262 9.6400955, 123.856108 9.6397042, 123.8565926 9.6393209)",,30,,,
43055142,True,,M. H. del Pilar Street,tertiary,False,133.609,"LINESTRING (123.8554566 9.6437083, 123.8566452 9.6439741)",,,,,
1121098447,False,4,Carlos P. Garcia North Avenue,primary,True,109.46,"LINESTRING (123.8554566 9.6437083, 123.8554708 9.6435869, 123.8555596 9.6428287, 123.8555711 9.6427304)",850,30,yes,7,7
49040031,False,,Celestino Gallares Street,secondary,False,91.112,"LINESTRING (123.8542758 9.6425362, 123.8542544 9.6425965, 123.8540007 9.6433094)",,,,,
49040068,False,,Celestino Gallares Street,secondary,False,137.823,"LINESTRING (123.8542758 9.6425362, 123.8543335 9.642334, 123.8544182 9.6420368, 123.8546161 9.641343)",,,,,
49040068,False,,Celestino Gallares Street,secondary,False,116.337,"LINESTRING (123.8548515 9.6406452, 123.8553317 9.6397122)",,,,,
