osmid,highway,maxspeed,oneway,reversed,length,lanes,ref,name,geometry
97695353,residential,30,False,False,144.668,,,,"LINESTRING (120.4037461 16.8236468, 120.4050064 16.8231596)"
97695353,residential,30,False,True,103.582,,,,"LINESTRING (120.4037461 16.8236468, 120.4028302 16.8239617)"
777464591,trunk,30,False,True,91.96,4,2,Route 2,"LINESTRING (120.4037461 16.8236468, 120.4033923 16.8228923)"
97695360,unclassified,30,False,False,126.533,,,,"LINESTRING (120.4014103 16.8236683, 120.402507 16.8232291)"
777464589,secondary,30,False,True,18.962,,,Bacnotan-Luna-Balaoan Road,"LINESTRING (120.4014103 16.8236683, 120.4013438 16.8238265)"
777464589,secondary,30,False,False,156.62099999999998,,,Bacnotan-Luna-Balaoan Road,"LINESTRING (120.4014103 16.8236683, 120.4016587 16.8231061, 120.4017127 16.8230043, 120.4017813 16.822905, 120.4018347 16.8228284, 120.4018897 16.8227732, 120.4019502 16.822728, 120.4022388 16.8225605)"
97695362,unclassified,30,False,False,9.019,,,,"LINESTRING (120.4017465 16.8214368, 120.4017821 16.8215104)"
97695362,unclassified,30,False,True,62.232,,,,"LINESTRING (120.4017465 16.8214368, 120.4015064 16.8209265)"
97695365,residential,30,False,True,129.209,,,,"LINESTRING (120.4017465 16.8214368, 120.4006143 16.821856)"
97695354,residential,30,False,True,92.099,,,,"LINESTRING (120.4025729 16.8211742, 120.4017821 16.8215104)"
777464591,trunk,30,False,False,24.249,4,2,Route 2,"LINESTRING (120.4025729 16.8211742, 120.4026051 16.8212412, 120.402667 16.8213728)"
777464591,trunk,30,False,True,76.908,4,2,Route 2,"LINESTRING (120.4025729 16.8211742, 120.402529 16.8210819, 120.4022731 16.8205449)"
777464588,secondary,30,False,True,147.948,,,Santol Road,"LINESTRING (120.403073 16.8222355, 120.4043495 16.8217089)"
777464591,trunk,30,False,False,80.553,4,2,Route 2,"LINESTRING (120.403073 16.8222355, 120.4033923 16.8228923)"
777464589,secondary,30,False,True,95.862,,,Bacnotan-Luna-Balaoan Road,"LINESTRING (120.403073 16.8222355, 120.4028254 16.822332, 120.4024759 16.8224681, 120.4022388 16.8225605)"
777464591,trunk,30,False,True,105.21199999999999,4,2,Route 2,"LINESTRING (120.403073 16.8222355, 120.402903 16.8218781, 120.4027638 16.8215799, 120.4027215 16.8214888, 120.402667 16.8213728)"
97695361,unclassified,30,False,False,86.28,,,,"LINESTRING (120.4043495 16.8217089, 120.4040414 16.8209912)"
97695361,unclassified,30,False,True,81.434,,,,"LINESTRING (120.4043495 16.8217089, 120.4046596 16.8223784)"
777464588,secondary,30,False,False,147.948,,,Santol Road,"LINESTRING (120.4043495 16.8217089, 120.403073 16.8222355)"
777464588,secondary,30,False,True,135.368,,,Santol Road,"LINESTRING (120.4043495 16.8217089, 120.4050276 16.8214464, 120.4055227 16.8212392)"
97695354,residential,30,False,False,92.099,,,,"LINESTRING (120.4017821 16.8215104, 120.4025729 16.8211742)"
97695362,unclassified,30,False,False,30.979,,,,"LINESTRING (120.4017821 16.8215104, 120.4018991 16.8217655)"
97695362,unclassified,30,False,True,9.019,,,,"LINESTRING (120.4017821 16.8215104, 120.4017465 16.8214368)"
97695352,residential,30,False,False,122.817,,,,"LINESTRING (120.4046219 16.819438, 120.4051365 16.8204266)"
97695352,residential,30,False,True,86.231,,,,"LINESTRING (120.4046219 16.819438, 120.4042661 16.8187413)"
97695363,residential,30,False,True,124.736,,,,"LINESTRING (120.4046219 16.819438, 120.4035753 16.8199427)"
