osmid,lanes,ref,name,highway,oneway,reversed,length,bridge,geometry,tunnel
42693002,2,470,M.L. Quezon Street,primary,False,False,58.069,,"LINESTRING (121.9817544 12.3983694, 121.9818974 12.3978662)",
42693002,2,470,M.L. Quezon Street,primary,False,True,57.605,,"LINESTRING (121.9817544 12.3983694, 121.9816156 12.3988694)",
68558260,,,General Luna Street,residential,False,False,46.083,,"LINESTRING (121.9817544 12.3983694, 121.981348 12.3982502)",
1185860824,2,,General Luna Street,secondary,False,True,34.241,,"LINESTRING (121.9817544 12.3983694, 121.9820633 12.3984311)",
42693002,2,470,M.L. Quezon Street,primary,False,False,46.428,,"LINESTRING (121.9820568 12.3973338, 121.9821636 12.3969295)",
42693002,2,470,M.L. Quezon Street,primary,False,True,61.679,,"LINESTRING (121.9820568 12.3973338, 121.9818974 12.3978662)",
42694783,,,A Mabini Street,residential,False,False,32.02,,"LINESTRING (121.9820568 12.3973338, 121.9823413 12.3974094)",
42693002,2,470,M.L. Quezon Street,primary,False,False,25.59,,"LINESTRING (121.9809 12.4013367, 121.9809566 12.4011133)",
42693289,2,470,Festin Street,primary,False,False,47.7,,"LINESTRING (121.9809 12.4013367, 121.9813251 12.4014446)",
68558243,,,Festin Street,residential,False,True,90.187,,"LINESTRING (121.9809 12.4013367, 121.9800945 12.4011394)",
1185648704,,,M. L. Quezon Street,residential,False,False,19.398,,"LINESTRING (121.9809 12.4013367, 121.9808565 12.4015059)",
42693002,2,470,M.L. Quezon Street,primary,False,False,101.937,,"LINESTRING (121.9811705 12.4003327, 121.981436 12.3994534)",
42693002,2,470,M.L. Quezon Street,primary,False,True,34.964,,"LINESTRING (121.9811705 12.4003327, 121.9810819 12.400635)",
68558237,,,J P Rizal Street,residential,False,False,44.912,,"LINESTRING (121.9811705 12.4003327, 121.9815743 12.4004199)",
