osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,maxspeed,width,bridge
208374212,residential,False,True,150.89,"LINESTRING (121.6430504 18.0600326, 121.6422905 18.0602621, 121.6416873 18.0604349)",,,,,,
208374216,residential,False,False,124.63,"LINESTRING (121.6430504 18.0600326, 121.6429123 18.059585, 121.6427304 18.0589539)",,,,,,
208374216,residential,False,True,131.424,"LINESTRING (121.6430504 18.0600326, 121.6431503 18.0603551, 121.6432797 18.0608135, 121.6433863 18.0611705)",,,,,,
836316192,unclassified,False,False,45.351,"LINESTRING (121.6460766 18.0605203, 121.6459639 18.0605388, 121.6458667 18.0605432, 121.6456515 18.0605145)",,,,,,
208374212,residential,False,False,53.818,"LINESTRING (121.641205 18.0605898, 121.6416873 18.0604349)",,,,,,
"[208374210, 208374213]",residential,False,False,178.625,"LINESTRING (121.641205 18.0605898, 121.6410937 18.0603647, 121.641028 18.0601951, 121.6410065 18.0601021, 121.6409972 18.0599446, 121.640973 18.0596207, 121.6409522 18.0593389, 121.6412808 18.0592866)",,,,,,
208374210,residential,False,True,181.487,"LINESTRING (121.641205 18.0605898, 121.6415966 18.0615913, 121.6416292 18.0616624, 121.6416602 18.0616851, 121.6416915 18.0616952, 121.6417559 18.0616869, 121.6421113 18.0615757)",,,,,,
208374221,residential,False,False,144.488,"LINESTRING (121.6424091 18.0627342, 121.6428484 18.0626336, 121.6437444 18.0624577)",,,,,,
339317927,trunk,False,False,132.644,"LINESTRING (121.6424091 18.0627342, 121.6422744 18.0621543, 121.6421113 18.0615757)",2,1,Maharlika Highway,80,6.7,
"[339317259, 339317924, 339317927]",trunk,False,True,196.745,"LINESTRING (121.6424091 18.0627342, 121.6424569 18.0630212, 121.6425119 18.0632871, 121.6425788 18.0635489, 121.6426549 18.0637609, 121.6427204 18.0639207, 121.6429907 18.0643989)",2,1,Maharlika Highway,80,6.7,yes
836316192,unclassified,False,True,142.119,"LINESTRING (121.6421113 18.0615757, 121.6433863 18.0611705)",,,,,,
208374210,residential,False,False,181.48700000000002,"LINESTRING (121.6421113 18.0615757, 121.6417559 18.0616869, 121.6416915 18.0616952, 121.6416602 18.0616851, 121.6416292 18.0616624, 121.6415966 18.0615913, 121.641205 18.0605898)",,,,,,
339317927,trunk,False,False,134.55,"LINESTRING (121.6421113 18.0615757, 121.6419283 18.0610582, 121.6416873 18.0604349)",2,1,Maharlika Highway,80,6.7,
339317927,trunk,False,True,132.644,"LINESTRING (121.6421113 18.0615757, 121.6422744 18.0621543, 121.6424091 18.0627342)",2,1,Maharlika Highway,80,6.7,
208374216,residential,False,True,47.724,"LINESTRING (121.6404983 18.056173, 121.6408791 18.0564035)",,,,,,
"[339318168, 339317927, 339318167]",trunk,False,True,367.13,"LINESTRING (121.6404983 18.056173, 121.6403958 18.057121, 121.6403918 18.0573298, 121.6404119 18.0574455, 121.6404714 18.0575746, 121.6406092 18.0578191, 121.6408278 18.0582056, 121.6409942 18.0585323, 121.6411313 18.0588633, 121.6411559 18.0589204, 121.6412808 18.0592866)",2,1,Maharlika Highway,80,6.7,yes
836316192,unclassified,False,False,142.119,"LINESTRING (121.6433863 18.0611705, 121.6421113 18.0615757)",,,,,,
208374216,residential,False,False,131.424,"LINESTRING (121.6433863 18.0611705, 121.6432797 18.0608135, 121.6431503 18.0603551, 121.6430504 18.0600326)",,,,,,
