osmid,highway,oneway,reversed,length,geometry,ref,name,maxspeed,lanes,bridge
98592897,residential,False,True,144.418,"LINESTRING (122.4746132 10.6913488, 122.4744796 10.6908821, 122.474351 10.690078)",,,,,
246998314,primary,False,False,257.76800000000003,"LINESTRING (122.4746132 10.6913488, 122.4751633 10.6913065, 122.4753093 10.6912985, 122.475682 10.6912753, 122.4769673 10.6911988)",501,Iloilo R-1 Road,50,,
247006855,secondary,False,True,132.87,"LINESTRING (122.4746132 10.6913488, 122.4746977 10.6916359, 122.474768 10.6918414, 122.4749854 10.6924862)",,Oton – Mambog – Cabolo-an – Abilay – San Jose Road,,2,
98592864,residential,False,False,155.34,"LINESTRING (122.4794278 10.6922528, 122.4790272 10.6909124)",,,,,
306786164,primary,False,False,7.712,"LINESTRING (122.4794278 10.6922528, 122.4794901 10.6922854)",501,Iloilo R-1 Road,50,,
306786164,primary,False,True,97.761,"LINESTRING (122.4794278 10.6922528, 122.4793212 10.6922642, 122.4790543 10.6923443, 122.4788247 10.6924165, 122.4786926 10.692462, 122.4786366 10.6924742, 122.4785669 10.6924808)",501,Iloilo R-1 Road,50,,
247006855,secondary,False,False,113.123,"LINESTRING (122.4761588 10.6957381, 122.4757868 10.6947887)",,Oton – Mambog – Cabolo-an – Abilay – San Jose Road,,2,
70406566,tertiary,False,True,288.126,"LINESTRING (122.4761588 10.6957381, 122.4781981 10.6950096, 122.4786371 10.6948528)",,,,,
98592862,unclassified,False,True,235.86,"LINESTRING (122.4755693 10.694182, 122.4776203 10.6935206)",,F. Zulueta Street,,,
247006855,secondary,False,False,75.292,"LINESTRING (122.4755693 10.694182, 122.4753552 10.6935384)",,Oton – Mambog – Cabolo-an – Abilay – San Jose Road,,2,
247006855,secondary,False,True,71.526,"LINESTRING (122.4755693 10.694182, 122.4757868 10.6947887)",,Oton – Mambog – Cabolo-an – Abilay – San Jose Road,,2,
98592857,unclassified,False,False,153.219,"LINESTRING (122.4753552 10.6935384, 122.47669 10.6931161)",,Rizal Street,,,
