osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,junction,access,width,bridge
"[771108913, 771098666, 4263555, 771123442]",True,3,San Francisco Avenue,secondary,40,False,480.813,"LINESTRING (121.0331371 14.5767939, 121.0330534 14.5767151, 121.0320615 14.5757256, 121.0318402 14.5755224, 121.0317792 14.5754674, 121.0317469 14.5754351, 121.0314405 14.5751313, 121.0304859 14.5742008, 121.0303469 14.5740623, 121.0299909 14.5737243)",,,,
"[771081536, 664749271]",True,3,Maysilo Circle,secondary,,False,11.897,"LINESTRING (121.0331371 14.5767939, 121.033168 14.5767599, 121.0332035 14.576727, 121.0332151 14.5767184)",circular,,,
771098672,False,2,Sanggumay Street,residential,,False,7.04,"LINESTRING (121.035516 14.5787469, 121.0355677 14.5787081)",,,,
"[4263562, 771098667]",True,2,F. Martinez Avenue,secondary,40,False,62.080999999999996,"LINESTRING (121.035516 14.5787469, 121.0354295 14.5786001, 121.0353445 14.5784822, 121.0352934 14.578423, 121.0352505 14.5783864, 121.0351611 14.5783136)",,,,
4263562,True,2,F. Martinez Avenue,secondary,40,False,31.581,"LINESTRING (121.0356543 14.5789974, 121.035516 14.5787469)",,,,
680270789,True,2,San Rafael Street,tertiary,,False,172.127,"LINESTRING (121.0356543 14.5789974, 121.0342143 14.5796712)",,,,
570029844,False,2,San Rafael Street,tertiary,,True,5.586,"LINESTRING (121.0356543 14.5789974, 121.0356862 14.5789813, 121.0357 14.5789736)",,,,
695905155,False,,Private Road,residential,20,True,15.49,"LINESTRING (121.0300105 14.5735551, 121.0298923 14.5736346)",,,,
771123441,True,3,San Francisco Avenue,secondary,40,False,13.593,"LINESTRING (121.0300105 14.5735551, 121.0300905 14.5736497)",,,,
"[4263559, 771088863]",True,2,Boni Avenue,secondary,40,False,65.132,"LINESTRING (121.0330891 14.578148, 121.0330163 14.5781994, 121.0326939 14.5784846, 121.0326354 14.578535)",,,,
771088866,True,3,Maysilo Circle,secondary,40,False,11.559000000000001,"LINESTRING (121.0330891 14.578148, 121.0330553 14.5781106, 121.0330181 14.57807)",circular,,,
771088878,False,2,Sergeant Bumatay Street,tertiary,,True,37.067,"LINESTRING (121.0338984 14.5764117, 121.033888 14.5760785)",,,,
"[771088873, 770553699, 4263556]",True,3,Maysilo Circle,secondary,40,False,95.823,"LINESTRING (121.0338984 14.5764117, 121.0339754 14.5764082, 121.0341256 14.5764177, 121.0342307 14.5764467, 121.0343128 14.5764739, 121.034423 14.5765228, 121.0345383 14.5765834, 121.0345823 14.576615, 121.0346107 14.5766318, 121.0346523 14.5766677, 121.0346977 14.5767199)",circular,,,
770553698,True,3,Maysilo Circle,secondary,40,False,11.748,"LINESTRING (121.0346977 14.5767199, 121.0347655 14.5768027)",circular,,,
1016539592,True,2,Boni Avenue,secondary,40,False,68.35,"LINESTRING (121.0346977 14.5767199, 121.0347687 14.576624, 121.034865 14.5764948, 121.0349647 14.576361, 121.0350757 14.5762261)",,,,
695905155,False,,Private Road,residential,20,False,15.49,"LINESTRING (121.0298923 14.5736346, 121.0300105 14.5735551)",,,,
"[4263560, 771098668]",True,2,F. Martinez Avenue,secondary,40,False,68.88,"LINESTRING (121.0347478 14.5778625, 121.0347862 14.5779314, 121.0348159 14.5779803, 121.0348688 14.5780528, 121.0349293 14.5781046, 121.0352128 14.5782644)",,,,
"[770553706, 770553708]",True,3,Maysilo Circle,secondary,40,False,45.857,"LINESTRING (121.0347478 14.5778625, 121.0346351 14.5780154, 121.0345362 14.5781068, 121.0344662 14.5781694)",circular,,,
"[395299120, 771088868, 770553710]",True,3,Maysilo Circle,secondary,40,False,164.46099999999998,"LINESTRING (121.0344662 14.5781694, 121.0343925 14.5782204, 121.0343567 14.5782437, 121.0341395 14.5783517, 121.0341026 14.5783627, 121.0339121 14.5784195, 121.033792 14.578432, 121.0336587 14.5784313, 121.0335633 14.5784236, 121.0334643 14.5783961, 121.0333502 14.5783457, 121.0332529 14.578289, 121.0331516 14.5782172, 121.0330891 14.578148)",circular,,,
34368347,False,2,Maria Clara Street,residential,,False,39.569,"LINESTRING (121.0353947 14.5737488, 121.0356969 14.5739515)",,,,
696561456,False,2,Sergeant Bumatay Street,tertiary,,False,321.11299999999994,"LINESTRING (121.0353947 14.5737488, 121.0353416 14.5737828, 121.035256 14.5738084, 121.0350984 14.5738618, 121.0350137 14.5739081, 121.0349229 14.5739803, 121.0347509 14.5741573, 121.0346684 14.5742631, 121.0345581 14.5744108, 121.0343419 14.5747535, 121.0342432 14.5749453, 121.03414 14.575147, 121.0340755 14.575291, 121.0339973 14.5754866, 121.033911 14.5757891, 121.0338905 14.5759245, 121.033888 14.5760785)",,,,
770547924,False,2,Sergeant Bumatay Street,tertiary,,True,57.074,"LINESTRING (121.0353947 14.5737488, 121.0354033 14.5736725, 121.0353486 14.5732392)",,,,
616818168,False,2,San Rafael Street,tertiary,,False,9.869,"LINESTRING (121.0303101 14.5805315, 121.0302677 14.5804528)",,,,
"[680275201, 776324539]",False,2,San Rafael Street,tertiary,,False,155.018,"LINESTRING (121.0303101 14.5805315, 121.0308051 14.5814459, 121.0309819 14.5817647)",,,,
"[771352867, 695881357]",True,2,Boni Avenue,secondary,40,False,84.85199999999999,"LINESTRING (121.0303101 14.5805315, 121.0299881 14.5808037, 121.0298398 14.5809291, 121.029783 14.5809771, 121.0297169 14.5810342)",,,,
133340459,False,2,Primo Cruz Street,tertiary,30,False,10.487,"LINESTRING (121.0293503 14.5814351, 121.029305 14.5813516)",,,,
695887170,False,,South Sikap Street,residential,,False,8.847,"LINESTRING (121.0363266 14.5757725, 121.0363099 14.5758504)",,,,
