osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,access
47244775,True,1,F. Calderon Street,tertiary,40,False,51.394,"LINESTRING (123.897817 10.2936649, 123.8979272 10.2932156)",,
236094247,False,4,Magallanes Street,tertiary,40,True,39.841,"LINESTRING (123.897817 10.2936649, 123.8978851 10.2937014, 123.898079 10.2938006, 123.8981396 10.2938311)",,
28909514,True,,Lincoln Street,tertiary,,False,96.263,"LINESTRING (123.8979272 10.2932156, 123.8987871 10.293399)",,
236483877,True,1,F. Calderon Street,tertiary,40,False,89.959,"LINESTRING (123.8979272 10.2932156, 123.8979973 10.2929343, 123.8980633 10.2926697, 123.8981391 10.2924343)",,
28909514,True,,Lincoln Street,tertiary,,False,100.224,"LINESTRING (123.8987871 10.293399, 123.8996698 10.2931579)",,
235390029,True,,Manalili Street,tertiary,,False,116.558,"LINESTRING (123.8987871 10.293399, 123.8984819 10.2923947)",,
28909519,True,,F. Gonzales Street,tertiary,,False,95.598,"LINESTRING (123.9003397 10.2929625, 123.9001034 10.2921348)",,
236483873,True,,F. Gonzales Street,tertiary,,False,125.077,"LINESTRING (123.9003397 10.2929625, 123.9005997 10.2939026, 123.9006416 10.2940474)",,
94079775,False,,F. Gonzales Street,tertiary,,False,78.777,"LINESTRING (123.9001034 10.2921348, 123.9002667 10.2914448)",,
237587813,True,4,M.C. Briones Street,tertiary,40,False,114.238,"LINESTRING (123.9001034 10.2921348, 123.9010137 10.2923483, 123.9011193 10.2923722)",,
82172582,False,4,M.C. Briones Street,tertiary,40,True,92.132,"LINESTRING (123.9022468 10.2926578, 123.9023311 10.2926436, 123.9030368 10.2923752)",,
94079773,False,4,P. Burgos Street,unclassified,,False,95.813,"LINESTRING (123.9022468 10.2926578, 123.902185 10.2925221, 123.9019629 10.2919908, 123.9019206 10.2918964, 123.9019061 10.2918641)",,
237684337,False,4,M.C. Briones Street,tertiary,40,False,127.494,"LINESTRING (123.9022468 10.2926578, 123.9021356 10.2926425, 123.9019818 10.2926021, 123.9016958 10.2925153, 123.9011193 10.2923722)",,
47244772,True,2,Lapu-Lapu Street,tertiary,30,False,89.80199999999999,"LINESTRING (123.9030368 10.2923752, 123.903173 10.2926772, 123.9032179 10.2927719, 123.9033375 10.293032, 123.9033412 10.29304, 123.9033753 10.2931109)",,
47244773,False,4,M.C. Briones Street,tertiary,40,True,95.487,"LINESTRING (123.9030368 10.2923752, 123.903154 10.2923267, 123.9037816 10.2920757, 123.9038444 10.2920496)",,
82172582,False,4,M.C. Briones Street,tertiary,40,False,92.132,"LINESTRING (123.9030368 10.2923752, 123.9023311 10.2926436, 123.9022468 10.2926578)",,
235636767,True,2,Lapu-Lapu Street,tertiary,30,False,26.132,"LINESTRING (123.9037613 10.2939088, 123.9038719 10.2941171)",,
235636728,False,4,Osmeña Boulevard,secondary,40,False,22.942,"LINESTRING (123.9037613 10.2939088, 123.9038171 10.2938855, 123.9039523 10.2938237)",,
237599374,False,4,Osmeña Boulevard,secondary,40,True,86.972,"LINESTRING (123.9037613 10.2939088, 123.9036831 10.2939436, 123.9030392 10.2942359)",,
235636728,False,4,Osmeña Boulevard,secondary,40,False,7.991,"LINESTRING (123.9045544 10.2935836, 123.9046203 10.2935526)",,
235636728,False,4,Osmeña Boulevard,secondary,40,True,71.078,"LINESTRING (123.9045544 10.2935836, 123.9039523 10.2938237)",,
235390026,True,2,M.J. Cuenco Avenue,secondary,40,False,95.237,"LINESTRING (123.9045544 10.2935836, 123.9043811 10.293207, 123.9041876 10.2928069)",,
926502409,True,2,M.J. Cuenco Avenue,secondary,40,False,9.111,"LINESTRING (123.9050468 10.2945867, 123.9049847 10.2945321)",,
"[237748765, 82162374]",False,4,M.J. Cuenco Avenue,secondary,40,False,37.339,"LINESTRING (123.9050468 10.2945867, 123.905109 10.2947403, 123.9051355 10.2948029, 123.905174 10.2948983)",,
235390029,True,,Manalili Street,tertiary,,False,110.517,"LINESTRING (123.8990873 10.294348, 123.8987871 10.293399)",,
47244780,True,4,A. Borromeo Street,tertiary,30,False,154.10899999999998,"LINESTRING (123.8990873 10.294348, 123.8989822 10.2944577, 123.8988981 10.2944938, 123.8987069 10.2945699, 123.8984216 10.2946832, 123.8980163 10.2948532, 123.8978224 10.2949303)",,
82162375,False,4,Magallanes Street,tertiary,40,True,99.82100000000001,"LINESTRING (123.8990873 10.294348, 123.8991456 10.2943379, 123.8992273 10.2943308, 123.8993102 10.2943276, 123.8995801 10.2943239, 123.8997185 10.2943102, 123.899876 10.2942686, 123.8999876 10.294237)",,
236094246,False,4,Magallanes Street,tertiary,40,False,119.074,"LINESTRING (123.8990873 10.294348, 123.8989934 10.2942708, 123.8989273 10.2942161, 123.8988565 10.2941788, 123.8987734 10.294135, 123.8982289 10.2938736, 123.8981396 10.2938311)",,
236094246,False,4,Magallanes Street,tertiary,40,True,119.074,"LINESTRING (123.8981396 10.2938311, 123.8982289 10.2938736, 123.8987734 10.294135, 123.8988565 10.2941788, 123.8989273 10.2942161, 123.8989934 10.2942708, 123.8990873 10.294348)",,
236094247,False,4,Magallanes Street,tertiary,40,False,39.841,"LINESTRING (123.8981396 10.2938311, 123.898079 10.2938006, 123.8978851 10.2937014, 123.897817 10.2936649)",,
28909516,True,2,P. Lopez Street,tertiary,30,False,127.429,"LINESTRING (123.8978224 10.2949303, 123.8978554 10.2948179, 123.8978649 10.2947702, 123.898035 10.2940781, 123.898097 10.2939071, 123.8981396 10.2938311)",,
28909518,True,3,Manalili Street,tertiary,,False,168.353,"LINESTRING (123.8995266 10.2957899, 123.8994481 10.2956877, 123.8992906 10.2950945, 123.8990873 10.294348)",,
