osmid,oneway,highway,reversed,length,ref,name,bridge,geometry,lanes
43147748,False,tertiary,True,79.547,,,,"LINESTRING (122.231701 10.6414435, 122.2319162 10.6407601)",
187763983,False,unclassified,False,92.453,,,,"LINESTRING (122.2322111 10.6399808, 122.2319162 10.6407601)",
43147748,False,tertiary,False,79.547,,,,"LINESTRING (122.2319162 10.6407601, 122.231701 10.6414435)",
187763983,False,unclassified,True,92.453,,,,"LINESTRING (122.2319162 10.6407601, 122.2322111 10.6399808)",
"[1114851912, 274834763, 308075542]",False,primary,"[False, True]",183.16400000000002,501,Zulueta Avenue,yes,"LINESTRING (122.2319162 10.6407601, 122.23226 10.640863, 122.2326741 10.6409743, 122.2329393 10.6410347, 122.2331375 10.6410729, 122.233325 10.6411077, 122.2335447 10.6411413)",
308075542,False,primary,True,102.073,501,Zulueta Avenue,,"LINESTRING (122.2335447 10.6411413, 122.2344761 10.6412101)",
186076798,False,residential,True,328.934,,Santillan,,"LINESTRING (122.2335447 10.6411413, 122.2334923 10.6409332, 122.2334397 10.6407267, 122.2333966 10.6405666, 122.2333636 10.6403962, 122.2333685 10.6402705, 122.2333813 10.6401493, 122.2334062 10.6400175, 122.2334158 10.6398146, 122.2334135 10.6396036, 122.2334027 10.639473, 122.2333708 10.6393561, 122.2333674 10.6392407, 122.2333726 10.6392029, 122.2333839 10.6391196, 122.2333998 10.6390065, 122.2333772 10.6389137, 122.2333311 10.6388323, 122.2332586 10.63874, 122.2332383 10.6386562, 122.2332403 10.6385852, 122.2332694 10.6385094, 122.2332622 10.6383704, 122.2332628 10.6382608)",
"[1114851912, 274834763, 308075542]",False,primary,"[False, True]",183.16400000000002,501,Zulueta Avenue,yes,"LINESTRING (122.2335447 10.6411413, 122.233325 10.6411077, 122.2331375 10.6410729, 122.2329393 10.6410347, 122.2326741 10.6409743, 122.23226 10.640863, 122.2319162 10.6407601)",
308075542,False,primary,False,102.073,501,Zulueta Avenue,,"LINESTRING (122.2344761 10.6412101, 122.2335447 10.6411413)",
186076060,False,residential,False,126.26500000000001,,Hinolan,,"LINESTRING (122.2344761 10.6412101, 122.2345166 10.6410269, 122.2347718 10.6406706, 122.2350879 10.6402632)",
308075542,False,primary,True,74.564,501,Zulueta Avenue,,"LINESTRING (122.2344761 10.6412101, 122.2347038 10.6412281, 122.2349322 10.6412423, 122.2350978 10.6412537, 122.2351568 10.6412531)",
308075543,True,primary,False,10.292,501,Zulueta Avenue,,"LINESTRING (122.2351568 10.6412531, 122.2352504 10.6412429)",
308075542,False,primary,False,74.564,501,Zulueta Avenue,,"LINESTRING (122.2351568 10.6412531, 122.2350978 10.6412537, 122.2349322 10.6412423, 122.2347038 10.6412281, 122.2344761 10.6412101)",
298345689,True,unclassified,False,87.222,,Mueda,,"LINESTRING (122.2360217 10.6400069, 122.236408 10.6393205)",
186076807,False,residential,False,105.92599999999999,,Legaspi,,"LINESTRING (122.2360217 10.6400069, 122.2366507 10.6404024, 122.2368033 10.6404967, 122.23684 10.6405174)",
186076807,False,residential,True,69.113,,Legaspi,,"LINESTRING (122.2360217 10.6400069, 122.235724 10.6398179, 122.2354913 10.6396684)",
186076061,False,residential,True,59.64,,Nonato,,"LINESTRING (122.236408 10.6393205, 122.2359727 10.638997)",
"[186076800, 298742858, 186076059]",False,residential,"[False, True]",386.49800000000005,,"['Mueda', 'Octaviano']",,"LINESTRING (122.236408 10.6393205, 122.2366193 10.6389969, 122.2367127 10.638777, 122.2367761 10.6385553, 122.236815 10.6383118, 122.2368433 10.6381205, 122.2368469 10.6379675, 122.2368185 10.6377622, 122.2370052 10.6377009, 122.237214 10.6376383, 122.2374547 10.6375791, 122.2375306 10.6375553, 122.2377658 10.6383307, 122.237797 10.638463, 122.2378167 10.6385711, 122.2378237 10.6386083)",
