osmid,name,highway,oneway,reversed,length,lanes,geometry,access,bridge
630175322,G. Escario Street,residential,False,True,20.177,,"LINESTRING (123.7164282 11.1707772, 123.7162643 11.1706931)",,
157402559,President M. L. Quezon Street,secondary,True,False,102.218,2,"LINESTRING (123.718872 11.1673215, 123.7183232 11.1680666)",,
630175324,I. R. Escario Street,secondary,True,False,43.332,1,"LINESTRING (123.718872 11.1673215, 123.7185463 11.1671605, 123.718517 11.1671467)",,
"[157402552, 1053081411, 670380451]","['Andrada Street', 'A. Otero Street', 'D. Jakosalem Street']",residential,False,False,208.57800000000003,2,"LINESTRING (123.7226828 11.1688989, 123.7226104 11.1691108, 123.7225564 11.1692667, 123.7215448 11.1688606, 123.7214917 11.1688385, 123.7216327 11.1685075)",,
"[670143747, 670380452]","['D. Jakosalem Street', 'F. Escario Street']",residential,False,True,180.597,,"LINESTRING (123.7226828 11.1688989, 123.7229446 11.1682548, 123.7229851 11.1681527, 123.7222339 11.1677905)",,
1057716196,Rizal Avenue,secondary,False,False,95.081,2,"LINESTRING (123.7226828 11.1688989, 123.7224918 11.168844, 123.7221247 11.1687224, 123.7218615 11.1686149)",,
1057716196,Rizal Avenue,secondary,False,True,74.468,2,"LINESTRING (123.7226828 11.1688989, 123.7231232 11.1689883, 123.7233517 11.1690325)",,
402580171,,secondary,True,False,21.452,1,"LINESTRING (123.7189739 11.1671565, 123.718872 11.1673215)",destination,
816390297,R. Arcenas Street,unclassified,False,False,8.555,,"LINESTRING (123.7178298 11.1663152, 123.7178073 11.1663889)",,
816390297,R. Arcenas Street,unclassified,False,True,15.203,,"LINESTRING (123.7178298 11.1663152, 123.7178754 11.166186)",,
38518996,P. Lozada Street,unclassified,True,False,72.96600000000001,,"LINESTRING (123.7178298 11.1663152, 123.7180924 11.1664438, 123.7184225 11.1666191)",,
38518993,"President S. Osmeña, Sr. Street",secondary,True,False,116.915,3,"LINESTRING (123.7184225 11.1666191, 123.7185983 11.1663039, 123.7187588 11.1660161, 123.7188272 11.1658956, 123.7189393 11.165698)",,
46873791,"President S. Osmeña, Sr. Street",tertiary,True,False,27.191,,"LINESTRING (123.7189393 11.165698, 123.719061 11.1654846)",,
630175329,Cong. N. Escario Street,secondary,True,False,52.141,2,"LINESTRING (123.7189393 11.165698, 123.7193516 11.1659352)",,
38518993,"President S. Osmeña, Sr. Street",secondary,True,False,40.941,3,"LINESTRING (123.7182053 11.1669931, 123.7183367 11.1667669, 123.7183911 11.1666732)",,
816392500,Cong. N. Escario Street,tertiary,True,False,48.634,2,"LINESTRING (123.7196091 11.1661062, 123.7199818 11.1663462)",,
630175328,President M. L. Quezon Street,secondary,True,False,127.50200000000001,3,"LINESTRING (123.7196091 11.1661062, 123.7195301 11.1662078, 123.7193139 11.1665598, 123.7192428 11.1666757, 123.7191711 11.1668055, 123.7190132 11.1670912)",,
157402559,President M. L. Quezon Street,secondary,True,False,91.354,2,"LINESTRING (123.7173457 11.1693994, 123.7168599 11.1700686)",,
1053082448,A. Bonifacio Street,residential,False,False,139.33499999999998,,"LINESTRING (123.7173457 11.1693994, 123.7178622 11.1697685, 123.7184077 11.1700936)",,
"[1053082448, 1074571453]",A. Bonifacio Street,residential,False,"[False, True]",38.983000000000004,,"LINESTRING (123.7173457 11.1693994, 123.7172045 11.1693139, 123.7170317 11.1692331)",,
234537886,"President S. Osmeña, Sr. Street",residential,False,True,226.884,,"LINESTRING (123.7206627 11.1623018, 123.7202511 11.1632893, 123.7199842 11.1640021, 123.7198672 11.1641829)",,
157402452,L. Aguilar Street,residential,False,True,145.787,,"LINESTRING (123.7214593 11.1636214, 123.720752 11.1647338)",,
157402495,M. Logarta Street,tertiary,True,False,28.679,,"LINESTRING (123.7198672 11.1641829, 123.7200872 11.1643241)",,
670374772,M. Logarta Street,residential,False,False,55.192,,"LINESTRING (123.7198672 11.1641829, 123.7194389 11.1639187)",,
234537886,"President S. Osmeña, Sr. Street",residential,False,False,226.884,,"LINESTRING (123.7198672 11.1641829, 123.7199842 11.1640021, 123.7202511 11.1632893, 123.7206627 11.1623018)",,
234537885,President M. L. Quezon Street,tertiary,True,False,106.791,,"LINESTRING (123.7205318 11.1646042, 123.7200187 11.1654221)",,
1154327820,M. Logarta Street,residential,False,True,28.013,2,"LINESTRING (123.7205318 11.1646042, 123.720752 11.1647338)",,
157402452,L. Aguilar Street,residential,False,False,145.787,,"LINESTRING (123.720752 11.1647338, 123.7214593 11.1636214)",,
157402482,L. Aguilar Street,residential,False,True,82.925,2,"LINESTRING (123.720752 11.1647338, 123.7204536 11.1654197)",,
1154327820,M. Logarta Street,residential,False,False,28.013,2,"LINESTRING (123.720752 11.1647338, 123.7205318 11.1646042)",,
157402482,L. Aguilar Street,residential,False,False,115.224,2,"LINESTRING (123.7199818 11.1663462, 123.7201087 11.1661292, 123.7204536 11.1654197)",,
"[816392500, 38518991]","['L. Aguilar Extension', 'Cong. N. Escario Street']",tertiary,True,False,164.34,2,"LINESTRING (123.7199818 11.1663462, 123.7203427 11.1665903, 123.7198435 11.1675167)",,
157402569,Tereplen Street,residential,False,True,128.79,,"LINESTRING (123.7197863 11.1675585, 123.7192264 11.1685782)",,
816392498,,tertiary,False,True,7.781,2,"LINESTRING (123.7197863 11.1675585, 123.7198435 11.1675167)",,
219734242,Rizal Avenue,secondary,True,False,99.26299999999999,,"LINESTRING (123.7197863 11.1675585, 123.7197511 11.1675395, 123.7189739 11.1671565)",,
46873790,P. Ybañez Street,residential,False,False,86.309,,"LINESTRING (123.7175342 11.1676381, 123.7178652 11.1669331)",,
46873790,P. Ybañez Street,residential,False,True,92.413,,"LINESTRING (123.7175342 11.1676381, 123.7171304 11.1683687)",,
157402536,Zamora Street,residential,False,True,32.017,,"LINESTRING (123.7175342 11.1676381, 123.7177954 11.1677694)",,
1266342036,,residential,False,True,59.496,,"LINESTRING (123.7175342 11.1676381, 123.7173314 11.167531, 123.7170544 11.1673837)",,
157402511,Capt. Manuel Tawi Street,residential,False,False,100.271,,"LINESTRING (123.7222339 11.1677905, 123.7220275 11.1682416, 123.7218753 11.1685867, 123.7218615 11.1686149)",,
157402511,Capt. Manuel Tawi Street,residential,False,True,78.087,,"LINESTRING (123.7222339 11.1677905, 123.7222626 11.1676702, 123.7222652 11.1675754, 123.7222921 11.1673781, 123.722284 11.1672412, 123.7222894 11.1671623, 123.7222948 11.1670939)",,
"[670143747, 670380452]","['D. Jakosalem Street', 'F. Escario Street']",residential,False,False,180.597,,"LINESTRING (123.7222339 11.1677905, 123.7229851 11.1681527, 123.7229446 11.1682548, 123.7226828 11.1688989)",,
"[670143747, 1053079860]","['Andrada Street', 'F. Escario Street']",residential,False,True,125.91999999999999,2,"LINESTRING (123.7222339 11.1677905, 123.7220345 11.1676864, 123.7216327 11.1685075)",,
157402414,"President S. Osmeña, Sr. Street",secondary,True,False,86.916,2,"LINESTRING (123.7177954 11.1677694, 123.7181528 11.1670708)",,
157402536,Zamora Street,residential,False,False,32.017,,"LINESTRING (123.7177954 11.1677694, 123.7175342 11.1676381)",,
157402536,Zamora Street,residential,False,True,34.446,,"LINESTRING (123.7177954 11.1677694, 123.7180703 11.1679218)",,
157402536,Zamora Street,residential,False,False,34.446,,"LINESTRING (123.7180703 11.1679218, 123.7177954 11.1677694)",,
157402536,Zamora Street,residential,False,True,31.943,,"LINESTRING (123.7180703 11.1679218, 123.7183232 11.1680666)",,
157402550,,residential,False,True,99.01,,"LINESTRING (123.7180703 11.1679218, 123.718517 11.1671467)",,
157402550,,residential,False,False,91.035,,"LINESTRING (123.7180703 11.1679218, 123.7176729 11.1685389, 123.7176357 11.1686198)",,
157402536,Zamora Street,residential,False,False,31.943,,"LINESTRING (123.7183232 11.1680666, 123.7180703 11.1679218)",,
157402559,President M. L. Quezon Street,secondary,True,False,90.696,2,"LINESTRING (123.7183232 11.1680666, 123.7178361 11.1687276)",,
157402536,Zamora Street,residential,False,True,113.912,,"LINESTRING (123.7183232 11.1680666, 123.7187721 11.1683502, 123.7192264 11.1685782)",,
46873790,P. Ybañez Street,residential,False,False,92.413,,"LINESTRING (123.7171304 11.1683687, 123.7175342 11.1676381)",,
157402538,P. Ybañez Street,residential,False,False,90.704,,"LINESTRING (123.7171304 11.1683687, 123.7167505 11.1690943)",,
1159208519,Gomez Street,residential,False,False,33.86,,"LINESTRING (123.7171304 11.1683687, 123.7174143 11.1684918)",,
1266342035,,residential,False,True,68.857,,"LINESTRING (123.7171304 11.1683687, 123.7169994 11.1683053, 123.7167701 11.1681908, 123.7165596 11.1681053)",,
157402414,"President S. Osmeña, Sr. Street",secondary,True,False,90.448,2,"LINESTRING (123.7174143 11.1684918, 123.7177954 11.1677694)",,
1159208519,Gomez Street,residential,False,False,28.034,,"LINESTRING (123.7174143 11.1684918, 123.7176357 11.1686198)",,
1159208519,Gomez Street,residential,False,True,33.86,,"LINESTRING (123.7174143 11.1684918, 123.7171304 11.1683687)",,
1057716196,Rizal Avenue,secondary,False,True,27.67,2,"LINESTRING (123.7216327 11.1685075, 123.7218615 11.1686149)",,
"[670143747, 1053079860]","['Andrada Street', 'F. Escario Street']",residential,False,False,125.91999999999999,2,"LINESTRING (123.7216327 11.1685075, 123.7220345 11.1676864, 123.7222339 11.1677905)",,
"[157402552, 1053081411, 670380451]","['Andrada Street', 'A. Otero Street', 'D. Jakosalem Street']",residential,False,True,208.578,2,"LINESTRING (123.7216327 11.1685075, 123.7214917 11.1688385, 123.7215448 11.1688606, 123.7225564 11.1692667, 123.7226104 11.1691108, 123.7226828 11.1688989)",,
