osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,bridge,width,access
146153944,Burgos Street,tertiary,False,False,167.358,"LINESTRING (120.2342071 14.8782008, 120.2338289 14.8782976, 120.2326933 14.8785535)",,,,,
"[146155187, 255631676]",,"['residential', 'unclassified']",False,"[False, True]",206.099,"LINESTRING (120.2342071 14.8782008, 120.2341211 14.8780264, 120.2339925 14.877799, 120.2339477 14.8777326, 120.2334374 14.8778389, 120.2326127 14.87802)",,,,,
737786756,Zambales Highway,primary,False,False,90.584,"LINESTRING (120.2342071 14.8782008, 120.2342256 14.8781374, 120.2342572 14.8780643, 120.2343314 14.8779737, 120.2344697 14.8778682, 120.2345507 14.8778183, 120.2347396 14.8777216, 120.2347914 14.8776538)",2,306,,,
737786756,Zambales Highway,primary,False,True,170.59199999999998,"LINESTRING (120.2342071 14.8782008, 120.2342136 14.8783296, 120.2342772 14.8785949, 120.234281 14.8786131, 120.2343184 14.8787507, 120.2343398 14.878876, 120.2343432 14.8788958, 120.2344093 14.8791607, 120.2344717 14.879464, 120.2345044 14.8796318, 120.2345227 14.8797021)",2,306,,,
"[252842235, 146155189]",Perea Street,residential,False,False,183.99099999999999,"LINESTRING (120.2346896 14.8803709, 120.2344478 14.8804186, 120.2341951 14.8804647, 120.2337073 14.8805457, 120.2336568 14.8805494, 120.2336115 14.8805433, 120.2335806 14.8805241, 120.2335558 14.8805001, 120.2335401 14.8804428, 120.2334161 14.879991)",,,,,
737786756,Zambales Highway,primary,False,False,76.505,"LINESTRING (120.2346896 14.8803709, 120.2345902 14.8799904, 120.2345227 14.8797021)",2,306,,,
737786756,Zambales Highway,primary,False,True,78.266,"LINESTRING (120.2346896 14.8803709, 120.2347266 14.8805064, 120.2347704 14.8806503, 120.2348216 14.8808107, 120.2348382 14.8808694, 120.2348642 14.8809679, 120.2348823 14.8810494)",2,306,,,
146310085,Battad Street,residential,False,False,42.515,"LINESTRING (120.2351933 14.8735423, 120.2347979 14.8735545)",,,,,
146155140,Zambales Highway,primary,False,True,136.7,"LINESTRING (120.2351933 14.8735423, 120.2351885 14.8736144, 120.2351692 14.873872, 120.2351628 14.8739671, 120.2351548 14.8740672, 120.2351355 14.8743197, 120.2351114 14.8745886, 120.2350968 14.8747681)",2,306,,,
737786756,Zambales Highway,primary,False,False,57.71,"LINESTRING (120.234842 14.8775142, 120.2348677 14.8769958)",2,306,,,
146155186,,residential,False,True,76.024,"LINESTRING (120.234842 14.8775142, 120.2350643 14.8774562, 120.2350879 14.877453, 120.2351082 14.8774469, 120.2352461 14.8773835, 120.2352673 14.8773747, 120.2352824 14.8773711, 120.2352998 14.8773713, 120.2353281 14.8773731, 120.2355216 14.8773962)",,,,,
737786756,Zambales Highway,primary,False,True,16.531,"LINESTRING (120.234842 14.8775142, 120.2348142 14.8776119, 120.2347914 14.8776538)",2,306,,,
369632460,,residential,False,False,33.387,"LINESTRING (120.2354396 14.8776858, 120.2354753 14.8775566, 120.2355109 14.8774349, 120.2355216 14.8773962)",,,,,
"[146155200, 369632460, 255488687]",,residential,False,"[False, True]",100.75100000000002,"LINESTRING (120.2354396 14.8776858, 120.2354208 14.8777415, 120.2354008 14.8778058, 120.2353917 14.8778283, 120.2353795 14.8778315, 120.2353129 14.8778367, 120.235266 14.8778427, 120.2351952 14.8778636, 120.2350345 14.8779204, 120.2349766 14.8779368, 120.2349675 14.8779357, 120.2349599 14.877928, 120.2347914 14.8776538)",,,,,
"[146155175, 291069724, 437958511]",,residential,False,"[False, True]",134.212,"LINESTRING (120.2354396 14.8776858, 120.2356457 14.8777476, 120.2360584 14.8778651, 120.2361167 14.8778803, 120.2361212 14.8778816, 120.2362357 14.8779161, 120.2363554 14.8779292, 120.2364011 14.8779432, 120.2366388 14.8780162)",,,yes,,
705040024,Macedo Street,residential,False,True,7.007,"LINESTRING (120.230847 14.8779863, 120.2308612 14.8780478)",,,,,
146155154,,residential,False,True,186.343,"LINESTRING (120.230847 14.8779863, 120.2314985 14.8778664, 120.232424 14.8776802, 120.2325466 14.8776547)",,,,,
"[293808256, 146155174]",,residential,False,"[False, True]",122.124,"LINESTRING (120.230847 14.8779863, 120.2307622 14.877986, 120.2302183 14.8780261, 120.2301283 14.878042, 120.2300505 14.8780649, 120.2299714 14.8781275, 120.2299376 14.8781619, 120.2298183 14.8782947)",,,,,
"[437958511, 291069724, 146155175]",,residential,False,"[False, True]",134.212,"LINESTRING (120.2366388 14.8780162, 120.2364011 14.8779432, 120.2363554 14.8779292, 120.2362357 14.8779161, 120.2361212 14.8778816, 120.2361167 14.8778803, 120.2360584 14.8778651, 120.2356457 14.8777476, 120.2354396 14.8776858)",,,yes,,
146155208,Aroma Street,residential,False,False,82.75399999999999,"LINESTRING (120.2366388 14.8780162, 120.2366799 14.8778757, 120.2367038 14.8777942, 120.2367541 14.8776222, 120.2367562 14.8776149, 120.2367772 14.8775435, 120.2368293 14.8772956)",,,,,
