osmid,oneway,name,highway,reversed,length,lanes,bridge,geometry,ref,maxspeed
149140525,False,Orquin Street,residential,False,36.24,,,"LINESTRING (124.5929127 12.0694803, 124.5927815 12.0691807)",,
149140525,False,Orquin Street,residential,True,44.706,,,"LINESTRING (124.5929127 12.0694803, 124.5930833 12.0698461)",,
"[1039223354, 149140523, 155021772, 155021773]",False,Navarro Street,tertiary,"[False, True]",214.60399999999996,2,cantilever,"LINESTRING (124.5929127 12.0694803, 124.5923296 12.0697553, 124.5921808 12.069825, 124.5918454 12.0699819, 124.5915624 12.0701164, 124.5914806 12.0701518, 124.5913897 12.0701808, 124.5912757 12.0701843, 124.5911935 12.0701604, 124.5911216 12.0701076)",,
109378817,False,Bugallon,residential,False,107.931,,,"LINESTRING (124.5939588 12.0675795, 124.5930829 12.0680361)",,
109378817,False,Bugallon,residential,True,66.168,,,"LINESTRING (124.5939588 12.0675795, 124.5944979 12.0673035)",,
153370081,True,Umbria Street,residential,False,42.421,,,"LINESTRING (124.5939588 12.0675795, 124.5941526 12.0679106)",,
149144495,True,Rosales Boulevard,unclassified,False,107.977,,,"LINESTRING (124.5941978 12.0679853, 124.5933212 12.0684415)",,
184717485,False,Umbria Street,unclassified,True,9.651,,,"LINESTRING (124.5941978 12.0679853, 124.5941526 12.0679106)",,
184717495,True,Umbria Street,unclassified,False,47.843,,,"LINESTRING (124.5941978 12.0679853, 124.5944173 12.0683582)",,
109378821,False,Magsaysay Boulevard,tertiary,False,53.787,,,"LINESTRING (124.5925578 12.0701432, 124.5930098 12.0699467)",,
153545262,False,Senator Tomas Gomez Street,secondary,False,61.695,,,"LINESTRING (124.5941226 12.0700485, 124.5938576 12.0695579)",,
155021770,False,Cajurao Street,tertiary,True,88.928,,,"LINESTRING (124.5941226 12.0700485, 124.5934443 12.0704953)",,
155021770,False,Cajurao Street,tertiary,False,118.40100000000001,,,"LINESTRING (124.5941226 12.0700485, 124.5944674 12.0698156, 124.5950257 12.0694537)",,
264539136,False,Senator Tomas Gomez Street,secondary,False,9.902,,,"LINESTRING (124.5933212 12.0684415, 124.5932739 12.0683654)",,
337410417,False,Senator Tomas Gomez Street,secondary,True,7.648,,,"LINESTRING (124.5933212 12.0684415, 124.5933529 12.0685029)",,
149140524,True,Navarro Street,tertiary,False,89.133,,,"LINESTRING (124.5936529 12.0691359, 124.5929127 12.0694803)",,
