osmid,lanes,name,highway,oneway,reversed,length,bridge,geometry,junction
158958137,2,Zamboanga del Sur Coastal Road,secondary,False,False,10.38,,"LINESTRING (123.3377164 7.6126279, 123.3376747 7.6125442)",
"[158958137, 1121952370, 740861819]",2,Zamboanga del Sur Coastal Road,secondary,False,True,53.15,yes,"LINESTRING (123.3377164 7.6126279, 123.3377367 7.6126639, 123.3377896 7.6127579, 123.3379514 7.6130453)",
158958357,,,residential,False,True,123.08,,"LINESTRING (123.3377164 7.6126279, 123.3369771 7.6131108, 123.336779 7.6132292)",
740861810,,,residential,False,True,109.43,,"LINESTRING (123.3391224 7.6130902, 123.3395974 7.6139544)",
"[740861823, 158958359]",,,residential,False,False,218.843,,"LINESTRING (123.3391224 7.6130902, 123.339899 7.6126605, 123.3399251 7.6126545, 123.3399536 7.6126572, 123.3399878 7.6126718, 123.3400126 7.6126921, 123.3402128 7.6129782, 123.3404991 7.6135234)",
158958359,,,residential,False,True,106.357,,"LINESTRING (123.3391224 7.6130902, 123.3387265 7.6133052, 123.3382874 7.6135692)",
158958445,,,residential,False,True,107.299,,"LINESTRING (123.3404991 7.6135234, 123.3402255 7.6136356, 123.3396323 7.6139599)",
"[158958359, 740861823]",,,residential,False,True,218.84300000000002,,"LINESTRING (123.3404991 7.6135234, 123.3402128 7.6129782, 123.3400126 7.6126921, 123.3399878 7.6126718, 123.3399536 7.6126572, 123.3399251 7.6126545, 123.339899 7.6126605, 123.3391224 7.6130902)",
"[740861816, 1005328269, 158958183]",2,,residential,False,"[False, True]",293.96000000000004,yes,"LINESTRING (123.3338284 7.6147708, 123.3344252 7.6149329, 123.334987 7.615104, 123.3351483 7.615176, 123.3352768 7.6152334, 123.3356443 7.6154753, 123.3358562 7.6156694, 123.3361217 7.6159831)",
158958357,,,residential,False,False,367.831,,"LINESTRING (123.3338284 7.6147708, 123.3359255 7.613734, 123.336779 7.6132292)",
863570021,2,,residential,False,False,116.621,,"LINESTRING (123.3401478 7.6149137, 123.3396244 7.6140022)",
1121952366,2,,residential,False,True,108.793,,"LINESTRING (123.3401478 7.6149137, 123.3392841 7.6153874)",
740861826,2,,tertiary,False,False,5.07,,"LINESTRING (123.3392448 7.6154111, 123.3392841 7.6153874)",
740861826,2,,tertiary,False,True,104.055,,"LINESTRING (123.3392448 7.6154111, 123.3384153 7.615858)",
158958364,,,residential,False,True,324.37399999999997,,"LINESTRING (123.3392448 7.6154111, 123.3394261 7.6157583, 123.3396422 7.616113, 123.3401154 7.6168899, 123.3404039 7.6173761, 123.3406869 7.6179517)",
158958339,,,residential,False,False,115.608,,"LINESTRING (123.3384153 7.615858, 123.3379161 7.6149436)",
